PING 54.176.53.206 (54.176.53.206) 38(66) bytes of data.
46 bytes from 54.176.53.206: icmp_seq=1 ttl=44 time=76.3 ms
46 bytes from 54.176.53.206: icmp_seq=2 ttl=44 time=64.3 ms
46 bytes from 54.176.53.206: icmp_seq=3 ttl=44 time=73.3 ms
46 bytes from 54.176.53.206: icmp_seq=4 ttl=44 time=62.7 ms
46 bytes from 54.176.53.206: icmp_seq=5 ttl=44 time=79.3 ms
46 bytes from 54.176.53.206: icmp_seq=6 ttl=44 time=61.6 ms
46 bytes from 54.176.53.206: icmp_seq=7 ttl=44 time=53.3 ms
46 bytes from 54.176.53.206: icmp_seq=8 ttl=44 time=77.3 ms
46 bytes from 54.176.53.206: icmp_seq=9 ttl=44 time=59.5 ms
46 bytes from 54.176.53.206: icmp_seq=10 ttl=44 time=51.4 ms
46 bytes from 54.176.53.206: icmp_seq=11 ttl=44 time=49.3 ms
46 bytes from 54.176.53.206: icmp_seq=12 ttl=44 time=59.5 ms
46 bytes from 54.176.53.206: icmp_seq=13 ttl=44 time=47.4 ms
46 bytes from 54.176.53.206: icmp_seq=14 ttl=44 time=63.4 ms
46 bytes from 54.176.53.206: icmp_seq=15 ttl=44 time=63.4 ms
46 bytes from 54.176.53.206: icmp_seq=16 ttl=44 time=54.3 ms
46 bytes from 54.176.53.206: icmp_seq=17 ttl=44 time=53.4 ms
46 bytes from 54.176.53.206: icmp_seq=18 ttl=44 time=51.8 ms
46 bytes from 54.176.53.206: icmp_seq=19 ttl=44 time=58.3 ms
46 bytes from 54.176.53.206: icmp_seq=20 ttl=44 time=59.2 ms
46 bytes from 54.176.53.206: icmp_seq=21 ttl=44 time=49.4 ms
46 bytes from 54.176.53.206: icmp_seq=22 ttl=44 time=70.5 ms
46 bytes from 54.176.53.206: icmp_seq=23 ttl=44 time=55.2 ms
46 bytes from 54.176.53.206: icmp_seq=24 ttl=44 time=58.5 ms
46 bytes from 54.176.53.206: icmp_seq=25 ttl=44 time=59.2 ms
46 bytes from 54.176.53.206: icmp_seq=26 ttl=44 time=55.4 ms
46 bytes from 54.176.53.206: icmp_seq=27 ttl=44 time=62.5 ms
46 bytes from 54.176.53.206: icmp_seq=28 ttl=44 time=79.5 ms
46 bytes from 54.176.53.206: icmp_seq=29 ttl=44 time=52.1 ms
46 bytes from 54.176.53.206: icmp_seq=30 ttl=44 time=78.3 ms
46 bytes from 54.176.53.206: icmp_seq=31 ttl=44 time=58.2 ms
46 bytes from 54.176.53.206: icmp_seq=32 ttl=44 time=58.5 ms
46 bytes from 54.176.53.206: icmp_seq=33 ttl=44 time=56.0 ms
46 bytes from 54.176.53.206: icmp_seq=34 ttl=44 time=47.3 ms
46 bytes from 54.176.53.206: icmp_seq=35 ttl=44 time=57.5 ms
46 bytes from 54.176.53.206: icmp_seq=36 ttl=44 time=63.0 ms
46 bytes from 54.176.53.206: icmp_seq=37 ttl=44 time=70.4 ms
46 bytes from 54.176.53.206: icmp_seq=38 ttl=44 time=85.8 ms
46 bytes from 54.176.53.206: icmp_seq=39 ttl=44 time=71.3 ms
46 bytes from 54.176.53.206: icmp_seq=40 ttl=44 time=64.4 ms
46 bytes from 54.176.53.206: icmp_seq=41 ttl=44 time=51.1 ms
46 bytes from 54.176.53.206: icmp_seq=42 ttl=44 time=57.8 ms
46 bytes from 54.176.53.206: icmp_seq=43 ttl=44 time=84.4 ms
46 bytes from 54.176.53.206: icmp_seq=44 ttl=44 time=67.0 ms
46 bytes from 54.176.53.206: icmp_seq=45 ttl=44 time=58.5 ms
46 bytes from 54.176.53.206: icmp_seq=46 ttl=44 time=47.4 ms
46 bytes from 54.176.53.206: icmp_seq=47 ttl=44 time=64.1 ms
46 bytes from 54.176.53.206: icmp_seq=48 ttl=44 time=97.5 ms
46 bytes from 54.176.53.206: icmp_seq=49 ttl=44 time=61.4 ms
46 bytes from 54.176.53.206: icmp_seq=50 ttl=44 time=73.5 ms
46 bytes from 54.176.53.206: icmp_seq=51 ttl=44 time=68.9 ms
46 bytes from 54.176.53.206: icmp_seq=52 ttl=44 time=108 ms
46 bytes from 54.176.53.206: icmp_seq=53 ttl=44 time=60.4 ms
46 bytes from 54.176.53.206: icmp_seq=54 ttl=44 time=48.0 ms
46 bytes from 54.176.53.206: icmp_seq=55 ttl=44 time=56.7 ms
46 bytes from 54.176.53.206: icmp_seq=56 ttl=44 time=60.4 ms
46 bytes from 54.176.53.206: icmp_seq=57 ttl=44 time=66.1 ms
46 bytes from 54.176.53.206: icmp_seq=58 ttl=44 time=58.7 ms
46 bytes from 54.176.53.206: icmp_seq=59 ttl=44 time=56.3 ms
46 bytes from 54.176.53.206: icmp_seq=60 ttl=44 time=56.6 ms
46 bytes from 54.176.53.206: icmp_seq=61 ttl=44 time=57.4 ms
46 bytes from 54.176.53.206: icmp_seq=62 ttl=44 time=56.5 ms
46 bytes from 54.176.53.206: icmp_seq=63 ttl=44 time=64.0 ms
46 bytes from 54.176.53.206: icmp_seq=64 ttl=44 time=53.6 ms
46 bytes from 54.176.53.206: icmp_seq=65 ttl=44 time=62.1 ms
46 bytes from 54.176.53.206: icmp_seq=66 ttl=44 time=61.3 ms
46 bytes from 54.176.53.206: icmp_seq=67 ttl=44 time=64.4 ms
46 bytes from 54.176.53.206: icmp_seq=68 ttl=44 time=50.6 ms
46 bytes from 54.176.53.206: icmp_seq=69 ttl=44 time=51.2 ms
46 bytes from 54.176.53.206: icmp_seq=70 ttl=44 time=50.8 ms
46 bytes from 54.176.53.206: icmp_seq=71 ttl=44 time=49.0 ms
46 bytes from 54.176.53.206: icmp_seq=72 ttl=44 time=47.7 ms
46 bytes from 54.176.53.206: icmp_seq=73 ttl=44 time=49.1 ms
46 bytes from 54.176.53.206: icmp_seq=74 ttl=44 time=66.6 ms
46 bytes from 54.176.53.206: icmp_seq=75 ttl=44 time=73.4 ms
46 bytes from 54.176.53.206: icmp_seq=76 ttl=44 time=83.3 ms
46 bytes from 54.176.53.206: icmp_seq=77 ttl=44 time=56.2 ms
46 bytes from 54.176.53.206: icmp_seq=78 ttl=44 time=56.9 ms
46 bytes from 54.176.53.206: icmp_seq=79 ttl=44 time=62.3 ms
46 bytes from 54.176.53.206: icmp_seq=80 ttl=44 time=52.5 ms
46 bytes from 54.176.53.206: icmp_seq=81 ttl=44 time=51.4 ms
46 bytes from 54.176.53.206: icmp_seq=82 ttl=44 time=69.7 ms
46 bytes from 54.176.53.206: icmp_seq=83 ttl=44 time=58.7 ms
46 bytes from 54.176.53.206: icmp_seq=84 ttl=44 time=58.6 ms
46 bytes from 54.176.53.206: icmp_seq=85 ttl=44 time=60.1 ms
46 bytes from 54.176.53.206: icmp_seq=86 ttl=44 time=51.8 ms
46 bytes from 54.176.53.206: icmp_seq=87 ttl=44 time=58.1 ms
46 bytes from 54.176.53.206: icmp_seq=88 ttl=44 time=49.6 ms
46 bytes from 54.176.53.206: icmp_seq=89 ttl=44 time=67.5 ms
46 bytes from 54.176.53.206: icmp_seq=90 ttl=44 time=58.5 ms
46 bytes from 54.176.53.206: icmp_seq=91 ttl=44 time=47.2 ms
46 bytes from 54.176.53.206: icmp_seq=92 ttl=44 time=57.5 ms
46 bytes from 54.176.53.206: icmp_seq=93 ttl=44 time=69.1 ms
46 bytes from 54.176.53.206: icmp_seq=94 ttl=44 time=57.7 ms
46 bytes from 54.176.53.206: icmp_seq=95 ttl=44 time=70.4 ms
46 bytes from 54.176.53.206: icmp_seq=96 ttl=44 time=69.3 ms
46 bytes from 54.176.53.206: icmp_seq=97 ttl=44 time=60.9 ms
46 bytes from 54.176.53.206: icmp_seq=98 ttl=44 time=69.2 ms
46 bytes from 54.176.53.206: icmp_seq=99 ttl=44 time=52.0 ms
46 bytes from 54.176.53.206: icmp_seq=100 ttl=44 time=69.6 ms

--- 54.176.53.206 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 19877ms
rtt min/avg/max/mdev = 47.228/61.558/108.218/10.716 ms
