TIME_STAMP,Lon,Lat,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps]
2022-08-09 18:31:42.000000,-115.179893,36.106586,0.123,0.010
2022-08-09 18:31:43.000000,-115.179893,36.106640,0.001,0.001
2022-08-09 18:31:44.000000,-115.179901,36.106922,0.000,0.000
2022-08-09 18:31:45.000000,-115.179901,36.107124,0.000,0.000
2022-08-09 18:31:46.000000,-115.179901,36.107292,0.000,0.000
2022-08-09 18:31:47.000000,-115.179901,36.107319,0.000,0.000
2022-08-09 18:31:48.000000,-115.179901,36.107601,0.000,0.000
2022-08-09 18:31:49.000000,-115.179901,36.107658,0.000,0.000
2022-08-09 18:31:50.000000,-115.179901,36.107952,0.000,0.000
2022-08-09 18:31:51.000000,-115.179901,36.108009,0.000,0.000
2022-08-09 18:31:52.000000,-115.179901,36.108150,0.000,0.000
2022-08-09 18:31:53.000000,-115.179901,36.108181,0.004,0.018
2022-08-09 18:31:54.000000,-115.179909,36.108597,0.243,0.066
Count,102,102,102,102
Minimum,-115.179962,36.108597,0.000,0.000
Maximum,-115.179222,36.108597,0.243,0.066
Average,,,0.010,0.003
Stdev,,,0.039,0.009
Median,,,0.000,0.000
5%-tile,,,0.000,0.000
95%-tile,,,0.061,0.014
