TIME_STAMP,Lon,Lat,Event Technology,LTE KPI MAC DL Throughput[Mbps],LTE KPI CA Type,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps]
2022-08-09 13:36:06.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:06.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:06.400000,-115.173241,36.113400,,,2CA,9.665
2022-08-09 13:36:06.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:06.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:06.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:06.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:06.900000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:07.000000,-115.173241,36.113400,LTE(2CA),9.311,2CA,8.842
2022-08-09 13:36:07.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:07.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:07.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:07.400000,-115.173241,36.113400,,,2CA,8.819
2022-08-09 13:36:07.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:07.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:07.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:07.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:07.900000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:08.000000,-115.173241,36.113400,LTE(2CA),11.750,2CA,8.842
2022-08-09 13:36:08.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:08.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:08.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:08.400000,-115.173241,36.113400,,,2CA,11.607
2022-08-09 13:36:08.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:08.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:08.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:08.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:08.900000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:09.000000,-115.173241,36.113400,LTE(2CA),13.400,2CA,11.904
2022-08-09 13:36:09.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:09.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:09.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:09.400000,-115.173241,36.113400,,,2CA,13.503
2022-08-09 13:36:09.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:09.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:09.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:09.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:09.900000,-115.173241,36.113400,,,2CA,13.138
2022-08-09 13:36:10.000000,-115.173241,36.113400,LTE(2CA),13.784,2CA,
2022-08-09 13:36:10.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:10.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:10.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:10.400000,-115.173241,36.113400,,,2CA,13.435
2022-08-09 13:36:10.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:10.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:10.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:10.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:10.900000,-115.173241,36.113400,,,2CA,13.389
2022-08-09 13:36:11.000000,-115.173241,36.113400,LTE(2CA),19.985,2CA,
2022-08-09 13:36:11.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:11.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:11.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:11.400000,-115.173241,36.113400,,,2CA,16.473
2022-08-09 13:36:11.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:11.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:11.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:11.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:11.900000,-115.173241,36.113400,,,2CA,22.779
2022-08-09 13:36:12.000000,-115.173241,36.113400,LTE(2CA),17.248,2CA,
2022-08-09 13:36:12.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:12.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:12.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:12.400000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:12.500000,-115.173241,36.113400,,,2CA,17.740
2022-08-09 13:36:12.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:12.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:12.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:12.900000,-115.173241,36.113400,,,2CA,16.873
2022-08-09 13:36:13.000000,-115.173241,36.113400,LTE(2CA),19.452,2CA,
2022-08-09 13:36:13.100000,-115.173241,36.113400,,,2CA,
