PING 54.176.53.206 (54.176.53.206) 38(66) bytes of data.
46 bytes from 54.176.53.206: icmp_seq=1 ttl=44 time=39.9 ms
46 bytes from 54.176.53.206: icmp_seq=2 ttl=44 time=39.5 ms
46 bytes from 54.176.53.206: icmp_seq=3 ttl=44 time=38.1 ms
46 bytes from 54.176.53.206: icmp_seq=4 ttl=44 time=34.7 ms
46 bytes from 54.176.53.206: icmp_seq=5 ttl=44 time=38.5 ms
46 bytes from 54.176.53.206: icmp_seq=6 ttl=44 time=35.5 ms
46 bytes from 54.176.53.206: icmp_seq=7 ttl=44 time=36.4 ms
46 bytes from 54.176.53.206: icmp_seq=8 ttl=44 time=35.9 ms
46 bytes from 54.176.53.206: icmp_seq=9 ttl=44 time=35.3 ms
46 bytes from 54.176.53.206: icmp_seq=10 ttl=44 time=38.7 ms
46 bytes from 54.176.53.206: icmp_seq=11 ttl=44 time=35.9 ms
46 bytes from 54.176.53.206: icmp_seq=12 ttl=44 time=37.3 ms
46 bytes from 54.176.53.206: icmp_seq=13 ttl=44 time=35.1 ms
46 bytes from 54.176.53.206: icmp_seq=14 ttl=44 time=35.2 ms
46 bytes from 54.176.53.206: icmp_seq=15 ttl=44 time=35.5 ms
46 bytes from 54.176.53.206: icmp_seq=16 ttl=44 time=39.8 ms
46 bytes from 54.176.53.206: icmp_seq=17 ttl=44 time=37.1 ms
46 bytes from 54.176.53.206: icmp_seq=18 ttl=44 time=32.6 ms
46 bytes from 54.176.53.206: icmp_seq=19 ttl=44 time=34.2 ms
46 bytes from 54.176.53.206: icmp_seq=20 ttl=44 time=29.8 ms
46 bytes from 54.176.53.206: icmp_seq=21 ttl=44 time=40.8 ms
46 bytes from 54.176.53.206: icmp_seq=22 ttl=44 time=28.4 ms
46 bytes from 54.176.53.206: icmp_seq=23 ttl=44 time=35.4 ms
46 bytes from 54.176.53.206: icmp_seq=24 ttl=44 time=27.0 ms
46 bytes from 54.176.53.206: icmp_seq=25 ttl=44 time=28.3 ms
46 bytes from 54.176.53.206: icmp_seq=26 ttl=44 time=29.7 ms
46 bytes from 54.176.53.206: icmp_seq=27 ttl=44 time=32.5 ms
46 bytes from 54.176.53.206: icmp_seq=28 ttl=44 time=28.8 ms
46 bytes from 54.176.53.206: icmp_seq=29 ttl=44 time=33.8 ms
46 bytes from 54.176.53.206: icmp_seq=30 ttl=44 time=27.8 ms
46 bytes from 54.176.53.206: icmp_seq=31 ttl=44 time=33.5 ms
46 bytes from 54.176.53.206: icmp_seq=32 ttl=44 time=28.1 ms
46 bytes from 54.176.53.206: icmp_seq=33 ttl=44 time=30.7 ms
46 bytes from 54.176.53.206: icmp_seq=34 ttl=44 time=29.3 ms
46 bytes from 54.176.53.206: icmp_seq=35 ttl=44 time=29.3 ms
46 bytes from 54.176.53.206: icmp_seq=36 ttl=44 time=32.7 ms
46 bytes from 54.176.53.206: icmp_seq=37 ttl=44 time=29.7 ms
46 bytes from 54.176.53.206: icmp_seq=38 ttl=44 time=34.6 ms
46 bytes from 54.176.53.206: icmp_seq=39 ttl=44 time=36.3 ms
46 bytes from 54.176.53.206: icmp_seq=40 ttl=44 time=33.2 ms
46 bytes from 54.176.53.206: icmp_seq=41 ttl=44 time=33.8 ms
46 bytes from 54.176.53.206: icmp_seq=42 ttl=44 time=34.0 ms
46 bytes from 54.176.53.206: icmp_seq=43 ttl=44 time=33.6 ms
46 bytes from 54.176.53.206: icmp_seq=44 ttl=44 time=48.0 ms
46 bytes from 54.176.53.206: icmp_seq=45 ttl=44 time=33.7 ms
46 bytes from 54.176.53.206: icmp_seq=46 ttl=44 time=30.5 ms
46 bytes from 54.176.53.206: icmp_seq=47 ttl=44 time=34.5 ms
46 bytes from 54.176.53.206: icmp_seq=48 ttl=44 time=27.8 ms
46 bytes from 54.176.53.206: icmp_seq=49 ttl=44 time=32.1 ms
46 bytes from 54.176.53.206: icmp_seq=50 ttl=44 time=34.9 ms
46 bytes from 54.176.53.206: icmp_seq=51 ttl=44 time=33.2 ms
46 bytes from 54.176.53.206: icmp_seq=52 ttl=44 time=32.4 ms
46 bytes from 54.176.53.206: icmp_seq=53 ttl=44 time=34.2 ms
46 bytes from 54.176.53.206: icmp_seq=54 ttl=44 time=32.8 ms
46 bytes from 54.176.53.206: icmp_seq=55 ttl=44 time=32.2 ms
46 bytes from 54.176.53.206: icmp_seq=56 ttl=44 time=33.7 ms
46 bytes from 54.176.53.206: icmp_seq=57 ttl=44 time=31.7 ms
46 bytes from 54.176.53.206: icmp_seq=58 ttl=44 time=30.6 ms
46 bytes from 54.176.53.206: icmp_seq=59 ttl=44 time=28.9 ms
46 bytes from 54.176.53.206: icmp_seq=60 ttl=44 time=30.1 ms
46 bytes from 54.176.53.206: icmp_seq=61 ttl=44 time=36.4 ms
46 bytes from 54.176.53.206: icmp_seq=62 ttl=44 time=33.7 ms
46 bytes from 54.176.53.206: icmp_seq=63 ttl=44 time=34.5 ms
46 bytes from 54.176.53.206: icmp_seq=64 ttl=44 time=34.7 ms
46 bytes from 54.176.53.206: icmp_seq=65 ttl=44 time=32.3 ms
46 bytes from 54.176.53.206: icmp_seq=66 ttl=44 time=33.2 ms
46 bytes from 54.176.53.206: icmp_seq=67 ttl=44 time=33.0 ms
46 bytes from 54.176.53.206: icmp_seq=68 ttl=44 time=35.0 ms
46 bytes from 54.176.53.206: icmp_seq=69 ttl=44 time=29.5 ms
46 bytes from 54.176.53.206: icmp_seq=70 ttl=44 time=34.6 ms
46 bytes from 54.176.53.206: icmp_seq=71 ttl=44 time=30.0 ms
46 bytes from 54.176.53.206: icmp_seq=72 ttl=44 time=35.9 ms
46 bytes from 54.176.53.206: icmp_seq=73 ttl=44 time=26.6 ms
46 bytes from 54.176.53.206: icmp_seq=74 ttl=44 time=39.2 ms
46 bytes from 54.176.53.206: icmp_seq=75 ttl=44 time=28.7 ms
46 bytes from 54.176.53.206: icmp_seq=76 ttl=44 time=35.8 ms
46 bytes from 54.176.53.206: icmp_seq=77 ttl=44 time=27.9 ms
46 bytes from 54.176.53.206: icmp_seq=78 ttl=44 time=37.2 ms
46 bytes from 54.176.53.206: icmp_seq=79 ttl=44 time=28.0 ms
46 bytes from 54.176.53.206: icmp_seq=80 ttl=44 time=31.8 ms
46 bytes from 54.176.53.206: icmp_seq=81 ttl=44 time=29.6 ms
46 bytes from 54.176.53.206: icmp_seq=82 ttl=44 time=32.1 ms
46 bytes from 54.176.53.206: icmp_seq=83 ttl=44 time=30.5 ms
46 bytes from 54.176.53.206: icmp_seq=84 ttl=44 time=30.0 ms
46 bytes from 54.176.53.206: icmp_seq=85 ttl=44 time=29.3 ms
46 bytes from 54.176.53.206: icmp_seq=86 ttl=44 time=27.9 ms
46 bytes from 54.176.53.206: icmp_seq=87 ttl=44 time=34.0 ms
46 bytes from 54.176.53.206: icmp_seq=88 ttl=44 time=28.3 ms
46 bytes from 54.176.53.206: icmp_seq=89 ttl=44 time=40.0 ms
46 bytes from 54.176.53.206: icmp_seq=90 ttl=44 time=28.6 ms
46 bytes from 54.176.53.206: icmp_seq=91 ttl=44 time=35.2 ms
46 bytes from 54.176.53.206: icmp_seq=92 ttl=44 time=28.0 ms
46 bytes from 54.176.53.206: icmp_seq=93 ttl=44 time=32.3 ms
46 bytes from 54.176.53.206: icmp_seq=94 ttl=44 time=34.0 ms
46 bytes from 54.176.53.206: icmp_seq=95 ttl=44 time=28.1 ms
46 bytes from 54.176.53.206: icmp_seq=96 ttl=44 time=32.0 ms
46 bytes from 54.176.53.206: icmp_seq=97 ttl=44 time=41.5 ms
46 bytes from 54.176.53.206: icmp_seq=98 ttl=44 time=32.8 ms
46 bytes from 54.176.53.206: icmp_seq=99 ttl=44 time=35.5 ms
46 bytes from 54.176.53.206: icmp_seq=100 ttl=44 time=34.6 ms

--- 54.176.53.206 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 19881ms
rtt min/avg/max/mdev = 26.683/33.246/48.045/3.793 ms
