nuttcp-t: v8.1.4: socket
nuttcp-t: buflen=65536, nstream=1, port=5007 tcp -> 54.176.53.206
nuttcp-t: time limit = 30.00 seconds
nuttcp-t: connect to 54.176.53.206 with mss=1376, RTT=30.602 ms af=inet
nuttcp-t: send window size = 33554432, receive window size = 6291456
nuttcp-t: available send window = 25165824, available receive window = 4718592
nuttcp-t: initial congestion window = 13 KB (10 packets)
nuttcp-r: Warning: receive window size 25000000 < requested window size 26214400
nuttcp-r: v6.1.2: socket
nuttcp-r: buflen=65536, nstream=1, port=5007 tcp
nuttcp-r: interval reporting every 0.10 seconds
nuttcp-r: accept from 174.204.9.100
nuttcp-r: send window size = 25000000, receive window size = 50000000
nuttcp-r: available send window = 12500000, available receive window = 25000000
    2.3750 MB /   0.10 sec =  199.1398 Mbps     0 retrans   5567 KB-cwnd
    3.1875 MB /   0.10 sec =  267.5046 Mbps     0 retrans   5567 KB-cwnd
    2.5625 MB /   0.10 sec =  214.9495 Mbps     0 retrans   5567 KB-cwnd
    2.3125 MB /   0.10 sec =  193.9827 Mbps     0 retrans   5567 KB-cwnd
    3.1250 MB /   0.10 sec =  262.1545 Mbps     0 retrans   5567 KB-cwnd
    2.7500 MB /   0.10 sec =  230.6175 Mbps     0 retrans   5567 KB-cwnd
    2.7500 MB /   0.10 sec =  230.6314 Mbps     0 retrans   5567 KB-cwnd
    2.9375 MB /   0.10 sec =  246.5066 Mbps     0 retrans   5567 KB-cwnd
    2.0625 MB /   0.10 sec =  172.8957 Mbps     0 retrans   5567 KB-cwnd
    1.6875 MB /   0.10 sec =  141.6782 Mbps     0 retrans   5567 KB-cwnd
    2.2500 MB /   0.10 sec =  188.7493 Mbps     0 retrans   5567 KB-cwnd
    1.5625 MB /   0.10 sec =  131.0628 Mbps     0 retrans   5567 KB-cwnd
    2.1250 MB /   0.10 sec =  178.2490 Mbps     0 retrans   5567 KB-cwnd
    1.7500 MB /   0.10 sec =  146.7522 Mbps     0 retrans   5567 KB-cwnd
    1.7500 MB /   0.10 sec =  146.8241 Mbps     0 retrans   5567 KB-cwnd
    1.8750 MB /   0.10 sec =  157.3257 Mbps     0 retrans   5567 KB-cwnd
    1.9375 MB /   0.10 sec =  162.5277 Mbps     0 retrans   5567 KB-cwnd
    2.0000 MB /   0.10 sec =  167.7738 Mbps     0 retrans   5567 KB-cwnd
    0.9375 MB /   0.10 sec =   78.5309 Mbps     0 retrans   5567 KB-cwnd
    1.8125 MB /   0.10 sec =  152.2689 Mbps     0 retrans   5567 KB-cwnd
    2.5625 MB /   0.10 sec =  214.9602 Mbps     0 retrans   5567 KB-cwnd
    2.7500 MB /   0.10 sec =  230.6660 Mbps     0 retrans   5567 KB-cwnd
    2.7500 MB /   0.10 sec =  230.1849 Mbps     0 retrans   5567 KB-cwnd
