nuttcp-t: v8.1.4: socket
nuttcp-t: buflen=65536, nstream=1, port=5007 tcp -> 155.146.144.24
nuttcp-t: time limit = 30.00 seconds
nuttcp-t: connect to 155.146.144.24 with mss=1376, RTT=34.583 ms af=inet
nuttcp-t: send window size = 33554432, receive window size = 4194304
nuttcp-t: available send window = 25165824, available receive window = 3145728
nuttcp-t: initial congestion window = 13 KB (10 packets)
nuttcp-r: Warning: receive window size 25000000 < requested window size 26214400
nuttcp-r: v6.1.2: socket
nuttcp-r: buflen=65536, nstream=1, port=5007 tcp
nuttcp-r: interval reporting every 0.10 seconds
nuttcp-r: accept from 174.198.136.53
nuttcp-r: send window size = 25000000, receive window size = 50000000
nuttcp-r: available send window = 12500000, available receive window = 25000000
    0.3125 MB /   0.10 sec =   26.2147 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2157 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9707 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2144 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.1929 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9885 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2139 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9721 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2139 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2149 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2144 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9715 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2144 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9566 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2154 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2317 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2141 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9728 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9705 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9715 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.1971 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9854 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.1971 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9852 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9717 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2144 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9566 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9837 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9600 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9688 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2357 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9715 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9715 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.1971 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2134 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9858 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.1976 Mbps     0 retrans    654 KB-cwnd
    0.1875 MB /   0.10 sec =   15.7400 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2128 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9711 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2144 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9543 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2367 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9566 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9858 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9715 Mbps     0 retrans    654 KB-cwnd
    0.1875 MB /   0.10 sec =   15.7291 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.1971 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9856 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9667 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9533 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2338 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9793 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2141 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2076 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9774 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.1968 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2065 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2333 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9770 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2141 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2139 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.1903 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9768 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2325 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2141 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2115 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9680 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2039 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9852 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2154 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.1893 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9721 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2152 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2157 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2370 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9550 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2357 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2136 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2147 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2139 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9671 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9617 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2320 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9573 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2325 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2141 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9705 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2152 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2139 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9721 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2141 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9715 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2144 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2144 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9715 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2097 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2196 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9560 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2149 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2330 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9466 Mbps     0 retrans    654 KB-cwnd
    0.3750 MB /   0.10 sec =   31.4938 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9728 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9562 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.2325 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9713 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9715 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9715 Mbps     0 retrans    654 KB-cwnd
    0.3125 MB /   0.10 sec =   26.1895 Mbps     0 retrans    654 KB-cwnd
    0.2500 MB /   0.10 sec =   20.9919 Mbps     0 retrans    654 KB-cwnd
