,5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI PCell RF BandWidth,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],Event 5G-NR/LTE Events,LTE KPI PCell DL MCS0,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell Serving RSRP[dBm],LTE KPI PDSCH BLER[%],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],TIME_STAMP
0,,,,,,,,,,,,,,,,,,,,,,,,,,,36.09774,-115.173492,,1660082517.55102
1,,,,,,,,,,,,,,,,,,,,,,,,,,,36.09774,-115.173492,0.0,1660082517.6
2,,,,,,,,,,,,,,,,,,10.0,66586.0,348.0,-71.06,,,,,,36.09774,-115.173492,,1660082517.8
3,,,,,,,,,,,,,,,,,,,,,,,,,,,36.09774,-115.173492,,1660082517.9
4,,,,,,,,,,,,,,,,,0.008,,,,,,,,,,36.09774,-115.173492,,1660082518.0
5,,,,,,,,,,,,,,,,,,,,,,,,,,,36.09774,-115.173492,0.0,1660082518.1
6,,,,,,,,,,,,,,,,,,10.0,66586.0,348.0,-70.94,,,,,,36.09774,-115.173492,,1660082518.3
7,,,,,,,,,,,,,,,,,,,,,,,,,,,36.09774,-115.173492,,1660082518.4
8,,,,,,,,,,,,,,,,,,10.0,66586.0,348.0,-70.55,,,,,,36.09774,-115.173492,,1660082518.5
9,,,,,,,,,,,,,,,reportStrongestCells,,,,,,,,,,,,36.09774,-115.173492,,1660082518.528933
10,,,,,,,,,,,,,,,,,,10.0,66586.0,348.0,-70.8,,,,,,36.09774,-115.173492,0.0,1660082518.6
11,,,,,,,,,,,,,,,,0.6,,10.0,66586.0,348.0,-70.85,0.0,,,,,36.09774,-115.173492,,1660082518.7
12,,,,,,,,,,,,,,,,,,10.0,66586.0,348.0,-71.44,,,,,,36.09774,-115.173492,,1660082518.8
13,,,,,,,,,,,,,,,,,,10.0,66586.0,348.0,-71.34,,,,,,36.09774,-115.173492,,1660082518.9
14,,,,,,,,,,,,,,,,,,,,,,,,,,,36.09774,-115.173492,,1660082519.0
15,,,,,,,,,,,,,,,,,,,,,,,,,,,36.09774,-115.173492,0.0,1660082519.1
16,,,,,,,,,,,,,,,,,,,,,,,,,,,36.09774,-115.173492,,1660082519.2
17,,,,,,,,,,,,,,,,,,,,,,,,,,,36.09774,-115.173492,,1660082519.3
18,,,,,,,,,,,,,,,,,,10.0,66586.0,348.0,-71.13,,,,,,36.09774,-115.173492,,1660082519.4
19,,,,,,,,,,,,,,,,,,,,,,,,,,,36.09774,-115.173492,0.0,1660082519.6
20,,,,,,,,,,,,,,,,,,,,,,,,,,,36.09774,-115.173492,,1660082519.7
21,,,,,,,,,,,,,,,,,,10.0,66586.0,348.0,-71.13,,,,,,36.09774,-115.173492,,1660082519.8
22,,,,,,,,,,,,,,,,,0.093,,,,,,,,,,36.09774,-115.173492,,1660082520.0
23,,,,,,,,,,,,,,,,,,,,,,,,,,,36.09774,-115.173492,0.0,1660082520.1
24,,,,,,,,,,,,,,,,,,,,,,,,,,,36.09774,-115.173492,,1660082520.2
