,5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI PCell RF BandWidth,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],Event 5G-NR/LTE Events,LTE KPI PCell DL MCS0,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell Serving RSRP[dBm],LTE KPI PDSCH BLER[%],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],TIME_STAMP
0,,,,,,,,,,,,,,,,,,,,,,,,,,,41.847809,-87.625381,,1660413371.0
1,,,,,,,,,,,,,,,,,,,,,,,,,,,41.847809,-87.625381,,1660413371.672564
2,,,,,,,,,,,,,,,,,,20.0,66536.0,419.0,-106.31,,,,,,41.847809,-87.625381,,1660413371.7
3,,,,,,,,,,,,,,,,,,,,,,,,,,,41.847809,-87.625381,0.0,1660413371.9
4,,,,,,,,,,,,,,,,,,,,,,,,,,,41.847809,-87.625381,,1660413372.0
5,,,,,,,,,,,,,,,,,,20.0,66536.0,419.0,-105.56,,,,,,41.847809,-87.625381,,1660413372.1
6,,,,,,,,,,,,,,,,,,,,,,,,,,,41.847809,-87.625381,0.0,1660413372.4
7,,,,,,,,,,,,,,,,,,20.0,66536.0,419.0,-105.63,,,,,,41.847801,-87.625397,,1660413372.5
8,,,,,,,,,,,,,,,,,,,,,,,,,,,41.84779,-87.625435,,1660413372.7
9,,,,,,,,,,,,,,,,,,,,,,,,,,,41.847778,-87.625473,0.0,1660413372.9
10,,,,,,,,,,,,,,,,,,20.0,66536.0,419.0,-108.06,,,,,,41.847775,-87.625488,,1660413373.0
11,,,,,,,,,,,,,,,,,,20.0,66536.0,419.0,-106.81,,,,,,41.847771,-87.625504,,1660413373.1
