,local_time,unixtimestamp,videoBuffer,audioBuffer,cumRebuffer,format_vid,byteOffset,totalByteLength,byteLength,ssim,mod_timestamp,ssim_diff,cumRebuffer_diff,New_Bitrate,New_Bitrate_diff,qoe
11,14007212,1660356234,2.002,2.002,0.704,1280x720-5,1124688,1191650,66962,4.5425,1660356234.37,0.0,0.0,5.0,0.0,5.0
35,14008898,1660356235,2.78,2.780,1.207,1280x720-10,2351466,2380435,28969,9.0729,1660356236.056,4.5304,0.5030000000000001,10.0,5.0,-45.30000000000001
152,14022029,1660356249,0.368,0.368,9.874,1280x720-50,11859257,11890482,31225,45.3148,1660356249.193,36.2419,8.667,50.0,40.0,-856.6999999999999
164,14023489,1660356250,1.828,1.828,10.782,1280x720-5,1124633,1191657,67024,4.5424,1660356250.619,40.7724,0.9079999999999995,5.0,45.0,-130.79999999999995
188,14027513,1660356254,1.374,1.374,12.298,1280x720-10,2351466,2380424,28958,9.0729,1660356254.623,4.530500000000001,1.516,10.0,5.0,-146.6
200,14029758,1660356256,1.582,1.582,12.751,1280x720-5,1124633,1191662,67029,4.5426,1660356256.93,4.5303,0.4529999999999994,5.0,5.0,-45.29999999999994
224,14036188,1660356263,0.314,0.314,15.834,1280x720-10,2351443,2380417,28974,9.0728,1660356263.492,4.530200000000001,3.083,10.0,5.0,-303.3
236,14040979,1660356268,0.775,0.775,19.061,1280x720-5,1124622,1191647,67025,4.5425,1660356268.314,4.5303,3.2270000000000003,5.0,5.0,-322.70000000000005
248,14044165,1660356271,0.586,0.586,20.02,1280x720-5,1124622,1190804,66182,4.5425,1660356271.334,0.0,0.9589999999999996,5.0,0.0,-90.89999999999996
260,14045883,1660356272,1.351,1.351,20.424,1280x720-5,1124622,1190802,66180,4.5425,1660356272.996,0.0,0.4039999999999999,5.0,0.0,-35.39999999999999
272,14048528,1660356275,1.245,1.245,20.928,1280x720-5,1124622,1190801,66179,4.5425,1660356275.667,0.0,0.5040000000000013,5.0,0.0,-45.400000000000134
284,14052157,1660356279,1.629,1.629,22.845,1280x720-5,1124622,1190796,66174,4.5425,1660356279.288,0.0,1.916999999999998,5.0,0.0,-186.69999999999982
308,14054660,1660356281,1.123,1.123,22.845,1280x720-10,2351443,2380421,28978,9.0729,1660356281.811,4.5304,0.0,10.0,5.0,5.0
320,14055849,1660356282,2.003,2.003,22.845,1280x720-5,1124622,1191659,67037,4.5426,1660356282.947,4.5303,0.0,5.0,5.0,0.0
344,14058547,1660356285,1.3,1.300,22.845,1280x720-10,2351443,2380421,28978,9.0729,1660356285.717,4.5303,0.0,10.0,5.0,5.0
356,14059661,1660356286,2.196,2.196,22.845,1280x720-5,1124622,1191655,67033,4.5425,1660356286.855,4.5304,0.0,5.0,5.0,0.0
380,14062518,1660356289,1.337,1.337,22.845,1280x720-10,2351443,2380426,28983,9.0729,1660356289.667,4.5304,0.0,10.0,5.0,5.0
392,14064333,1660356291,1.525,1.525,22.845,1280x720-5,1124622,1191649,67027,4.5425,1660356291.512,4.5304,0.0,5.0,5.0,0.0
