,local_time,unixtimestamp,videoBuffer,audioBuffer,cumRebuffer,format_vid,byteOffset,totalByteLength,byteLength,ssim,mod_timestamp,ssim_diff,cumRebuffer_diff,New_Bitrate,New_Bitrate_diff,qoe
11,2418442,1660168212,2.002,2.002,1.257,1280x720-5,1124688,1191650,66962,4.5425,1660168212.97,0.0,0.0,5.0,0.0,5.0
35,2420270,1660168214,2.239,2.239,1.357,1280x720-10,2351466,2380435,28969,9.0729,1660168214.867,4.5304,0.10000000000000009,10.0,5.0,-5.000000000000009
60,2425481,1660168219,0.475,0.475,2.771,1280x720-10,2453703,2522123,68420,9.6161,1660168222.766,0.5431999999999988,1.414,10.0,0.0,-131.4
72,2441089,1660168235,1.372,1.372,17.223,1280x720-5,1124633,1191657,67024,4.5424,1660168235.621,5.0737,14.451999999999998,5.0,5.0,-1445.1999999999998
84,2444510,1660168239,2.075,2.075,19.245,1280x720-5,1124633,1190807,66174,4.5426,1660168239.077,0.00020000000000042206,2.022000000000002,5.0,0.0,-197.20000000000022
108,2447706,1660168242,0.903,0.903,19.296,1280x720-10,2351466,2380422,28956,9.0729,1660168242.343,4.5303,0.05099999999999838,10.0,5.0,-0.099999999999838
120,2449248,1660168243,1.625,1.625,19.498,1280x720-5,1124622,1191644,67022,4.5425,1660168243.798,4.5304,0.20200000000000173,5.0,5.0,-20.200000000000173
144,2452466,1660168246,1.455,1.455,20.507,1280x720-10,2351443,2380418,28975,9.0728,1660168247.134,4.5303,1.0090000000000003,10.0,5.0,-95.90000000000003
156,2455856,1660168250,1.766,1.766,22.128,1280x720-5,1124622,1191657,67035,4.5425,1660168250.394,4.5303,1.6209999999999987,5.0,5.0,-162.09999999999985
180,2458496,1660168253,1.135,1.135,22.128,1280x720-10,2351443,2380424,28981,9.0729,1660168253.037,4.5304,0.0,10.0,5.0,5.0
192,2459511,1660168254,2.115,2.115,22.128,1280x720-5,1124622,1191654,67032,4.5425,1660168254.053,4.5304,0.0,5.0,5.0,0.0
