,local_time,unixtimestamp,videoBuffer,audioBuffer,cumRebuffer,format_vid,byteOffset,totalByteLength,byteLength,ssim,mod_timestamp,ssim_diff,cumRebuffer_diff,New_Bitrate,New_Bitrate_diff,qoe
11,57987901,1660334705,2.002,2.002,1.306,1280x720-5,1124688,1191650,66962,4.5425,1660334705.075,0.0,0.0,5.0,0.0,5.0
35,57989538,1660334706,2.379,2.379,1.306,1280x720-10,2351466,2380435,28969,9.0729,1660334706.68,4.5304,0.0,10.0,5.0,5.0
152,57994769,1660334711,0.471,0.471,2.623,1280x720-50,11859257,11890482,31225,45.3148,1660334713.332,36.2419,1.3170000000000002,50.0,40.0,-121.70000000000002
164,57995200,1660334712,2.473,2.473,3.025,1280x720-5,1124633,1191657,67024,4.5424,1660334712.431,40.7724,0.4019999999999997,5.0,45.0,-80.19999999999996
281,57997569,1660334714,2.83,2.830,3.729,1280x720-50,11859257,11890466,31209,45.3147,1660334714.673,40.7723,0.7040000000000002,50.0,45.0,-65.40000000000002
398,58000529,1660334717,1.872,1.872,3.729,1280x720-50,11859257,11889609,30352,45.3147,1660334717.692,0.0,0.0,50.0,0.0,50.0
422,58001468,1660334718,2.931,2.931,3.729,1280x720-10,2351443,2380417,28974,9.0728,1660334718.579,36.2419,0.0,10.0,40.0,-30.0
539,58006735,1660334723,0.662,0.662,4.689,1280x720-50,11859141,11890432,31291,45.3149,1660334723.839,36.2421,0.96,50.0,40.0,-86.0
551,58007515,1660334724,2.664,2.664,5.495,1280x720-5,1124622,1191657,67035,4.5425,1660334724.78,40.772400000000005,0.806,5.0,45.0,-120.60000000000001
668,58017374,1660334734,0.704,0.704,11.239,1280x720-50,11859141,11890429,31288,45.3147,1660334734.519,40.7722,5.744000000000001,50.0,45.0,-569.4000000000001
680,58018330,1660334735,2.362,2.362,11.842,1280x720-5,1124622,1191654,67032,4.5425,1660334735.475,40.7722,0.6029999999999998,5.0,45.0,-100.29999999999998
706,58020284,1660334737,2.406,2.406,11.842,1280x720-10,2555915,2565102,9187,9.7767,1660334737.409,5.2341999999999995,0.0,10.0,5.0,5.0
823,58027949,1660334745,0.304,0.304,15.268,1280x720-50,11859141,11890462,31321,45.3149,1660334745.083,35.5382,3.426,50.0,40.0,-332.6
835,58028650,1660334745,2.062,2.062,15.722,1280x720-5,1124622,1191659,67037,4.5426,1660334745.784,40.7723,0.45399999999999885,5.0,45.0,-85.39999999999989
859,58030689,1660334747,2.025,2.025,15.722,1280x720-10,2351443,2380421,28978,9.0729,1660334747.815,4.5303,0.0,10.0,5.0,5.0
883,58032938,1660334750,1.785,1.785,15.722,1280x720-10,2351443,2379566,28123,9.0728,1660334750.087,9.999999999976694e-05,0.0,10.0,0.0,10.0
907,58034775,1660334751,1.949,1.949,15.722,1280x720-10,2351443,2379573,28130,9.0729,1660334751.909,9.999999999976694e-05,0.0,10.0,0.0,10.0
931,58036377,1660334753,2.349,2.349,15.722,1280x720-10,2351443,2379567,28124,9.0729,1660334753.503,0.0,0.0,10.0,0.0,10.0
1048,58042302,1660334759,0.712,0.712,17.939,1280x720-50,11859141,11890443,31302,45.3148,1660334759.404,36.2419,2.2170000000000005,50.0,40.0,-211.70000000000005
1060,58042787,1660334759,2.229,2.229,17.939,1280x720-5,1124622,1198679,74057,4.5693,1660334759.889,40.7455,0.0,5.0,45.0,-40.0
