,local_time,unixtimestamp,videoBuffer,audioBuffer,cumRebuffer,format_vid,byteOffset,totalByteLength,byteLength,ssim,mod_timestamp,ssim_diff,cumRebuffer_diff,New_Bitrate,New_Bitrate_diff,qoe
11,11303749,1660194332,2.002,2.002,0.804,1280x720-5,1124688,1191650,66962,4.5425,1660194332.568,0.0,0.0,5.0,0.0,5.0
35,11304658,1660194333,3.565,3.565,1.307,1280x720-10,2351466,2380435,28969,9.0729,1660194333.909,4.5304,0.5029999999999999,10.0,5.0,-45.29999999999999
268,11307887,1660194337,2.339,2.339,1.307,1280x720-100,23718169,23777998,59829,90.6168,1660194337.03,81.5439,0.0,100.0,90.0,10.0
385,11309069,1660194338,3.161,3.161,1.307,1280x720-50,11859257,11890426,31169,45.3149,1660194338.192,45.301899999999996,0.0,50.0,50.0,0.0
502,11310268,1660194339,3.961,3.961,1.307,1280x720-50,11859257,11889612,30355,45.3147,1660194339.403,0.00019999999999953388,0.0,50.0,0.0,50.0
735,11313524,1660194342,2.703,2.703,1.307,1280x720-100,23718169,23777998,59829,90.6169,1660194343.045,45.3022,0.0,100.0,50.0,50.0
852,11314765,1660194343,3.473,3.473,1.307,1280x720-50,11859141,11910369,51228,45.3908,1660194343.886,45.2261,0.0,100.0,0.0,100.0
1085,11317083,1660194346,3.147,3.147,1.307,1280x720-100,23717937,23777996,60059,90.6169,1660194347.074,45.2261,0.0,100.0,0.0,100.0
1207,11318195,1660194347,4.042,4.042,1.307,1280x720-50,12370306,12467649,97343,47.5145,1660194347.32,43.1024,0.0,100.0,0.0,100.0
1440,11321904,1660194351,2.332,2.332,1.307,1280x720-100,23717937,23777998,60061,90.6169,1660194352.008,43.1024,0.0,100.0,0.0,100.0
1557,11323281,1660194352,2.956,2.956,1.307,1280x720-50,11859141,11890438,31297,45.3149,1660194352.431,45.302,0.0,50.0,50.0,0.0
1687,11324562,1660194353,3.68,3.680,1.307,1280x720-50,13188299,13200851,12552,50.312,1660194353.695,4.997099999999996,0.0,50.0,0.0,50.0
1920,11327665,1660194356,2.578,2.578,1.307,1280x720-100,23717937,23777998,60061,90.6169,1660194357.032,40.3049,0.0,100.0,50.0,50.0
2037,11328858,1660194357,3.391,3.391,1.307,1280x720-50,11859141,11890471,31330,45.3148,1660194357.989,45.3021,0.0,100.0,0.0,100.0
2270,11331039,1660194360,3.212,3.212,1.307,1280x720-100,23717937,23777999,60062,90.6169,1660194361.066,45.3021,0.0,100.0,0.0,100.0
2387,11332070,1660194361,4.184,4.184,1.307,1280x720-50,11859141,11890440,31299,45.3149,1660194361.195,45.302,0.0,100.0,0.0,100.0
2620,11335884,1660194365,2.374,2.374,1.307,1280x720-100,23717937,23777999,60062,90.6169,1660194365.005,45.302,0.0,100.0,0.0,100.0
2737,11336908,1660194366,3.343,3.343,1.307,1280x720-50,11859141,11890433,31292,45.3148,1660194366.032,45.3021,0.0,100.0,0.0,100.0
2970,11339002,1660194368,3.256,3.256,1.307,1280x720-100,23717937,23777997,60060,90.6168,1660194369.055,45.302,0.0,100.0,0.0,100.0
3087,11340476,1660194369,3.786,3.786,1.307,1280x720-50,11859141,11890435,31294,45.3149,1660194370.052,45.301899999999996,0.0,100.0,0.0,100.0
