,TIME_STAMP,Number of frames dropped,FPS,Frame drop percentage
126,2022-08-10 14:32:49,0,60.0,0.0
127,2022-08-10 14:32:50,0,60.0,0.0
128,2022-08-10 14:32:51,0,60.0,0.0
129,2022-08-10 14:32:52,0,60.0,0.0
130,2022-08-10 14:32:53,0,60.0,0.0
131,2022-08-10 14:32:54,0,60.0,0.0
132,2022-08-10 14:32:55,0,60.0,0.0
133,2022-08-10 14:32:56,0,60.0,0.0
134,2022-08-10 14:32:57,0,60.0,0.0
135,2022-08-10 14:32:58,0,60.0,0.0
136,2022-08-10 14:32:59,0,60.0,0.0
137,2022-08-10 14:33:00,0,60.0,0.0
138,2022-08-10 14:33:01,0,60.0,0.0
139,2022-08-10 14:33:02,0,60.0,0.0
140,2022-08-10 14:33:03,0,60.0,0.0
141,2022-08-10 14:33:04,0,60.0,0.0
142,2022-08-10 14:33:05,0,60.0,0.0
143,2022-08-10 14:33:06,0,60.0,0.0
144,2022-08-10 14:33:07,0,60.0,0.0
145,2022-08-10 14:33:08,0,60.0,0.0
146,2022-08-10 14:33:09,0,60.0,0.0
147,2022-08-10 14:33:10,0,60.0,0.0
148,2022-08-10 14:33:11,0,60.0,0.0
149,2022-08-10 14:33:12,0,60.0,0.0
150,2022-08-10 14:33:13,0,60.0,0.0
151,2022-08-10 14:33:14,0,60.0,0.0
152,2022-08-10 14:33:15,0,60.0,0.0
153,2022-08-10 14:33:16,0,60.0,0.0
154,2022-08-10 14:33:17,0,60.0,0.0
155,2022-08-10 14:33:18,0,60.0,0.0
156,2022-08-10 14:33:19,0,60.0,0.0
157,2022-08-10 14:33:20,0,60.0,0.0
158,2022-08-10 14:33:21,0,60.0,0.0
159,2022-08-10 14:33:22,0,60.0,0.0
160,2022-08-10 14:33:23,0,60.0,0.0
161,2022-08-10 14:33:24,0,60.0,0.0
162,2022-08-10 14:33:25,0,60.0,0.0
163,2022-08-10 14:33:26,0,60.0,0.0
164,2022-08-10 14:33:27,0,60.0,0.0
165,2022-08-10 14:33:28,0,60.0,0.0
166,2022-08-10 14:33:29,0,60.0,0.0
167,2022-08-10 14:33:30,0,60.0,0.0
