,5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI PCell RF BandWidth,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],Event 5G-NR/LTE Events,LTE KPI PCell DL MCS0,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell Serving RSRP[dBm],LTE KPI PDSCH BLER[%],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],TIME_STAMP
0,,,,,,,,,,,,,,,,,0.048,,,,,,,,,,,,,1660535160.0
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1660535160.178651
2,0.0,24.0,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,1660535160.2
3,0.0,23.0,0.05,,873.85,384.0,-76.05,,,,,,,,,,,5.0,925.0,477.0,-73.25,,,,,,,,,1660535160.3
4,,23.0,0.0,,873.85,384.0,-77.97,,,,,,,,,20.0,,5.0,925.0,477.0,-71.78,0.0,,,,,,,0.006,1660535160.4
5,0.0,,0.179,,,,,,,,,,,,,,,5.0,925.0,477.0,-74.23,,,,,,,,,1660535160.5
6,,,0.0,,,,,,,,,,,,,,,5.0,925.0,477.0,-77.07,,,,,,,,,1660535160.6
7,0.0,23.5,0.071,,873.85,384.0,-78.38,,,,,,,,,20.0,,5.0,925.0,477.0,-80.33,0.0,,,,,,,,1660535160.7
8,0.0,24.0,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,1660535160.8
9,,,0.0,,873.85,384.0,-75.35,,,,,,,,,,,,,,,,,,,,,,0.006,1660535160.9
10,0.0,23.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,1660535161.0
11,0.0,23.0,0.048,,873.85,384.0,-73.68,,,,,,,,,,,,,,,,,,,,,,,1660535161.1
12,,23.0,0.0,,,,,,,,,,,,,,,5.0,925.0,477.0,-75.94,,,,,,,,,1660535161.3
13,25.0,24.0,0.262,,873.85,384.0,-77.16,,,,,,,,,,,,,,,,,,,,,,0.007,1660535161.4
14,0.0,23.0,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,1660535161.5
15,,,0.0,,,,,,,,,,,,,,,5.0,925.0,477.0,-73.69,,,,,,,,,1660535161.6
16,0.0,22.0,0.072,,873.85,384.0,-73.22,,,,,,,,,,,,,,,,,,,,,,,1660535161.7
17,0.0,23.0,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,1660535161.8
18,,23.0,0.0,,873.85,384.0,-71.85,,,,,,,,,,,5.0,925.0,477.0,-71.63,,,,,,,,0.007,1660535161.9
19,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1660535162.0
20,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1660535162.1
21,25.0,22.67,0.163,,873.85,384.0,-69.65,,,,,,,,,,,5.0,925.0,477.0,-67.69,,,,,,,,,1660535162.2
22,,,0.0,,873.85,384.0,-71.8,,,,,,,,,,,5.0,925.0,477.0,-64.84,,,,,,,,,1660535162.3
23,0.0,24.0,0.066,,,,,,,,,,,,,,,5.0,925.0,477.0,-66.74,,,,,,,,0.005,1660535162.4
24,0.0,23.0,0.072,,873.85,384.0,-72.77,,,,,,,,,0.0,,5.0,925.0,477.0,-68.25,0.0,,,,,,,,1660535162.5
25,0.0,23.5,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,1660535162.6
26,,,0.0,,873.85,384.0,-74.47,,,,,,,,,,,,,,,,,,,,,,,1660535162.7
27,100.0,24.0,0.0,,,,,,,,,,,,,,,5.0,925.0,477.0,-69.56,,,,,,,,0.005,1660535162.9
28,0.0,23.0,0.315,,873.85,384.0,-72.7,,,,,,,,,,1.019,,,,,,,,,,,,,1660535163.0
