,5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI PCell RF BandWidth,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],Event 5G-NR/LTE Events,LTE KPI PCell DL MCS0,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell Serving RSRP[dBm],LTE KPI PDSCH BLER[%],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],TIME_STAMP
0,,,,,,,,,,,,,,,,,,,,,,,,,,,41.500198,-106.04966,,1660183246.0
1,,,,,,,,,,,,,,,,,,,,,,,,,,,41.500198,-106.04966,,1660183246.566445
2,,,,,,,,,,,,,,,,,,,,,,,,,,,41.500198,-106.04966,0.0,1660183246.6
3,,,,,,,,,,,,,,,,,,5.0,925.0,146.0,-85.28,,,,,,41.500198,-106.04966,,1660183246.7
4,,,,,,,,,,,,,,,,,,5.0,925.0,146.0,-81.22,,,,,,41.500145,-106.049629,,1660183246.9
5,,,,,,,,,,,,,,,,1.6,0.013,5.0,925.0,146.0,-83.08,0.0,,,,,41.500118,-106.049606,,1660183247.0
6,,,,,,,,,,,,,,,,,,5.0,925.0,146.0,-87.81,,,,,,41.500092,-106.049591,0.0,1660183247.1
7,,,,,,,,,,,,,,,,2.67,,5.0,925.0,146.0,-85.83,0.0,,,,,41.500011,-106.049545,,1660183247.4
8,,,,,,,,,,,,,,,,,,,,,,,,,,,41.499958,-106.049507,0.0,1660183247.6
9,,,,,,,,,,,,,,,,,,5.0,925.0,146.0,-82.91,,,,,,41.499931,-106.049492,,1660183247.7
10,,,,,,,,,,,,,,,,,,,,,,,,,,,41.499878,-106.049454,,1660183247.9
11,,,,,,,,,,,,,,,,,0.007,,,,,,,,,,41.499851,-106.049431,,1660183248.0
12,,,,,,,,,,,,,,,,,,5.0,925.0,146.0,-83.94,,,,,,41.499825,-106.049416,0.0,1660183248.1
13,,,,,,,,,,,,,,,,,,5.0,925.0,146.0,-84.14,,,,,,41.499741,-106.049362,,1660183248.4
14,,,,,,,,,,,,,,,,0.67,,5.0,925.0,146.0,-84.38,0.0,,,,,41.499687,-106.049324,0.001,1660183248.6
15,,,,,,,,,,,,,,,,,,,,,,,,,,,41.49966,-106.049301,,1660183248.7
16,,,,,,,,,,,,,,,,6.6,,5.0,925.0,146.0,-82.27,0.0,,,,,41.499634,-106.049278,,1660183248.8
17,,,,,,,,,,,,,,,,,,5.0,925.0,146.0,-84.42,,,,,,41.499607,-106.049263,,1660183248.9
