,5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI PCell RF BandWidth,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],Event 5G-NR/LTE Events,LTE KPI PCell DL MCS0,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell Serving RSRP[dBm],LTE KPI PDSCH BLER[%],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],TIME_STAMP
0,,,,,,,,,,,,,,,,,,,,,,,,,,,39.76828,-86.150749,,1660435874.0
1,,,0.0,,38849.98,110.0,-77.57,,,,,,,,,,,,,,,,,,,,39.768318,-86.150673,,1660435874.4
2,,,,,,,,,,,,,,,,,,,,,,,,,,,39.768318,-86.150673,,1660435874.465274
3,0.0,0.0,0.071,,,,,,,,,,,,,,,,,,,,,,,,39.76828,-86.150749,,1660435874.5
4,0.0,0.0,0.119,,38849.98,110.0,-77.08,,,,,,,,,,,20.0,850.0,381.0,-61.56,,,,,,39.76828,-86.150749,,1660435874.6
5,0.0,0.0,0.112,,,,,,,,,,,,,,,,,,,,,,,,39.76828,-86.150749,,1660435874.7
6,0.0,0.0,0.053,,38849.98,110.0,-76.76,,,,,,,,,,,,,,,,,,,,39.768318,-86.150673,,1660435874.8
7,0.0,0.0,0.115,,38849.98,110.0,-76.41,,,,,,,,,,,,,,,,,,,,39.76828,-86.150749,0.0,1660435874.9
8,0.0,0.0,0.114,,,,,,,,,,,,,,,20.0,850.0,381.0,-62.87,,,,,,39.76828,-86.150749,,1660435875.0
9,,0.0,0.0,,38849.98,110.0,-76.26,,,,,,,,,,,20.0,850.0,381.0,-63.03,,,,,,39.76828,-86.150749,,1660435875.1
10,0.0,0.0,0.056,,38849.98,110.0,-76.05,,,,,,,,,,,20.0,850.0,381.0,-63.38,,,,,,39.768318,-86.150673,,1660435875.2
11,0.0,0.0,0.107,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,39.76828,-86.150749,,1660435875.3
12,0.0,,0.06,,38849.98,110.0,-75.7,,,,,,,,,,,,,,,,,,,,39.768318,-86.150673,0.0,1660435875.4
13,0.0,0.0,0.061,,,,,,,,,,,,,,,,,,,,,,,,39.768318,-86.150673,,1660435875.5
14,0.0,0.0,0.147,,38849.98,110.0,-75.53,,,,,,,,,,,20.0,850.0,381.0,-62.88,,,,,,39.768318,-86.150673,,1660435875.6
15,0.0,0.0,0.085,,38849.98,110.0,-75.55,,,,,,,,,,,,,,,,,,,,39.768318,-86.150673,,1660435875.7
16,0.0,0.0,0.061,,,,,,,,,,,,,,,,,,,,,,,,39.76828,-86.150749,,1660435875.8
17,0.0,0.0,0.133,,38849.98,110.0,-75.63,,,,,,,,,,,20.0,850.0,381.0,-62.5,,,,,,39.768318,-86.150673,0.0,1660435875.9
18,0.0,0.0,0.085,,38849.98,110.0,-75.64,,,,,,,,,,,,,,,,,,,,39.768318,-86.150673,,1660435876.0
19,0.0,0.0,0.168,,,,,,,,,,,,,,,,,,,,,,,,39.76828,-86.150749,,1660435876.1
20,0.0,0.0,0.196,,38849.98,110.0,-75.61,,,,,,,,,,,20.0,850.0,381.0,-63.25,,,,,,39.76828,-86.150749,,1660435876.2
21,0.0,0.0,0.167,,,,,,,,,,,,,,,,,,,,,,,,39.768318,-86.150673,,1660435876.3
22,0.0,0.0,0.1,,38849.98,110.0,-75.58,,,,,,,,,,,,,,,,,,,,39.76828,-86.150749,0.005,1660435876.4
23,0.0,0.0,0.092,,38849.98,110.0,-75.57,,,,,,,,,,,,,,,,,,,,39.76828,-86.150749,,1660435876.5
24,0.0,9.5,2.082,,,,,,,,,,,,,,,20.0,850.0,381.0,-62.88,,,,,,39.768318,-86.150673,,1660435876.6
25,45.45,19.0,3.514,,38849.98,110.0,-75.57,,,,,,,,,,,,,,,,,,,,39.76828,-86.150749,,1660435876.7
26,0.0,14.14,4.077,,38849.98,110.0,-75.57,,,,,,,,,,,,,,,,,,,,39.768318,-86.150673,,1660435876.8
27,0.0,20.39,10.685,,,,,,,,,,,,,,,20.0,850.0,381.0,-62.88,,,,,,39.76828,-86.150749,3.428,1660435876.9
28,6.25,20.06,31.702,,38849.98,110.0,-75.57,,,,,,,,,,,,,,,,,,,,39.76828,-86.150749,,1660435877.0
29,,21.63,0.0,,,,,0.0,0.0,0.0,0.06,0.0,0.0,0.0,,,,,,,,,,,,,39.768318,-86.150673,,1660435877.1
30,3.7,19.38,18.599,,38849.98,110.0,-75.57,13.389,6.577,14.329,13.158,11.51,8.112,9.458,,,,,,,,,,,,,39.768318,-86.150673,,1660435877.2
31,9.41,19.0,43.478,,,,,36.9,23.353,59.076,52.286,27.931,50.394,74.602,,,,20.0,850.0,381.0,-63.06,,,,,,39.768318,-86.150673,,1660435877.3
