,TIME_STAMP,Lon,Lat,GPS Lon,GPS Lat,GPS Time,GPS Head,GPS Speed (km/h),GPS Speed(Complement),GPS Distance (m),GPS Source,GPS Data Ind,GPS Area,GPS Satellite Status NMEA GPS List[0] PRN,GPS Satellite Status NMEA GPS List[0] Elevation,GPS Satellite Status NMEA GPS List[0] Azimuth,GPS Satellite Status NMEA GPS List[0] SNR [dB],GPS Satellite Status NMEA GPS List[1] PRN,GPS Satellite Status NMEA GPS List[1] Elevation,GPS Satellite Status NMEA GPS List[1] Azimuth,GPS Satellite Status NMEA GPS List[1] SNR [dB],GPS Satellite Status NMEA GPS List[2] PRN,GPS Satellite Status NMEA GPS List[2] Elevation,GPS Satellite Status NMEA GPS List[2] Azimuth,GPS Satellite Status NMEA GPS List[2] SNR [dB],GPS Satellite Status NMEA GPS List[3] PRN,GPS Satellite Status NMEA GPS List[3] Elevation,GPS Satellite Status NMEA GPS List[3] Azimuth,GPS Satellite Status NMEA GPS List[3] SNR [dB],Event Technology,Event LTE Events,Event 5G-NR/LTE Events,Event Port Number,LTE KPI Chip Type,LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving EARFCN(UL),LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving BandWidth(UL),LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell Serving RSRQ[dB],LTE KPI PCell Serving RSSI[dBm],LTE KPI PCell PUSCH Power[dBm],LTE KPI PCell PUCCH Power[dBm],LTE KPI PCell Total Tx Power[dBm],LTE KPI PCell SINR[dB],LTE KPI PCell WB CQI CW0,LTE KPI PCell WB CQI CW1,LTE KPI PCell WB RI,LTE KPI PCell WB RI1 Rate,LTE KPI PCell WB RI2 Rate,LTE KPI PCell WB RI3 Rate,LTE KPI PCell WB RI4 Rate,LTE KPI PCell Tx Mode,LTE KPI PCell WB PMI 0,LTE KPI PCell M(Tx) x N(Rx) Ant,LTE KPI PCell DL MCS0,LTE KPI PCell DL MCS1,LTE KPI PCell UL MCS,LTE KPI PCell DL Modulation0,LTE KPI PCell DL Modulation1,LTE KPI PCell UL Modulation,LTE KPI Pcell PDSCH PRB Number(Avg),LTE KPI PCell PUSCH PRB Number(Avg),LTE KPI PCell PDSCH PRB Number(Including 0),LTE KPI PCell PDSCH PRB Number TB0(Including 0),LTE KPI PCell PDSCH PRB Number TB1(Including 0),LTE KPI PCell PUSCH PRB Number(Including 0),LTE KPI PCell PDSCH BLER[%],LTE KPI PCell PUSCH BLER[%],LTE KPI PCell PDSCH Throughput[Mbps],LTE KPI PCell PUSCH Throughput[Mbps],LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PDSCH PRB Number(Avg)(Total),LTE KPI PUSCH PRB Number(Avg)(Total),LTE KPI PDSCH PRB Number(Including 0)(Total),LTE KPI PUSCH PRB Number(Including 0)(Total),LTE KPI PDSCH BLER[%],LTE KPI PUSCH BLER[%],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],LTE KPI MAC DL Throughput[Mbps],LTE KPI MAC UL Throughput[Mbps],LTE KPI RLC DL Throughput[Mbps],LTE KPI RLC UL Throughput[Mbps],LTE KPI PDCP DL Throughput[Mbps],LTE KPI PDCP UL Throughput[Mbps],LTE KPI TAC,LTE KPI CA Type,LTE KPI UL CA Type,LTE KPI Band Combination,LTE KPI SCell[1] CA Rate(Same PCI),LTE KPI SCell[1] Serving PCI,LTE KPI SCell[1] Serving Band,LTE KPI SCell[1] Serving EARFCN(DL),LTE KPI SCell[1] Serving EARFCN(UL),LTE KPI SCell[1] Serving BandWidth(DL),LTE KPI SCell[1] Serving BandWidth(UL),LTE KPI SCell[1] Serving RSRP[dBm],LTE KPI SCell[1] Serving RSRQ[dB],LTE KPI SCell[1] Serving RSSI[dBm],LTE KPI SCell[1] SINR[dB],LTE KPI SCell[1] DL MCS0,LTE KPI SCell[1] DL Modulation0,LTE KPI SCell[1] PDSCH PRB Number(Avg),LTE KPI SCell[1] PDSCH PRB Number(Including 0),LTE KPI SCell[1] PDSCH PRB Number TB0(Including 0),LTE KPI SCell[1] PDSCH PRB Number TB1(Including 0),LTE KPI SCell[1] PDSCH BLER[%],LTE KPI SCell[1] PDSCH Throughput[Mbps],LTE KPI SCell[2] Serving PCI,LTE KPI SCell[2] Serving Band,LTE KPI SCell[2] Serving EARFCN(DL),LTE KPI SCell[2] Serving EARFCN(UL),LTE KPI SCell[2] Serving BandWidth(DL),LTE KPI SCell[2] Serving RSRP[dBm],LTE KPI SCell[2] Serving RSRQ[dB],LTE KPI SCell[2] Serving RSSI[dBm],LTE KPI SCell[2] SINR[dB],LTE KPI SCell[2] WB CQI CW0,LTE KPI SCell[2] WB CQI CW1,LTE KPI SCell[2] WB RI,LTE KPI SCell[2] WB RI1 Rate,LTE KPI SCell[2] WB RI2 Rate,LTE KPI SCell[2] WB RI3 Rate,LTE KPI SCell[2] WB RI4 Rate,LTE KPI SCell[2] Tx Mode,LTE KPI SCell[2] WB PMI 0,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network Rx Byte,Smart Phone Smart Throughput Mobile Network Tx Byte
14,2022-08-11 14:12:01.800000,-105.004738,39.746929,,,,,,,,,,,10.0,27.0,251.0,22.0,18.0,0.0,0.0,24.0,23.0,56.0,266.0,31.0,24.0,5.0,134.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,QPSK,,,8.0,,,,,,0.0,,,,,,8.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2022-08-11 14:12:01.900000,-105.004738,39.746929,-105.00474,39.74693,13:12:01,331.0,3.0,3.0,1.4,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2022-08-11 14:12:02.000000,-105.004738,39.746929,,,,,,,,,,,,,,,,,,,,,,,,,,,LTE(3CA),,,,LTE Qualcomm,,,,,,,,,,,,-15.25,,,,,,,,,,,2x4,,,,,,,,,0.09,0.09,0.0,1.43,,,0.005,0.018,0.005,0.018,,,0.09,1.43,,,0.005,0.018,0.005,0.018,,,,,,,,,55.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2022-08-11 14:12:02.029840,-105.004738,39.746929,,,,,,,,,,,,,,,,,,,,,,,,,,,,RRC Setup Start,RRC Setup Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2022-08-11 14:12:02.079606,-105.004738,39.746933,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRACH: Msg1(RA),PRACH: Msg1(RA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2022-08-11 14:12:02.081116,-105.004738,39.746933,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRACH: Msg2(RAR),PRACH: Msg2(RAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2022-08-11 14:12:02.081130,-105.004738,39.746933,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRACH: Msg3(UE ID),PRACH: Msg3(UE ID),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2022-08-11 14:12:02.089854,-105.004738,39.746933,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRACH: Msg4[Pass],PRACH: Msg4[Pass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2022-08-11 14:12:02.089873,-105.004738,39.746933,,,,,,,,,,,,,,,,,,,,,,,,,,,,Received RAR[True],Received RAR[True],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2022-08-11 14:12:02.090578,-105.004738,39.746933,,,,,,,,,,,,,,,,,,,,,,,,,,,,RRC Setup Success,RRC Setup Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2022-08-11 14:12:02.100000,-105.004738,39.746933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,Band 66,66586.0,132122.0,10.0,10.0,-83.99,-13.73,-52.08,,,-5.89,-2.21,6.0,0.0,1.0,100.0,0.0,0.0,0.0,TM4,1.0,,1.25,,3.27,QPSK,,QPSK,6.75,6.64,,,,,0.0,0.0,,,,,6.75,6.64,,,0.0,0.0,,,,,0.036,,,0.003,,NonCA,NonCA,Band 66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2022-08-11 14:12:02.138814,-105.004738,39.746933,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA Config Attempt,CA Config Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2022-08-11 14:12:02.153120,-105.004745,39.746933,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA Config Success,CA Config Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2022-08-11 14:12:02.200000,-105.004745,39.746933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,Band 66,66586.0,132122.0,10.0,10.0,-82.01,-12.48,-52.56,,,-7.0,5.16,7.0,0.0,,,,,,TM4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,,,,,3CA,,Band 66+Band 66+Band 2,,155.0,Band 66,67086.0,132622.0,10.0,10.0,-85.46,-8.8,-58.86,9.64,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.002,66.0,132.0
28,2022-08-11 14:12:02.300000,-105.004745,39.746933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,Band 66,66586.0,132122.0,10.0,10.0,-81.81,-12.73,-51.99,,,-14.0,6.97,,,1.0,100.0,0.0,0.0,0.0,TM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3CA,,Band 66+Band 66+Band 2,,155.0,Band 66,67086.0,132622.0,10.0,10.0,-84.91,-9.28,-58.44,7.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2022-08-11 14:12:02.400000,-105.004745,39.746933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,Band 66,66586.0,132122.0,10.0,10.0,-82.05,-13.23,-51.63,,,-6.86,5.89,6.0,0.0,,,,,,TM4,3.0,,2.38,,,QPSK,,,4.5,,,,,,0.0,0.0,,,,,4.5,,,,0.0,0.0,,,,,0.004,,0.004,,,3CA,,Band 66+Band 66+Band 2,,155.0,Band 66,67086.0,132622.0,10.0,10.0,-86.53,-10.71,-58.47,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2022-08-11 14:12:02.500000,-105.004745,39.746937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,Band 66,66586.0,132122.0,10.0,10.0,-83.19,-13.03,-51.91,,,-12.0,5.31,6.0,0.0,,,,,,TM4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3CA,,Band 66+Band 66+Band 2,,155.0,Band 66,67086.0,132622.0,10.0,10.0,-86.11,-10.51,-58.34,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2022-08-11 14:12:02.600000,-105.004745,39.746937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,Band 66,66586.0,132122.0,10.0,10.0,-83.95,-13.49,-52.63,,,-6.44,5.33,5.0,0.0,1.0,100.0,0.0,0.0,0.0,TM4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3CA,,Band 66+Band 66+Band 2,,155.0,Band 66,67086.0,132622.0,10.0,10.0,-86.25,-10.36,-58.34,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2022-08-11 14:12:02.700000,-105.004753,39.746937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,Band 66,66586.0,132122.0,10.0,10.0,-81.91,-13.43,-51.51,,,-12.0,4.72,6.0,0.0,,,,,,TM4,3.0,,2.0,,,QPSK,,,4.0,,,,,,0.0,,,,,,4.0,,,,0.0,,,,,,0.002,,0.002,,,NonCA,,Band 66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.002,198.0,132.0
33,2022-08-11 14:12:02.800000,-105.004753,39.746941,,,,,,,,,,,10.0,27.0,251.0,23.0,18.0,0.0,0.0,28.0,23.0,56.0,266.0,32.0,24.0,5.0,134.0,22.0,,,,,,155.0,Band 66,66586.0,132122.0,10.0,10.0,-81.18,-11.76,-51.74,,,-6.43,7.35,6.0,0.0,,,,,,TM4,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,NonCA,,Band 66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2022-08-11 14:12:02.900000,-105.004753,39.746941,-105.00475,39.74694,13:12:02,330.0,3.0,3.0,1.4,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,155.0,Band 66,66586.0,132122.0,10.0,10.0,-82.71,-13.75,-51.51,,,-13.0,6.38,6.0,0.0,1.0,100.0,0.0,0.0,0.0,TM4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,0.002,,,NonCA,,Band 66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2022-08-11 14:12:03.000000,-105.004753,39.746941,,,,,,,,,,,,,,,,,,,,,,,,,,,LTE,,,,LTE Qualcomm,155.0,Band 66,66586.0,132122.0,10.0,10.0,-81.67,-13.76,-49.95,,,-9.13,8.14,7.0,0.0,,,,,,TM4,1.0,2x4,3.25,,22.6,QPSK,,256QAM,4.25,1.8,0.12,0.12,0.0,0.02,0.0,,0.009,0.027,0.009,0.022,4.25,1.8,0.12,0.02,0.0,,0.009,0.027,0.009,0.022,,,,0.0,,NonCA,NonCA,Band 66,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2022-08-11 14:12:03.100000,-105.004753,39.746941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,Band 66,66586.0,132122.0,10.0,10.0,-80.94,-13.38,-49.65,,-12.4,-16.0,7.78,6.0,0.0,,,,,,TM4,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,NonCA,,Band 66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2022-08-11 14:12:03.200000,-105.004753,39.746944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,Band 66,66586.0,132122.0,10.0,10.0,-81.29,-13.29,-50.05,3.2,,-7.11,7.35,8.0,0.0,,,,,,TM4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,0.002,,,NonCA,,Band 66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.003,132.0,198.0
38,2022-08-11 14:12:03.300000,-105.004753,39.746944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,Band 66,66586.0,132122.0,10.0,10.0,-82.66,-14.13,-50.05,,-15.57,-12.25,6.86,6.0,0.0,1.0,100.0,0.0,0.0,0.0,TM4,1.0,,6.0,,,16QAM,,,3.0,,,,,,0.0,,,,,,3.0,,,,0.0,,,,,,,,,,,NonCA,,Band 66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
