,TIME_STAMP,Lon,Lat,GPS Lon,GPS Lat,GPS Time,GPS Head,GPS Speed (km/h),GPS Speed(Complement),GPS Distance (m),GPS Source,GPS Data Ind,GPS Area,GPS Satellite Status NMEA GPS List[0] PRN,GPS Satellite Status NMEA GPS List[0] Elevation,GPS Satellite Status NMEA GPS List[0] Azimuth,GPS Satellite Status NMEA GPS List[0] SNR [dB],GPS Satellite Status NMEA GPS List[1] PRN,GPS Satellite Status NMEA GPS List[1] Elevation,GPS Satellite Status NMEA GPS List[1] Azimuth,GPS Satellite Status NMEA GPS List[1] SNR [dB],GPS Satellite Status NMEA GPS List[2] PRN,GPS Satellite Status NMEA GPS List[2] Elevation,GPS Satellite Status NMEA GPS List[2] Azimuth,GPS Satellite Status NMEA GPS List[2] SNR [dB],GPS Satellite Status NMEA GPS List[3] PRN,GPS Satellite Status NMEA GPS List[3] Elevation,GPS Satellite Status NMEA GPS List[3] Azimuth,GPS Satellite Status NMEA GPS List[3] SNR [dB],Event Technology,Event Port Number,LTE KPI Chip Type,LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving EARFCN(UL),LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell Serving RSRQ[dB],LTE KPI PCell Serving RSSI[dBm],LTE KPI PCell PUSCH Power[dBm],LTE KPI PCell PUCCH Power[dBm],LTE KPI PCell Total Tx Power[dBm],LTE KPI PCell SINR[dB],LTE KPI PCell WB CQI CW0,LTE KPI PCell WB CQI CW1,LTE KPI PCell WB RI,LTE KPI PCell WB RI1 Rate,LTE KPI PCell WB RI2 Rate,LTE KPI PCell WB RI3 Rate,LTE KPI PCell WB RI4 Rate,LTE KPI PCell Tx Mode,LTE KPI PCell WB PMI 0,LTE KPI PCell M(Tx) x N(Rx) Ant,LTE KPI PCell DL MCS0,LTE KPI PCell DL MCS1,LTE KPI PCell UL MCS,LTE KPI PCell DL Modulation0,LTE KPI PCell DL Modulation1,LTE KPI PCell UL Modulation,LTE KPI Pcell PDSCH PRB Number(Avg),LTE KPI PCell PUSCH PRB Number(Avg),LTE KPI PCell PDSCH PRB Number(Including 0),LTE KPI PCell PDSCH PRB Number TB0(Including 0),LTE KPI PCell PDSCH PRB Number TB1(Including 0),LTE KPI PCell PUSCH PRB Number(Including 0),LTE KPI PCell PDSCH BLER[%],LTE KPI PCell PUSCH BLER[%],LTE KPI PCell PDSCH Throughput[Mbps],LTE KPI PCell PUSCH Throughput[Mbps],LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PDSCH PRB Number(Avg)(Total),LTE KPI PUSCH PRB Number(Avg)(Total),LTE KPI PDSCH PRB Number(Including 0)(Total),LTE KPI PUSCH PRB Number(Including 0)(Total),LTE KPI PDSCH BLER[%],LTE KPI PUSCH BLER[%],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],LTE KPI MAC DL Throughput[Mbps],LTE KPI MAC UL Throughput[Mbps],LTE KPI RLC DL Throughput[Mbps],LTE KPI RLC UL Throughput[Mbps],LTE KPI PDCP DL Throughput[Mbps],LTE KPI PDCP UL Throughput[Mbps],LTE KPI CA Type,LTE KPI UL CA Type,LTE KPI Band Combination,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network Rx Byte,Smart Phone Smart Throughput Mobile Network Tx Byte,5G KPI Total Info Layer2 PDCP DL Throughput(+Split Bearer) [Mbps]
0,2022-08-14 12:38:21.000000,-82.064461,40.95845,,,,,,,,,,,,,,,,,,,,,,,,,,,LTE,,LTE Qualcomm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,0.005,,0.005,,,,0.05,,,,0.005,,0.005,,,,,,,,,,,,
1,2022-08-14 12:38:21.400000,-82.064461,40.95845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.0,Band 5,2450.0,20450.0,10.0,-88.38,-12.28,-58.31,,,,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 5,,,,,
2,2022-08-14 12:38:21.475242,-82.064461,40.95845,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022-08-14 12:38:21.500000,-82.064461,40.95845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.0,Band 5,2450.0,20450.0,10.0,-88.41,-10.29,-60.92,,,-2.17,15.6,10.0,9.0,2.0,0.0,100.0,0.0,0.0,TM4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 5,,,,,0.0
4,2022-08-14 12:38:21.600000,-82.064461,40.95845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.0,Band 5,2450.0,20450.0,10.0,-87.82,-11.38,-59.26,,,-2.5,16.45,11.0,10.0,,,,,,TM4,10.0,,0.0,0.0,19.67,QPSK,QPSK,16QAM,1.0,4.67,,,,,0.0,,,,,,1.0,4.67,,,0.0,,,,,,,,,,NonCA,NonCA,Band 5,,,,,
5,2022-08-14 12:38:21.700000,-82.064461,40.95845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.0,Band 5,2450.0,20450.0,10.0,-84.68,-10.63,-57.01,,,,16.23,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,0.0,,NonCA,,Band 5,,,,,
6,2022-08-14 12:38:21.800000,-82.064461,40.95845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.0,Band 5,2450.0,20450.0,10.0,-85.18,-12.07,-56.07,8.54,,-14.0,15.55,,,2.0,0.0,100.0,0.0,0.0,TM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 5,0.0,0.0,0.0,0.0,
7,2022-08-14 12:38:21.900000,-82.064461,40.95845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.0,Band 5,2450.0,20450.0,10.0,-86.26,-12.18,-56.94,,-7.57,,15.87,10.0,8.0,,,,,,TM4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,NonCA,,Band 5,,,,,
8,2022-08-14 12:38:22.000000,-82.064461,40.95845,-82.06446,40.95845,13:38:22,41.0,133.0,133.0,,1.0,2.0,,11.0,23.0,103.0,39.0,18.0,30.0,303.0,22.0,23.0,9.0,250.0,29.0,25.0,3.0,226.0,26.0,LTE,,LTE Qualcomm,396.0,Band 5,2450.0,20450.0,10.0,-86.84,-11.85,-57.66,,,-15.0,15.41,,,,,,,,,,,,,,,,,,,0.03,0.03,0.02,0.35,,,0.013,0.016,0.013,0.016,,,0.03,0.35,,,0.013,0.016,0.013,0.016,,,,,NonCA,,Band 5,,,,,0.0
9,2022-08-14 12:38:22.100000,-82.06443,40.958477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.0,Band 5,2450.0,20450.0,10.0,-88.09,-11.76,-58.73,,,-15.0,14.12,,,2.0,0.0,100.0,0.0,0.0,TM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 5,,,,,
