idx,size,avail,enc_fin,offload,inf,recv
0,38912,1660587376646,1660587376681,1660587376682,63,1660587385936
93,38912,1660587385945,1660587385980,1660587385981,63,1660587386375
98,38912,1660587386445,1660587386480,1660587386481,63,1660587386912
103,38912,1660587386945,1660587386980,1660587386982,63,1660587388130
115,38912,1660587388145,1660587388180,1660587388181,63,1660587388873
123,38912,1660587388945,1660587388980,1660587388982,63,1660587389614
130,38912,1660587389645,1660587389680,1660587389682,63,1660587390393
138,38912,1660587390445,1660587390480,1660587390481,63,1660587391838
152,38912,1660587391845,1660587391880,1660587391881,63,1660587393801
172,38912,1660587393844,1660587393879,1660587393880,63,1660587395661
