,TIME_STAMP,Lon,Lat,GPS Lon,GPS Lat,GPS Time,GPS Head,GPS Speed (km/h),GPS Speed(Complement),GPS Distance (m),GPS Source,GPS Data Ind,GPS Area,GPS Satellite Status NMEA GPS List[0] PRN,GPS Satellite Status NMEA GPS List[0] Elevation,GPS Satellite Status NMEA GPS List[0] Azimuth,GPS Satellite Status NMEA GPS List[0] SNR [dB],GPS Satellite Status NMEA GPS List[1] PRN,GPS Satellite Status NMEA GPS List[1] Elevation,GPS Satellite Status NMEA GPS List[1] Azimuth,GPS Satellite Status NMEA GPS List[1] SNR [dB],GPS Satellite Status NMEA GPS List[2] PRN,GPS Satellite Status NMEA GPS List[2] Elevation,GPS Satellite Status NMEA GPS List[2] Azimuth,GPS Satellite Status NMEA GPS List[2] SNR [dB],GPS Satellite Status NMEA GPS List[3] PRN,GPS Satellite Status NMEA GPS List[3] Elevation,GPS Satellite Status NMEA GPS List[3] Azimuth,GPS Satellite Status NMEA GPS List[3] SNR [dB],Event Technology,Event Port Number,LTE KPI Chip Type,LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving EARFCN(UL),LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving BandWidth(UL),LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell Serving RSRQ[dB],LTE KPI PCell Serving RSSI[dBm],LTE KPI PCell PUSCH Power[dBm],LTE KPI PCell PUCCH Power[dBm],LTE KPI PCell Total Tx Power[dBm],LTE KPI PCell SINR[dB],LTE KPI PCell WB CQI CW0,LTE KPI PCell WB CQI CW1,LTE KPI PCell WB RI,LTE KPI PCell WB RI1 Rate,LTE KPI PCell WB RI2 Rate,LTE KPI PCell WB RI3 Rate,LTE KPI PCell WB RI4 Rate,LTE KPI PCell Tx Mode,LTE KPI PCell WB PMI 0,LTE KPI PCell M(Tx) x N(Rx) Ant,LTE KPI PCell DL MCS0,LTE KPI PCell DL MCS1,LTE KPI PCell UL MCS,LTE KPI PCell DL Modulation0,LTE KPI PCell DL Modulation1,LTE KPI PCell UL Modulation,LTE KPI Pcell PDSCH PRB Number(Avg),LTE KPI PCell PUSCH PRB Number(Avg),LTE KPI PCell PDSCH PRB Number(Including 0),LTE KPI PCell PDSCH PRB Number TB0(Including 0),LTE KPI PCell PDSCH PRB Number TB1(Including 0),LTE KPI PCell PUSCH PRB Number(Including 0),LTE KPI PCell PDSCH BLER[%],LTE KPI PCell PUSCH BLER[%],LTE KPI PCell PDSCH Throughput[Mbps],LTE KPI PCell PUSCH Throughput[Mbps],LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PDSCH PRB Number(Avg)(Total),LTE KPI PUSCH PRB Number(Avg)(Total),LTE KPI PDSCH PRB Number(Including 0)(Total),LTE KPI PUSCH PRB Number(Including 0)(Total),LTE KPI PDSCH BLER[%],LTE KPI PUSCH BLER[%],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],LTE KPI MAC DL Throughput[Mbps],LTE KPI MAC UL Throughput[Mbps],LTE KPI RLC DL Throughput[Mbps],LTE KPI RLC UL Throughput[Mbps],LTE KPI PDCP DL Throughput[Mbps],LTE KPI PDCP UL Throughput[Mbps],LTE KPI CA Type,LTE KPI UL CA Type,LTE KPI Band Combination,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network Rx Byte,Smart Phone Smart Throughput Mobile Network Tx Byte
0,2022-08-08 15:07:58.000000,-118.237549,34.058441,,,,,,,,,,,,,,,,,,,,,,,,,,,LTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2022-08-08 15:07:58.600000,-118.237549,34.058441,,,,,,,,,,,10.0,54.0,270.0,26.0,18.0,57.0,65.0,31.0,23.0,70.0,341.0,31.0,24.0,10.0,106.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022-08-08 15:07:58.638252,-118.237549,34.058441,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022-08-08 15:07:58.700000,-118.237549,34.058441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Band 66,66586.0,132122.0,10.0,10.0,-73.88,-9.63,-41.5,,-17.96,,10.5,6.0,6.0,,,,,,TM4,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 66,,,,
4,2022-08-08 15:07:58.900000,-118.237549,34.058441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5,2022-08-08 15:07:59.000000,-118.237549,34.058441,-118.23755,34.05844,13:07:58,151.0,0.0,0.0,,1.0,2.0,,,,,,,,,,,,,,,,,,LTE,,LTE Qualcomm,5.0,Band 66,66586.0,132122.0,10.0,10.0,-74.47,-13.0,-41.47,,,-9.08,4.15,7.0,3.0,1.0,100.0,0.0,0.0,0.0,TM4,6.0,,,,,,,,,,0.89,0.89,0.22,0.2,,,0.148,0.01,0.148,0.008,,,0.89,0.2,,,0.148,0.01,0.148,0.008,,,,,NonCA,,Band 66,,,,
6,2022-08-08 15:07:59.100000,-118.237549,34.058441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Band 66,66586.0,132122.0,10.0,10.0,-74.61,-12.36,-41.66,,,-10.4,4.82,6.0,5.0,1.0,100.0,0.0,0.0,0.0,TM4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,,0.006,,NonCA,,Band 66,,,,
7,2022-08-08 15:07:59.200000,-118.237549,34.058441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Band 66,66586.0,132122.0,10.0,10.0,-73.47,-12.42,-40.7,,,-16.0,3.96,10.0,0.0,,,,,,TM4,3.0,,3.5,5.0,,16QAM,16QAM,,4.0,,,,,,0.0,25.0,,,,,4.0,,,,0.0,25.0,,,,,,,,,NonCA,,Band 66,,,,
8,2022-08-08 15:07:59.300000,-118.237549,34.058441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Band 66,66586.0,132122.0,10.0,10.0,-72.46,-11.94,-40.25,,,-17.0,3.63,7.0,0.0,,,,,,TM4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 66,,,,
9,2022-08-08 15:07:59.400000,-118.237549,34.058441,,,,,,,,,,,10.0,54.0,270.0,36.0,13.0,6.0,35.0,34.0,15.0,32.0,51.0,38.0,16.0,19.0,268.0,20.0,,,,5.0,Band 66,66586.0,132122.0,10.0,10.0,-71.88,-12.41,-38.94,,,,6.05,10.0,0.0,,,,,,TM4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,NonCA,,Band 66,0.004,0.011,240.0,672.0
10,2022-08-08 15:07:59.500000,-118.237549,34.058441,,,,,,,,,,,10.0,54.0,270.0,34.0,18.0,57.0,65.0,37.0,23.0,70.0,341.0,43.0,24.0,10.0,106.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,256QAM,,1.71,,,,,,,,,,,,1.71,,,,,,,,,,,,0.006,,NonCA,,,,,
11,2022-08-08 15:07:59.700000,-118.237549,34.058441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
