,TIME_STAMP,Lon,Lat,GPS Satellite Status NMEA GPS List[0] PRN,GPS Satellite Status NMEA GPS List[0] Elevation,GPS Satellite Status NMEA GPS List[0] Azimuth,GPS Satellite Status NMEA GPS List[0] SNR [dB],GPS Satellite Status NMEA GPS List[1] PRN,GPS Satellite Status NMEA GPS List[1] Elevation,GPS Satellite Status NMEA GPS List[1] Azimuth,GPS Satellite Status NMEA GPS List[1] SNR [dB],GPS Satellite Status NMEA GPS List[2] PRN,GPS Satellite Status NMEA GPS List[2] Elevation,GPS Satellite Status NMEA GPS List[2] Azimuth,GPS Satellite Status NMEA GPS List[2] SNR [dB],GPS Satellite Status NMEA GPS List[3] PRN,GPS Satellite Status NMEA GPS List[3] Elevation,GPS Satellite Status NMEA GPS List[3] Azimuth,GPS Satellite Status NMEA GPS List[3] SNR [dB],Event Technology,Event LTE Events,Event 5G-NR/LTE Events,Event Port Number,LTE KPI Chip Type,LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving EARFCN(UL),LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving BandWidth(UL),LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell Serving RSRQ[dB],LTE KPI PCell Serving RSSI[dBm],LTE KPI PCell PUSCH Power[dBm],LTE KPI PCell PUCCH Power[dBm],LTE KPI PCell Total Tx Power[dBm],LTE KPI PCell SINR[dB],LTE KPI PCell WB CQI CW0,LTE KPI PCell WB CQI CW1,LTE KPI PCell WB RI,LTE KPI PCell WB RI1 Rate,LTE KPI PCell WB RI2 Rate,LTE KPI PCell WB RI3 Rate,LTE KPI PCell WB RI4 Rate,LTE KPI PCell Tx Mode,LTE KPI PCell WB PMI 0,LTE KPI PCell M(Tx) x N(Rx) Ant,LTE KPI PCell DL MCS0,LTE KPI PCell DL MCS1,LTE KPI PCell UL MCS,LTE KPI PCell DL Modulation0,LTE KPI PCell DL Modulation1,LTE KPI PCell UL Modulation,LTE KPI Pcell PDSCH PRB Number(Avg),LTE KPI PCell PUSCH PRB Number(Avg),LTE KPI PCell PDSCH PRB Number(Including 0),LTE KPI PCell PDSCH PRB Number TB0(Including 0),LTE KPI PCell PDSCH PRB Number TB1(Including 0),LTE KPI PCell PUSCH PRB Number(Including 0),LTE KPI PCell PDSCH BLER[%],LTE KPI PCell PUSCH BLER[%],LTE KPI PCell PDSCH Throughput[Mbps],LTE KPI PCell PUSCH Throughput[Mbps],LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PDSCH PRB Number(Avg)(Total),LTE KPI PUSCH PRB Number(Avg)(Total),LTE KPI PDSCH PRB Number(Including 0)(Total),LTE KPI PUSCH PRB Number(Including 0)(Total),LTE KPI PDSCH BLER[%],LTE KPI PUSCH BLER[%],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],LTE KPI MAC DL Throughput[Mbps],LTE KPI MAC UL Throughput[Mbps],LTE KPI RLC DL Throughput[Mbps],LTE KPI RLC UL Throughput[Mbps],LTE KPI PDCP DL Throughput[Mbps],LTE KPI PDCP UL Throughput[Mbps],LTE KPI TAC,LTE KPI CA Type,LTE KPI UL CA Type,LTE KPI Band Combination,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network Rx Byte,Smart Phone Smart Throughput Mobile Network Tx Byte,5G KPI Total Info Layer2 PDCP DL Throughput(+Split Bearer) [Mbps]
0,2022-08-11 16:16:38.000000,,,,,,,,,,,,,,,,,,,LTE,,,,LTE Qualcomm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.0,,0.0,,,,0.02,,,,0.0,,0.0,,,,,,,,,,,,,
1,2022-08-11 16:16:38.600000,,,,,,,,,,,,,,,,,,,,,,,,377.0,Band 2,700.0,18700.0,20.0,20.0,-95.25,-9.53,-65.69,,,-14.14,10.8,12.8,5.2,2.0,40.0,60.0,0.0,0.0,TM4,11.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,NonCA,,Band 2,,,,,
2,2022-08-11 16:16:38.611390,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022-08-11 16:16:38.700000,,,,,,,,,,,,,,,,,,,,,,,,377.0,Band 2,700.0,18700.0,20.0,20.0,-96.27,-9.1,-66.15,,,-19.5,10.53,13.33,0.0,1.0,100.0,0.0,0.0,0.0,TM4,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 2,,,,,
4,2022-08-11 16:16:38.800000,,,,,,,,,,,,,,,,,,,,,,,,377.0,Band 2,700.0,18700.0,20.0,20.0,-96.81,-8.31,-66.56,,-13.28,-25.29,12.5,11.0,7.5,2.0,25.0,75.0,0.0,0.0,TM4,6.0,,,,,,,QPSK,,1.92,,,,,,,,,,,,1.92,,,,,,,,,,,,,,NonCA,NonCA,Band 2,,,,,
5,2022-08-11 16:16:38.900000,,,,,,,,,,,,,,,,,,,,,,,,377.0,Band 2,700.0,18700.0,20.0,20.0,-96.38,-11.35,-63.96,,,-14.91,9.63,10.6,9.6,2.0,0.0,100.0,0.0,0.0,TM4,11.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,0.0,,,NonCA,,Band 2,,,,,
6,2022-08-11 16:16:39.000000,,,,,,,,,,,,,,,,,,,LTE,,,,LTE Qualcomm,377.0,Band 2,700.0,18700.0,20.0,20.0,-95.41,-11.22,-64.22,11.69,,-18.53,7.2,9.0,5.83,2.0,33.33,66.67,0.0,0.0,TM4,6.0,,,,,,,,,,,,,,,,,0.002,,0.002,,,,,,,,0.002,,0.002,,,,,,NonCA,,Band 2,0.0,0.0,0.0,0.0,0.0
7,2022-08-11 16:16:39.100000,,,,,,,,,,,,,,,,,,,,,,,,377.0,Band 2,700.0,18700.0,20.0,20.0,-94.63,-10.63,-63.59,,-13.0,-22.04,8.9,9.67,11.0,2.0,0.0,100.0,0.0,0.0,TM4,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,NonCA,,Band 2,,,,,
8,2022-08-11 16:16:39.200000,,,,,,,,,,,,,,,,,,,,,,,,377.0,Band 2,700.0,18700.0,20.0,20.0,-93.71,-11.9,-61.4,,,-13.5,3.5,11.0,2.0,1.0,75.0,25.0,0.0,0.0,TM4,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,NonCA,,Band 2,,,,,
9,2022-08-11 16:16:39.300000,,,,,,,,,,,,,,,,,,,,,,,,377.0,Band 2,700.0,18700.0,20.0,20.0,-93.31,-10.0,-63.38,,,-22.14,8.2,10.0,2.67,1.0,66.67,33.33,0.0,0.0,TM4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 2,,,,,
