TIME_STAMP,Lon,Lat,LTE KPI CA Type,LTE KPI UL CA Type,Event Technology,Event LTE Events,Event 5G-NR/LTE Events,LTE KPI PCell M(Tx) x N(Rx) Ant,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network Rx Byte,Smart Phone Smart Throughput Mobile Network Tx Byte,Qualcomm Lte/LteAdv Intrafreq Measure PCell Frequency(DL)[MHz],Qualcomm Lte/LteAdv Intrafreq Measure PCell Frequency(UL)[MHz]
2022-08-08 11:33:47.100000,-118.236801,34.058800,NonCA,,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:47.200000,-118.236801,34.058800,,,,,,,0.011,0.018,670,1137,,
2022-08-08 11:33:47.300000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:47.500000,-118.236801,34.058800,NonCA,,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:47.600000,-118.236801,34.058800,NonCA,,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:47.700000,-118.236801,34.058800,,,,,,,0.004,0.014,277,859,,
2022-08-08 11:33:47.800000,-118.236801,34.058800,NonCA,,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:48.000000,-118.236801,34.058800,NonCA,,LTE,,,,,,,,1955.00,1875.00
2022-08-08 11:33:48.200000,-118.236801,34.058800,NonCA,NonCA,,,,,0.010,0.009,594,579,1955.00,1875.00
2022-08-08 11:33:48.300000,-118.236801,34.058800,NonCA,,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:48.400000,-118.236801,34.058800,NonCA,,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:48.600000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:48.700000,-118.236801,34.058800,,,,,,,0.004,0.005,267,324,,
2022-08-08 11:33:48.800000,-118.236801,34.058800,NonCA,,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:49.000000,-118.236801,34.058800,NonCA,,LTE,,,4x2,,,,,1955.00,1875.00
2022-08-08 11:33:49.100000,-118.236801,34.058800,NonCA,,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:49.200000,-118.236801,34.058800,NonCA,,,,,,0.004,0.009,277,583,1955.00,1875.00
2022-08-08 11:33:49.300000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:49.500000,-118.236801,34.058800,NonCA,,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:49.600000,-118.236801,34.058800,NonCA,,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:49.700000,-118.236801,34.058800,,,,,,,0.022,0.009,1365,584,,
2022-08-08 11:33:49.800000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:50.000000,-118.236801,34.058800,NonCA,,LTE,,,,,,,,1955.00,1875.00
2022-08-08 11:33:50.100000,-118.236801,34.058800,NonCA,,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:50.148260,-118.236801,34.058800,,,,reportStrongestCells,reportStrongestCells,,,,,,,
2022-08-08 11:33:50.200000,-118.236801,34.058800,,,,,,,0.000,0.000,0,0,,
2022-08-08 11:33:50.300000,-118.236801,34.058800,NonCA,,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:50.500000,-118.236801,34.058800,NonCA,,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:50.700000,-118.236801,34.058800,,,,,,,0.000,0.000,0,0,,
2022-08-08 11:33:50.800000,-118.236801,34.058800,NonCA,,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:51.000000,-118.236801,34.058800,NonCA,,LTE,,,4x4,,,,,1955.00,1875.00
2022-08-08 11:33:51.100000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:51.200000,-118.236801,34.058800,NonCA,,,,,,0.048,0.629,2986,39369,1955.00,1875.00
