TIME_STAMP,Lon,Lat,Event Technology,Event Port Number,LTE KPI Chip Type,LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving EARFCN(UL),LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving BandWidth(UL),LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell Serving RSRQ[dB],LTE KPI PCell Serving RSSI[dBm],LTE KPI PCell PUSCH Power[dBm],LTE KPI PCell PUCCH Power[dBm],LTE KPI PCell Total Tx Power[dBm],LTE KPI PCell SINR[dB],LTE KPI PCell WB CQI CW0,LTE KPI PCell WB CQI CW1,LTE KPI PCell WB RI,LTE KPI PCell WB RI1 Rate,LTE KPI PCell WB RI2 Rate,LTE KPI PCell WB RI3 Rate,LTE KPI PCell WB RI4 Rate,LTE KPI PCell Tx Mode,LTE KPI PCell WB PMI 0,LTE KPI PCell M(Tx) x N(Rx) Ant,LTE KPI PCell DL MCS0,LTE KPI PCell DL MCS1,LTE KPI PCell UL MCS,LTE KPI PCell DL Modulation0,LTE KPI PCell DL Modulation1,LTE KPI PCell UL Modulation,LTE KPI Pcell PDSCH PRB Number(Avg),LTE KPI PCell PUSCH PRB Number(Avg),LTE KPI PCell PDSCH PRB Number(Including 0),LTE KPI PCell PDSCH PRB Number TB0(Including 0),LTE KPI PCell PDSCH PRB Number TB1(Including 0),LTE KPI PCell PUSCH PRB Number(Including 0),LTE KPI PCell PDSCH BLER[%],LTE KPI PCell PUSCH BLER[%],LTE KPI PCell PDSCH Throughput[Mbps],LTE KPI PCell PUSCH Throughput[Mbps],LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PDSCH PRB Number(Avg)(Total),LTE KPI PUSCH PRB Number(Avg)(Total),LTE KPI PDSCH PRB Number(Including 0)(Total),LTE KPI PUSCH PRB Number(Including 0)(Total),LTE KPI PDSCH BLER[%],LTE KPI PUSCH BLER[%],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],LTE KPI MAC DL Throughput[Mbps],LTE KPI MAC UL Throughput[Mbps],LTE KPI RLC DL Throughput[Mbps],LTE KPI RLC UL Throughput[Mbps],LTE KPI PDCP DL Throughput[Mbps],LTE KPI PDCP UL Throughput[Mbps],LTE KPI CA Type,LTE KPI UL CA Type,LTE KPI Band Combination,5G KPI PCell Chip Type,5G KPI PCell RF Serving PCI,5G KPI PCell RF Serving PCI MOD 3,5G KPI PCell RF Serving PCI MOD 4,5G KPI PCell RF Serving PCI MOD 12,5G KPI PCell RF Serving PCI MOD 30,5G KPI PCell RF NR-ARFCN,5G KPI PCell RF Band,5G KPI PCell RF BandWidth,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Subcarrier Spacing,5G KPI PCell RF Tx Beam ID 0,5G KPI PCell RF Rx Beam ID 0,5G KPI PCell RF Rx Beam ID 1,5G KPI PCell RF Serving PCI-SSB Idx,5G KPI PCell RF Serving SSB Idx,5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI PCell RF Serving SS-RSRQ [dB],5G KPI PCell RF Serving SS-SINR [dB],5G KPI PCell RF Best Beam SSB Idx,5G KPI PCell RF Best Beam SS-RSRP [dBm],5G KPI PCell RF Best Beam SS-RSRQ [dB],5G KPI PCell RF Best Beam State,5G KPI PCell RF Best Beam CSI-RSRP[SSBRI] [dBm],5G KPI PCell RF Pathloss [dB],5G KPI PCell RF RI,5G KPI PCell RF RI1 Rate [%],5G KPI PCell RF RI2 Rate [%],5G KPI PCell RF RI3 Rate [%],5G KPI PCell RF RI4 Rate [%],5G KPI PCell RF CQI,5G KPI PCell RF PMI i(2),5G KPI PCell RF LI,5G KPI PCell RF LI1 Rate,5G KPI PCell RF LI2 Rate,5G KPI PCell RF LI3 Rate,5G KPI PCell RF LI4 Rate,5G KPI PCell RF CRI,5G KPI PCell RF PUSCH Power [dBm],5G KPI PCell RF PUCCH Power [dBm],5G KPI PCell RF ENDC Tx Power [dBm],5G KPI PCell RF Neighbor Top1 PCI,5G KPI PCell RF Neighbor Top1 SS-RSRP [dBm],5G KPI PCell RF Neighbor Top1 SS-RSRQ [dB],5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer1 UL BLER [%],5G KPI PCell Layer1 DL Layer Num (Mode),5G KPI PCell Layer1 DL Layer Num (Avg),5G KPI PCell Layer1 UL Layer Num (Mode),5G KPI PCell Layer1 UL Layer Num (Avg),5G KPI PCell Layer1 DL MIMO,5G KPI PCell Layer1 UL MIMO,5G KPI PCell Layer1 DL MCS (Mode),5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer1 UL MCS (Mode),5G KPI PCell Layer1 UL MCS (Avg),5G KPI PCell Layer1 DL RB Num (Mode),5G KPI PCell Layer1 DL RB Num (Avg),5G KPI PCell Layer1 DL RB Num (Including 0),5G KPI PCell Layer1 UL RB Num (Mode),5G KPI PCell Layer1 UL RB Num (Avg),5G KPI PCell Layer1 UL RB Num (Including 0),5G KPI PCell Layer1 PDSCH Throughput [Mbps],5G KPI PCell Layer1 PUSCH Throughput [Mbps],5G KPI PCell Layer1 DL BWP ID,5G KPI PCell Layer1 UL BWP ID,5G KPI PCell Layer1 DL Modulation0 DL QPSK Rate [%],5G KPI PCell Layer1 DL Modulation0 DL 16QAM Rate [%],5G KPI PCell Layer1 DL Modulation0 DL 64QAM Rate [%],5G KPI PCell Layer1 DL Modulation0 DL 256 QAM Rate [%],5G KPI PCell Layer1 DL Modulation0 DL 1024 QAM Rate [%],5G KPI PCell Layer1 DL Modulation0 Representative Value,5G KPI PCell Layer1 UL Modulation UL Pi/2 BPSK Rate [%],5G KPI PCell Layer1 UL Modulation UL QPSK Rate [%],5G KPI PCell Layer1 UL Modulation UL 16QAM Rate [%],5G KPI PCell Layer1 UL Modulation UL 64QAM Rate [%],5G KPI PCell Layer1 UL Modulation UL 256 QAM Rate [%],5G KPI PCell Layer1 UL Modulation UL 1024 QAM Rate [%],5G KPI PCell Layer1 UL Modulation Representative Value,5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI SCell[1] RF Serving PCI,5G KPI SCell[1] RF NR-ARFCN,5G KPI SCell[1] RF Band,5G KPI SCell[1] RF BandWidth,5G KPI SCell[1] RF Frequency [MHz],5G KPI SCell[1] RF Serving PCI-SSB Idx,5G KPI SCell[1] RF Serving SSB Idx,5G KPI SCell[1] RF Serving SS-RSRP [dBm],5G KPI SCell[1] RF Serving SS-RSRQ [dB],5G KPI SCell[1] RF Best Beam SSB Idx,5G KPI SCell[1] RF Best Beam SS-RSRP [dBm],5G KPI SCell[1] RF Best Beam SS-RSRQ [dB],5G KPI SCell[1] RF Best Beam State,5G KPI SCell[1] RF Neighbor Top1 PCI,5G KPI SCell[1] RF Neighbor Top1 SS-RSRP [dBm],5G KPI SCell[1] RF Neighbor Top1 SS-RSRQ [dB],5G KPI SCell[1] Layer1 PDSCH Throughput [Mbps],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] RF Serving PCI,5G KPI SCell[2] RF NR-ARFCN,5G KPI SCell[2] RF Band,5G KPI SCell[2] RF BandWidth,5G KPI SCell[2] RF Frequency [MHz],5G KPI SCell[2] RF Subcarrier Spacing,5G KPI SCell[2] RF Serving PCI-SSB Idx,5G KPI SCell[2] RF Serving SSB Idx,5G KPI SCell[2] RF Serving SS-RSRP [dBm],5G KPI SCell[2] RF Serving SS-RSRQ [dB],5G KPI SCell[2] RF Best Beam SSB Idx,5G KPI SCell[2] RF Best Beam SS-RSRP [dBm],5G KPI SCell[2] RF Best Beam SS-RSRQ [dB],5G KPI SCell[2] RF Best Beam State,5G KPI SCell[2] RF RI,5G KPI SCell[2] RF RI1 Rate,5G KPI SCell[2] RF RI2 Rate,5G KPI SCell[2] RF RI3 Rate,5G KPI SCell[2] RF RI4 Rate,5G KPI SCell[2] RF CQI,5G KPI SCell[2] RF PMI i(2),5G KPI SCell[2] RF LI,5G KPI SCell[2] RF LI1 Rate,5G KPI SCell[2] RF LI2 Rate,5G KPI SCell[2] RF LI3 Rate,5G KPI SCell[2] RF LI4 Rate,5G KPI SCell[2] RF CRI,5G KPI SCell[2] RF Neighbor Top1 PCI,5G KPI SCell[2] RF Neighbor Top1 SS-RSRP [dBm],5G KPI SCell[2] RF Neighbor Top1 SS-RSRQ [dB],5G KPI SCell[2] Layer1 DL BLER [%],5G KPI SCell[2] Layer1 DL Layer Num (Mode),5G KPI SCell[2] Layer1 DL Layer Num (Avg),5G KPI SCell[2] Layer1 DL MIMO,5G KPI SCell[2] Layer1 DL MCS (Mode),5G KPI SCell[2] Layer1 DL MCS (Avg),5G KPI SCell[2] Layer1 DL RB Num (Mode),5G KPI SCell[2] Layer1 DL RB Num (Avg),5G KPI SCell[2] Layer1 DL RB Num (Including 0),5G KPI SCell[2] Layer1 PDSCH Throughput [Mbps],5G KPI SCell[2] Layer1 DL BWP ID,5G KPI SCell[2] Layer1 DL Modulation0 DL QPSK Rate [%],5G KPI SCell[2] Layer1 DL Modulation0 DL 16QAM Rate [%],5G KPI SCell[2] Layer1 DL Modulation0 DL 64QAM Rate [%],5G KPI SCell[2] Layer1 DL Modulation0 DL 256QAM Rate [%],5G KPI SCell[2] Layer1 DL Modulation0 DL 1024QAM Rate [%],5G KPI SCell[2] Layer1 DL Modulation0 Representative Value,5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] RF Serving PCI,5G KPI SCell[3] RF NR-ARFCN,5G KPI SCell[3] RF Band,5G KPI SCell[3] RF BandWidth,5G KPI SCell[3] RF Frequency [MHz],5G KPI SCell[3] RF Subcarrier Spacing,5G KPI SCell[3] RF Serving PCI-SSB Idx,5G KPI SCell[3] RF Serving SSB Idx,5G KPI SCell[3] RF Serving SS-RSRP [dBm],5G KPI SCell[3] RF Serving SS-RSRQ [dB],5G KPI SCell[3] RF Best Beam SSB Idx,5G KPI SCell[3] RF Best Beam SS-RSRP [dBm],5G KPI SCell[3] RF Best Beam SS-RSRQ [dB],5G KPI SCell[3] RF Best Beam State,5G KPI SCell[3] RF RI,5G KPI SCell[3] RF RI1 Rate,5G KPI SCell[3] RF RI2 Rate,5G KPI SCell[3] RF RI3 Rate,5G KPI SCell[3] RF RI4 Rate,5G KPI SCell[3] RF CQI,5G KPI SCell[3] RF PMI i(2),5G KPI SCell[3] RF LI,5G KPI SCell[3] RF LI1 Rate,5G KPI SCell[3] RF LI2 Rate,5G KPI SCell[3] RF LI3 Rate,5G KPI SCell[3] RF LI4 Rate,5G KPI SCell[3] RF CRI,5G KPI SCell[3] RF Neighbor Top1 PCI,5G KPI SCell[3] RF Neighbor Top1 SS-RSRP [dBm],5G KPI SCell[3] RF Neighbor Top1 SS-RSRQ [dB],5G KPI SCell[3] Layer1 DL BLER [%],5G KPI SCell[3] Layer1 DL Layer Num (Mode),5G KPI SCell[3] Layer1 DL Layer Num (Avg),5G KPI SCell[3] Layer1 DL MIMO,5G KPI SCell[3] Layer1 DL MCS (Mode),5G KPI SCell[3] Layer1 DL MCS (Avg),5G KPI SCell[3] Layer1 DL RB Num (Mode),5G KPI SCell[3] Layer1 DL RB Num (Avg),5G KPI SCell[3] Layer1 DL RB Num (Including 0),5G KPI SCell[3] Layer1 PDSCH Throughput [Mbps],5G KPI SCell[3] Layer1 DL BWP ID,5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] RF Serving PCI,5G KPI SCell[4] RF NR-ARFCN,5G KPI SCell[4] RF Band,5G KPI SCell[4] RF BandWidth,5G KPI SCell[4] RF Frequency [MHz],5G KPI SCell[4] RF Subcarrier Spacing,5G KPI SCell[4] RF Serving PCI-SSB Idx,5G KPI SCell[4] RF Serving SSB Idx,5G KPI SCell[4] RF Serving SS-RSRP [dBm],5G KPI SCell[4] RF Serving SS-RSRQ [dB],5G KPI SCell[4] RF Best Beam SSB Idx,5G KPI SCell[4] RF Best Beam SS-RSRP [dBm],5G KPI SCell[4] RF Best Beam SS-RSRQ [dB],5G KPI SCell[4] RF Best Beam State,5G KPI SCell[4] RF RI,5G KPI SCell[4] RF RI1 Rate,5G KPI SCell[4] RF RI2 Rate,5G KPI SCell[4] RF RI3 Rate,5G KPI SCell[4] RF RI4 Rate,5G KPI SCell[4] RF CQI,5G KPI SCell[4] RF PMI i(2),5G KPI SCell[4] RF LI,5G KPI SCell[4] RF LI1 Rate,5G KPI SCell[4] RF LI2 Rate,5G KPI SCell[4] RF LI3 Rate,5G KPI SCell[4] RF LI4 Rate,5G KPI SCell[4] RF CRI,5G KPI SCell[4] RF Neighbor Top1 PCI,5G KPI SCell[4] RF Neighbor Top1 SS-RSRP [dBm],5G KPI SCell[4] RF Neighbor Top1 SS-RSRQ [dB],5G KPI SCell[4] Layer1 DL BLER [%],5G KPI SCell[4] Layer1 DL Layer Num (Mode),5G KPI SCell[4] Layer1 DL Layer Num (Avg),5G KPI SCell[4] Layer1 DL MIMO,5G KPI SCell[4] Layer1 DL MCS (Mode),5G KPI SCell[4] Layer1 DL MCS (Avg),5G KPI SCell[4] Layer1 DL RB Num (Mode),5G KPI SCell[4] Layer1 DL RB Num (Avg),5G KPI SCell[4] Layer1 DL RB Num (Including 0),5G KPI SCell[4] Layer1 PDSCH Throughput [Mbps],5G KPI SCell[4] Layer1 DL BWP ID,5G KPI SCell[4] Layer1 DL Modulation0 DL QPSK Rate [%],5G KPI SCell[4] Layer1 DL Modulation0 DL 16QAM Rate [%],5G KPI SCell[4] Layer1 DL Modulation0 DL 64QAM Rate [%],5G KPI SCell[4] Layer1 DL Modulation0 DL 256QAM Rate [%],5G KPI SCell[4] Layer1 DL Modulation0 DL 1024QAM Rate [%],5G KPI SCell[4] Layer1 DL Modulation0 Representative Value,5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] RF Serving PCI,5G KPI SCell[5] RF NR-ARFCN,5G KPI SCell[5] RF Band,5G KPI SCell[5] RF BandWidth,5G KPI SCell[5] RF Frequency [MHz],5G KPI SCell[5] RF Subcarrier Spacing,5G KPI SCell[5] RF Serving PCI-SSB Idx,5G KPI SCell[5] RF Serving SSB Idx,5G KPI SCell[5] RF Serving SS-RSRP [dBm],5G KPI SCell[5] RF Serving SS-RSRQ [dB],5G KPI SCell[5] RF Best Beam SSB Idx,5G KPI SCell[5] RF Best Beam SS-RSRP [dBm],5G KPI SCell[5] RF Best Beam SS-RSRQ [dB],5G KPI SCell[5] RF Best Beam State,5G KPI SCell[5] RF RI,5G KPI SCell[5] RF RI1 Rate,5G KPI SCell[5] RF RI2 Rate,5G KPI SCell[5] RF RI3 Rate,5G KPI SCell[5] RF RI4 Rate,5G KPI SCell[5] RF CQI,5G KPI SCell[5] RF PMI i(2),5G KPI SCell[5] RF LI,5G KPI SCell[5] RF LI1 Rate,5G KPI SCell[5] RF LI2 Rate,5G KPI SCell[5] RF LI3 Rate,5G KPI SCell[5] RF LI4 Rate,5G KPI SCell[5] RF CRI,5G KPI SCell[5] RF Neighbor Top1 PCI,5G KPI SCell[5] RF Neighbor Top1 SS-RSRP [dBm],5G KPI SCell[5] RF Neighbor Top1 SS-RSRQ [dB],5G KPI SCell[5] Layer1 DL BLER [%],5G KPI SCell[5] Layer1 DL Layer Num (Mode),5G KPI SCell[5] Layer1 DL Layer Num (Avg),5G KPI SCell[5] Layer1 DL MIMO,5G KPI SCell[5] Layer1 DL MCS (Mode),5G KPI SCell[5] Layer1 DL MCS (Avg),5G KPI SCell[5] Layer1 DL RB Num (Mode),5G KPI SCell[5] Layer1 DL RB Num (Avg),5G KPI SCell[5] Layer1 DL RB Num (Including 0),5G KPI SCell[5] Layer1 PDSCH Throughput [Mbps],5G KPI SCell[5] Layer1 DL BWP ID,5G KPI SCell[5] Layer1 DL Modulation0 DL QPSK Rate [%],5G KPI SCell[5] Layer1 DL Modulation0 DL 16QAM Rate [%],5G KPI SCell[5] Layer1 DL Modulation0 DL 64QAM Rate [%],5G KPI SCell[5] Layer1 DL Modulation0 DL 256QAM Rate [%],5G KPI SCell[5] Layer1 DL Modulation0 DL 1024QAM Rate [%],5G KPI SCell[5] Layer1 DL Modulation0 Representative Value,5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] RF Serving PCI,5G KPI SCell[6] RF NR-ARFCN,5G KPI SCell[6] RF Band,5G KPI SCell[6] RF BandWidth,5G KPI SCell[6] RF Frequency [MHz],5G KPI SCell[6] RF Subcarrier Spacing,5G KPI SCell[6] RF Serving PCI-SSB Idx,5G KPI SCell[6] RF Serving SSB Idx,5G KPI SCell[6] RF Serving SS-RSRP [dBm],5G KPI SCell[6] RF Serving SS-RSRQ [dB],5G KPI SCell[6] RF Best Beam SSB Idx,5G KPI SCell[6] RF Best Beam SS-RSRP [dBm],5G KPI SCell[6] RF Best Beam SS-RSRQ [dB],5G KPI SCell[6] RF Best Beam State,5G KPI SCell[6] RF RI,5G KPI SCell[6] RF RI1 Rate,5G KPI SCell[6] RF RI2 Rate,5G KPI SCell[6] RF RI3 Rate,5G KPI SCell[6] RF RI4 Rate,5G KPI SCell[6] RF CQI,5G KPI SCell[6] RF PMI i(2),5G KPI SCell[6] RF LI,5G KPI SCell[6] RF LI1 Rate,5G KPI SCell[6] RF LI2 Rate,5G KPI SCell[6] RF LI3 Rate,5G KPI SCell[6] RF LI4 Rate,5G KPI SCell[6] RF CRI,5G KPI SCell[6] RF Neighbor Top1 PCI,5G KPI SCell[6] RF Neighbor Top1 SS-RSRP [dBm],5G KPI SCell[6] RF Neighbor Top1 SS-RSRQ [dB],5G KPI SCell[6] Layer1 DL BLER [%],5G KPI SCell[6] Layer1 DL Layer Num (Mode),5G KPI SCell[6] Layer1 DL Layer Num (Avg),5G KPI SCell[6] Layer1 DL MIMO,5G KPI SCell[6] Layer1 DL MCS (Mode),5G KPI SCell[6] Layer1 DL MCS (Avg),5G KPI SCell[6] Layer1 DL RB Num (Mode),5G KPI SCell[6] Layer1 DL RB Num (Avg),5G KPI SCell[6] Layer1 DL RB Num (Including 0),5G KPI SCell[6] Layer1 PDSCH Throughput [Mbps],5G KPI SCell[6] Layer1 DL BWP ID,5G KPI SCell[6] Layer1 DL Modulation0 DL QPSK Rate [%],5G KPI SCell[6] Layer1 DL Modulation0 DL 16QAM Rate [%],5G KPI SCell[6] Layer1 DL Modulation0 DL 64QAM Rate [%],5G KPI SCell[6] Layer1 DL Modulation0 DL 256QAM Rate [%],5G KPI SCell[6] Layer1 DL Modulation0 DL 1024QAM Rate [%],5G KPI SCell[6] Layer1 DL Modulation0 Representative Value,5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] RF Serving PCI,5G KPI SCell[7] RF NR-ARFCN,5G KPI SCell[7] RF Band,5G KPI SCell[7] RF BandWidth,5G KPI SCell[7] RF Frequency [MHz],5G KPI SCell[7] RF Subcarrier Spacing,5G KPI SCell[7] RF Serving PCI-SSB Idx,5G KPI SCell[7] RF Serving SSB Idx,5G KPI SCell[7] RF Serving SS-RSRP [dBm],5G KPI SCell[7] RF Serving SS-RSRQ [dB],5G KPI SCell[7] RF Best Beam SSB Idx,5G KPI SCell[7] RF Best Beam SS-RSRP [dBm],5G KPI SCell[7] RF Best Beam SS-RSRQ [dB],5G KPI SCell[7] RF Best Beam State,5G KPI SCell[7] RF RI,5G KPI SCell[7] RF RI1 Rate,5G KPI SCell[7] RF RI2 Rate,5G KPI SCell[7] RF RI3 Rate,5G KPI SCell[7] RF RI4 Rate,5G KPI SCell[7] RF CQI,5G KPI SCell[7] RF PMI i(2),5G KPI SCell[7] RF LI,5G KPI SCell[7] RF LI1 Rate,5G KPI SCell[7] RF LI2 Rate,5G KPI SCell[7] RF LI3 Rate,5G KPI SCell[7] RF LI4 Rate,5G KPI SCell[7] RF CRI,5G KPI SCell[7] RF Neighbor Top1 PCI,5G KPI SCell[7] RF Neighbor Top1 SS-RSRP [dBm],5G KPI SCell[7] RF Neighbor Top1 SS-RSRQ [dB],5G KPI SCell[7] Layer1 DL BLER [%],5G KPI SCell[7] Layer1 DL Layer Num (Mode),5G KPI SCell[7] Layer1 DL Layer Num (Avg),5G KPI SCell[7] Layer1 DL MIMO,5G KPI SCell[7] Layer1 DL MCS (Mode),5G KPI SCell[7] Layer1 DL MCS (Avg),5G KPI SCell[7] Layer1 DL RB Num (Mode),5G KPI SCell[7] Layer1 DL RB Num (Avg),5G KPI SCell[7] Layer1 DL RB Num (Including 0),5G KPI SCell[7] Layer1 PDSCH Throughput [Mbps],5G KPI SCell[7] Layer1 DL BWP ID,5G KPI SCell[7] Layer1 DL Modulation0 DL QPSK Rate [%],5G KPI SCell[7] Layer1 DL Modulation0 DL 16QAM Rate [%],5G KPI SCell[7] Layer1 DL Modulation0 DL 64QAM Rate [%],5G KPI SCell[7] Layer1 DL Modulation0 DL 256QAM Rate [%],5G KPI SCell[7] Layer1 DL Modulation0 DL 1024QAM Rate [%],5G KPI SCell[7] Layer1 DL Modulation0 Representative Value,5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network Rx Byte,Smart Phone Smart Throughput Mobile Network Tx Byte,5G KPI Total Info DL CA Type,5G KPI Total Info UL CA Type,5G KPI Total Info BandCombination,5G KPI Total Info Layer1 DL BLER [%],5G KPI Total Info Layer1 UL BLER [%],5G KPI Total Info Layer1 DL RB Num(Including 0),5G KPI Total Info Layer1 UL RB Num(Including 0),5G KPI Total Info Layer1 PDSCH Throughput [Mbps],5G KPI Total Info Layer1 PUSCH Throughput [Mbps],5G KPI Total Info Layer2 MAC DL Throughput [Mbps],5G KPI Total Info Layer2 MAC UL Throughput [Mbps],5G KPI Total Info Layer2 RLC DL Throughput [Mbps],5G KPI Total Info Layer2 RLC UL Throughput [Mbps],5G KPI Total Info Layer2 PDCP DL Throughput(+Split Bearer) [Mbps],5G KPI Total Info Layer2 PDCP UL Throughput(+Split Bearer) [Mbps]
2022-08-14 15:54:28.000000,,,5G-NR_NSA(5CA),,LTE Qualcomm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,0.000,,,,,,,,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,
2022-08-14 15:54:28.400000,,,,,,,,,,,,,,,,,-42.44,,10.00,13.00,2,0.00,100.00,0.00,0.00,TM4,1,,,,,,,,,,,,,,,0.00,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,120kHz,,,,,,,,,,,,,-93.00,85.25,1,66.67,33.33,0.00,0.00,7.00,3,1,100.00,0.00,0.00,0.00,0,,9.00,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,,,,,,,,,,,,,,,,0.000,0.000,,,,,,,,,,,,,,,,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,0.000,0.000,,,,
2022-08-14 15:54:28.404497,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-14 15:54:28.500000,,,,,,,,,,,,,,,-25.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5G-NR Qualcomm,788,2,0,8,8,2266651,,,39249.10,120kHz,15,21,149,788_15,15,-94.53,-10.55,,15,-94.53,-10.55,Serving Beam,-93.50,84.80,1,100.00,0.00,0.00,0.00,5.50,2,1,100.00,0.00,0.00,0.00,0,9.00,9.00,,224,-121.05,-19.01,,0.00,,,2,2.00,,SMDL,,,0,0.00,,,,16,16.00,,0.000,3.936,,1,,,,,,,0.00,100.00,0.00,0.00,0.00,0.00,QPSK,0.000,3.936,788,2268379,,,39352.78,788_15,15,-99.36,-10.55,15,-99.36,-10.55,Serving Beam,224,-110.68,-13.42,0.000,0.000,788,2270107,,,39456.46,,788_30,30,-102.81,-10.67,30,-102.81,-10.67,Serving Beam,,,,,,,,,,,,,,224,-116.50,-13.88,,,,,,,,,,0.000,,,,,,,,0.000,788,2271835,,,39560.14,,788_15,15,-101.13,-10.54,15,-101.13,-10.54,Serving Beam,,,,,,,,,,,,,,224,-113.48,-14.27,,,,,,,,,,0.000,,0.000,788,2273563,,,39663.82,,788_15,15,-102.48,-10.52,15,-102.48,-10.52,Serving Beam,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,0.000,788,2274715,,,39732.94,,788_15,15,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,0.000,788,2276443,,,39836.62,,788_15,15,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,0.000,788,2278171,,,39940.30,,788_15,15,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,0.000,,,,,,UL NonCA,,,0.00,,,0.000,3.936,0.000,3.936,0.000,0.000,0.000,
