PING 54.176.53.206 (54.176.53.206) 38(66) bytes of data.
46 bytes from 54.176.53.206: icmp_seq=1 ttl=44 time=86.6 ms
46 bytes from 54.176.53.206: icmp_seq=2 ttl=44 time=67.7 ms
46 bytes from 54.176.53.206: icmp_seq=3 ttl=44 time=68.5 ms
46 bytes from 54.176.53.206: icmp_seq=4 ttl=44 time=67.2 ms
46 bytes from 54.176.53.206: icmp_seq=5 ttl=44 time=66.2 ms
46 bytes from 54.176.53.206: icmp_seq=6 ttl=44 time=65.3 ms
46 bytes from 54.176.53.206: icmp_seq=7 ttl=44 time=64.9 ms
46 bytes from 54.176.53.206: icmp_seq=8 ttl=44 time=63.3 ms
46 bytes from 54.176.53.206: icmp_seq=9 ttl=44 time=71.4 ms
46 bytes from 54.176.53.206: icmp_seq=10 ttl=44 time=64.7 ms
46 bytes from 54.176.53.206: icmp_seq=11 ttl=44 time=75.4 ms
46 bytes from 54.176.53.206: icmp_seq=12 ttl=44 time=63.4 ms
46 bytes from 54.176.53.206: icmp_seq=13 ttl=44 time=70.3 ms
46 bytes from 54.176.53.206: icmp_seq=14 ttl=44 time=69.3 ms
46 bytes from 54.176.53.206: icmp_seq=15 ttl=44 time=70.3 ms
46 bytes from 54.176.53.206: icmp_seq=16 ttl=44 time=71.5 ms
46 bytes from 54.176.53.206: icmp_seq=17 ttl=44 time=75.3 ms
46 bytes from 54.176.53.206: icmp_seq=18 ttl=44 time=66.6 ms
46 bytes from 54.176.53.206: icmp_seq=19 ttl=44 time=78.6 ms
46 bytes from 54.176.53.206: icmp_seq=20 ttl=44 time=69.0 ms
46 bytes from 54.176.53.206: icmp_seq=21 ttl=44 time=71.3 ms
46 bytes from 54.176.53.206: icmp_seq=22 ttl=44 time=64.5 ms
46 bytes from 54.176.53.206: icmp_seq=23 ttl=44 time=64.4 ms
46 bytes from 54.176.53.206: icmp_seq=24 ttl=44 time=63.0 ms
46 bytes from 54.176.53.206: icmp_seq=25 ttl=44 time=70.4 ms
46 bytes from 54.176.53.206: icmp_seq=26 ttl=44 time=62.9 ms
46 bytes from 54.176.53.206: icmp_seq=27 ttl=44 time=62.5 ms
46 bytes from 54.176.53.206: icmp_seq=28 ttl=44 time=77.6 ms
46 bytes from 54.176.53.206: icmp_seq=29 ttl=44 time=79.1 ms
46 bytes from 54.176.53.206: icmp_seq=30 ttl=44 time=87.3 ms
46 bytes from 54.176.53.206: icmp_seq=31 ttl=44 time=78.7 ms
46 bytes from 54.176.53.206: icmp_seq=32 ttl=44 time=74.4 ms
46 bytes from 54.176.53.206: icmp_seq=33 ttl=44 time=69.9 ms
46 bytes from 54.176.53.206: icmp_seq=34 ttl=44 time=75.4 ms
46 bytes from 54.176.53.206: icmp_seq=35 ttl=44 time=67.4 ms
46 bytes from 54.176.53.206: icmp_seq=36 ttl=44 time=80.4 ms
46 bytes from 54.176.53.206: icmp_seq=37 ttl=44 time=65.2 ms
46 bytes from 54.176.53.206: icmp_seq=38 ttl=44 time=65.4 ms
46 bytes from 54.176.53.206: icmp_seq=39 ttl=44 time=65.3 ms
46 bytes from 54.176.53.206: icmp_seq=40 ttl=44 time=71.1 ms
46 bytes from 54.176.53.206: icmp_seq=41 ttl=44 time=62.4 ms
46 bytes from 54.176.53.206: icmp_seq=42 ttl=44 time=61.1 ms
46 bytes from 54.176.53.206: icmp_seq=43 ttl=44 time=70.4 ms
46 bytes from 54.176.53.206: icmp_seq=44 ttl=44 time=69.5 ms
46 bytes from 54.176.53.206: icmp_seq=45 ttl=44 time=85.5 ms
46 bytes from 54.176.53.206: icmp_seq=46 ttl=44 time=69.5 ms
46 bytes from 54.176.53.206: icmp_seq=47 ttl=44 time=68.5 ms
46 bytes from 54.176.53.206: icmp_seq=48 ttl=44 time=66.4 ms
