idx,size,avail,enc_fin,offload,inf,recv
0,38912,1660599973047,1660599973082,1660599973082,63,1660599973394
4,38912,1660599973447,1660599973482,1660599973482,63,1660599973768
8,38912,1660599973847,1660599973883,1660599973883,63,1660599974125
11,38912,1660599974148,1660599974183,1660599974187,63,1660599974453
15,38912,1660599974547,1660599974582,1660599974583,63,1660599974793
18,38912,1660599974847,1660599974882,1660599974884,63,1660599975110
21,38912,1660599975147,1660599975182,1660599975184,63,1660599975391
24,38912,1660599975447,1660599975482,1660599975483,63,1660599975675
27,38912,1660599975747,1660599975782,1660599975784,63,1660599976006
30,38912,1660599976049,1660599976084,1660599976085,63,1660599976283
33,38912,1660599976347,1660599976382,1660599976383,63,1660599976607
36,38912,1660599976648,1660599976683,1660599976685,63,1660599976885
39,38912,1660599976947,1660599976982,1660599976987,63,1660599977168
42,38912,1660599977247,1660599977282,1660599977283,63,1660599977484
45,38912,1660599977547,1660599977582,1660599977583,63,1660599977791
48,38912,1660599977847,1660599977882,1660599977885,63,1660599978087
51,38912,1660599978147,1660599978182,1660599978184,63,1660599978397
54,38912,1660599978447,1660599978482,1660599978484,63,1660599978672
57,38912,1660599978747,1660599978782,1660599978785,63,1660599978976
60,38912,1660599979047,1660599979082,1660599979084,63,1660599979276
63,38912,1660599979347,1660599979382,1660599979385,63,1660599979589
66,38912,1660599979647,1660599979682,1660599979685,63,1660599979877
69,38912,1660599979947,1660599979982,1660599979984,63,1660599980196
72,38912,1660599980250,1660599980285,1660599980286,63,1660599980487
75,38912,1660599980547,1660599980582,1660599980585,63,1660599980769
78,38912,1660599980847,1660599980882,1660599980885,63,1660599981085
81,38912,1660599981148,1660599981183,1660599981185,63,1660599981378
84,38912,1660599981447,1660599981482,1660599981485,63,1660599981655
87,38912,1660599981747,1660599981782,1660599981784,63,1660599981965
90,38912,1660599982047,1660599982082,1660599982085,63,1660599982276
93,38912,1660599982347,1660599982382,1660599982384,63,1660599982576
96,38912,1660599982647,1660599982682,1660599982684,63,1660599982875
99,38912,1660599982947,1660599982982,1660599982984,63,1660599983166
102,38912,1660599983247,1660599983282,1660599983283,63,1660599983492
105,38912,1660599983548,1660599983583,1660599983586,63,1660599983796
108,38912,1660599983848,1660599983883,1660599983884,63,1660599984075
111,38912,1660599984150,1660599984185,1660599984187,63,1660599984371
114,38912,1660599984447,1660599984482,1660599984483,63,1660599984688
117,38912,1660599984747,1660599984783,1660599984784,63,1660599984955
120,38912,1660599985048,1660599985083,1660599985084,63,1660599985285
123,38912,1660599985347,1660599985382,1660599985383,63,1660599985554
126,38912,1660599985648,1660599985683,1660599985684,63,1660599985893
129,38912,1660599985947,1660599985983,1660599985985,63,1660599986176
132,38912,1660599986248,1660599986283,1660599986284,63,1660599986485
135,38912,1660599986547,1660599986583,1660599986584,63,1660599986768
138,38912,1660599986848,1660599986883,1660599986884,63,1660599987071
141,38912,1660599987147,1660599987182,1660599987184,63,1660599987358
144,38912,1660599987447,1660599987482,1660599987484,63,1660599987685
147,38912,1660599987748,1660599987783,1660599987784,63,1660599987965
150,38912,1660599988047,1660599988082,1660599988084,63,1660599988296
153,38912,1660599988347,1660599988382,1660599988384,63,1660599988591
156,38912,1660599988647,1660599988682,1660599988683,63,1660599988886
159,38912,1660599988947,1660599988982,1660599988983,63,1660599989165
162,38912,1660599989247,1660599989282,1660599989283,63,1660599989482
165,38912,1660599989548,1660599989583,1660599989584,63,1660599989791
168,38912,1660599989849,1660599989884,1660599989885,63,1660599990085
171,38912,1660599990147,1660599990182,1660599990184,63,1660599990368
174,38912,1660599990447,1660599990482,1660599990484,63,1660599990685
177,38912,1660599990747,1660599990782,1660599990783,63,1660599990997
180,38912,1660599991047,1660599991082,1660599991084,63,1660599991286
183,38912,1660599991347,1660599991382,1660599991383,63,1660599991575
186,38912,1660599991647,1660599991682,1660599991683,63,1660599991915
189,38912,1660599991947,1660599991982,1660599991983,63,1660599992191
192,38912,1660599992249,1660599992284,1660599992285,63,1660599992485
195,38912,1660599992547,1660599992582,1660599992583,63,1660599992795
