idx,size,avail,enc_fin,offload,inf,recv
0,38912,1660186045906,1660186045941,1660186045941,63,1660186046384
5,38912,1660186046405,1660186046440,1660186046441,63,1660186046865
10,38912,1660186046905,1660186046940,1660186046941,63,1660186047283
14,38912,1660186047305,1660186047340,1660186047341,63,1660186047825
20,38912,1660186047905,1660186047940,1660186047941,63,1660186048344
25,38912,1660186048405,1660186048440,1660186048441,63,1660186048864
30,38912,1660186048906,1660186048941,1660186048942,63,1660186049347
35,38912,1660186049405,1660186049440,1660186049441,63,1660186049948
41,38912,1660186050005,1660186050040,1660186050041,63,1660186050552
47,38912,1660186050605,1660186050640,1660186050641,63,1660186051025
52,38912,1660186051105,1660186051140,1660186051141,63,1660186051505
56,38912,1660186051505,1660186051540,1660186051541,63,1660186051984
61,38912,1660186052005,1660186052040,1660186052041,63,1660186052388
65,38912,1660186052405,1660186052440,1660186052441,63,1660186052785
69,38912,1660186052805,1660186052840,1660186052841,63,1660186053305
75,38912,1660186053405,1660186053440,1660186053441,63,1660186053867
80,38912,1660186053905,1660186053940,1660186053941,63,1660186054427
86,38912,1660186054505,1660186054540,1660186054541,63,1660186054988
91,38912,1660186055005,1660186055040,1660186055041,63,1660186055505
96,38912,1660186055505,1660186055540,1660186055541,63,1660186056064
102,38912,1660186056105,1660186056140,1660186056141,63,1660186056784
109,38912,1660186056805,1660186056840,1660186056841,63,1660186057184
113,38912,1660186057205,1660186057240,1660186057241,63,1660186057588
117,38912,1660186057605,1660186057640,1660186057641,63,1660186057960
121,38912,1660186058005,1660186058040,1660186058041,63,1660186058509
127,38912,1660186058605,1660186058640,1660186058641,63,1660186060148
143,38912,1660186060205,1660186060240,1660186060241,63,1660186060625
148,38912,1660186060705,1660186060740,1660186060741,63,1660186061345
155,38912,1660186061405,1660186061440,1660186061441,63,1660186061904
160,38912,1660186061905,1660186061940,1660186061941,63,1660186062385
165,38912,1660186062405,1660186062440,1660186062441,63,1660186062869
170,38912,1660186062905,1660186062940,1660186062941,63,1660186063305
174,38912,1660186063305,1660186063340,1660186063341,63,1660186063747
179,38912,1660186063805,1660186063840,1660186063841,63,1660186064264
184,38912,1660186064305,1660186064340,1660186064341,63,1660186064785
189,38912,1660186064805,1660186064840,1660186064841,63,1660186065267
