,local_time,unixtimestamp,videoBuffer,audioBuffer,cumRebuffer,format_vid,byteOffset,totalByteLength,byteLength,ssim,mod_timestamp,ssim_diff,cumRebuffer_diff,New_Bitrate,New_Bitrate_diff,qoe
11,1225214,1660427478,2.002,2.002,0.704,1280x720-5,1124688,1191650,66962,4.5425,1660427478.548,0.0,0.0,5.0,0.0,5.0
35,1225908,1660427479,3.806,3.806,1.156,1280x720-10,2351466,2380435,28969,9.0729,1660427479.224,4.5304,0.45199999999999996,10.0,5.0,-40.199999999999996
268,1228766,1660427482,2.946,2.946,1.156,1280x720-100,23718169,23777998,59829,90.6168,1660427483.054,81.5439,0.0,100.0,90.0,10.0
385,1229456,1660427482,4.259,4.259,1.156,1280x720-50,11859257,11890426,31169,45.3149,1660427483.744,45.301899999999996,0.0,100.0,0.0,100.0
618,1232870,1660427486,2.849,2.849,1.156,1280x720-100,23718169,23777999,59830,90.6169,1660427487.049,45.302,0.0,100.0,0.0,100.0
735,1233526,1660427486,4.191,4.191,1.156,1280x720-50,11859257,11890463,31206,45.3147,1660427487.705,45.3022,0.0,100.0,0.0,100.0
968,1236955,1660427490,2.768,2.768,1.156,1280x720-100,23717937,23777999,60062,90.6169,1660427491.053,45.3022,0.0,100.0,0.0,100.0
1085,1237666,1660427490,4.061,4.061,1.156,1280x720-50,11859141,11890432,31291,45.3149,1660427491.764,45.302,0.0,100.0,0.0,100.0
1318,1241153,1660427494,2.571,2.571,1.156,1280x720-100,23717937,23777985,60048,90.6169,1660427495.027,45.302,0.0,100.0,0.0,100.0
1435,1241785,1660427495,3.95,3.950,1.156,1280x720-50,11859141,11890429,31288,45.3147,1660427495.097,45.3022,0.0,100.0,0.0,100.0
1668,1245252,1660427498,2.482,2.482,1.156,1280x720-100,23717937,23777996,60059,90.6169,1660427499.014,45.3022,0.0,100.0,0.0,100.0
1798,1245950,1660427499,3.784,3.784,1.156,1280x720-50,13188299,13201705,13406,50.312,1660427499.27,40.3049,0.0,100.0,0.0,100.0
2031,1249323,1660427502,2.408,2.408,1.156,1280x720-100,23717937,23777998,60061,90.6169,1660427503.015,40.3049,0.0,100.0,0.0,100.0
2148,1250003,1660427503,3.729,3.729,1.156,1280x720-50,11859141,11890471,31330,45.3148,1660427503.317,45.3021,0.0,100.0,0.0,100.0
2381,1253424,1660427506,2.312,2.312,1.156,1280x720-100,23717937,23777999,60062,90.6169,1660427507.001,45.3021,0.0,100.0,0.0,100.0
2498,1253923,1660427507,3.82,3.820,1.156,1280x720-50,11859141,11890440,31299,45.3149,1660427507.237,45.302,0.0,100.0,0.0,100.0
2731,1257399,1660427510,2.345,2.345,1.156,1280x720-100,23717937,23777999,60062,90.6169,1660427511.016,45.302,0.0,100.0,0.0,100.0
2848,1258150,1660427511,3.595,3.595,1.156,1280x720-50,11859141,11890433,31292,45.3148,1660427511.467,45.3021,0.0,100.0,0.0,100.0
3081,1260529,1660427513,3.218,3.218,1.156,1280x720-100,23717937,23777997,60060,90.6168,1660427514.053,45.302,0.0,100.0,0.0,100.0
3198,1261903,1660427515,3.845,3.845,1.156,1280x720-50,11859141,11890435,31294,45.3149,1660427516.039,45.301899999999996,0.0,100.0,0.0,100.0
3431,1264451,1660427517,3.297,3.297,1.156,1280x720-100,23717937,23777997,60060,90.6169,1660427518.045,45.302,0.0,100.0,0.0,100.0
3548,1265911,1660427519,3.843,3.843,1.156,1280x720-50,11859141,11890467,31326,45.3147,1660427520.034,45.3022,0.0,100.0,0.0,100.0
3781,1269328,1660427522,2.427,2.427,1.156,1280x720-100,23717937,23777999,60062,90.6169,1660427523.016,45.3022,0.0,100.0,0.0,100.0
3898,1269946,1660427523,3.816,3.816,1.156,1280x720-50,11859141,11890444,31303,45.3149,1660427523.275,45.302,0.0,100.0,0.0,100.0
4131,1273402,1660427526,2.357,2.357,1.156,1280x720-100,23717937,23777999,60062,90.6169,1660427527.005,45.302,0.0,100.0,0.0,100.0
4248,1274127,1660427527,3.635,3.635,1.156,1280x720-50,11859141,11890467,31326,45.3147,1660427527.447,45.3022,0.0,100.0,0.0,100.0
