,local_time,unixtimestamp,videoBuffer,audioBuffer,cumRebuffer,format_vid,byteOffset,totalByteLength,byteLength,ssim,mod_timestamp,ssim_diff,cumRebuffer_diff,New_Bitrate,New_Bitrate_diff,qoe
11,23343724,1660012064,2.002,2.002,0.754,1280x720-5,1124688,1191650,66962,4.5425,1660012064.585,0.0,0.0,5.0,0.0,5.0
35,23344815,1660012065,3.362,3.362,1.206,1280x720-10,2351466,2380435,28969,9.0729,1660012065.761,4.5304,0.45199999999999996,10.0,5.0,-40.199999999999996
268,23352488,1660012073,0.99,0.990,4.479,1280x720-100,23718169,23777998,59829,90.6168,1660012073.405,81.5439,3.273,100.0,90.0,-317.3
280,23352989,1660012073,2.688,2.688,4.629,1280x720-5,1124633,1191657,67024,4.5424,1660012073.906,86.0744,0.14999999999999947,5.0,95.0,-104.99999999999994
397,23357222,1660012078,0.583,0.583,4.68,1280x720-50,11859257,11890466,31209,45.3147,1660012078.165,40.7723,0.051000000000000156,50.0,45.0,-0.10000000000001563
409,23357677,1660012078,2.585,2.585,5.134,1280x720-5,1124633,1191662,67029,4.5426,1660012078.62,40.7721,0.4540000000000006,5.0,45.0,-85.40000000000006
526,23361480,1660012082,1.351,1.351,5.69,1280x720-50,11859141,11910369,51228,45.3908,1660012082.413,40.8482,0.556,50.0,45.0,-50.60000000000001
538,23361904,1660012082,2.929,2.929,5.69,1280x720-5,1124622,1191647,67025,4.5425,1660012082.837,40.848299999999995,0.0,5.0,45.0,-40.0
660,23365897,1660012086,0.936,0.936,5.69,1280x720-50,12370306,12467649,97343,47.5145,1660012086.817,42.971999999999994,0.0,50.0,45.0,5.0
672,23366169,1660012087,2.666,2.666,5.69,1280x720-5,1124622,1191655,67033,4.5425,1660012087.081,42.971999999999994,0.0,5.0,45.0,-40.0
789,23368788,1660012089,2.05,2.050,5.69,1280x720-50,11859141,11890438,31297,45.3149,1660012089.708,40.772400000000005,0.0,50.0,45.0,5.0
815,23369527,1660012090,3.317,3.317,5.69,1280x720-10,2555915,2565102,9187,9.7767,1660012090.441,35.5382,0.0,10.0,40.0,-30.0
1048,23374198,1660012095,0.647,0.647,5.69,1280x720-100,23717937,23777998,60061,90.6169,1660012095.113,80.8402,0.0,100.0,90.0,10.0
1060,23374610,1660012095,2.232,2.232,5.69,1280x720-5,1124622,1191659,67037,4.5426,1660012095.525,86.0743,0.0,5.0,95.0,-90.0
1084,23375692,1660012096,3.636,3.636,6.095,1280x720-10,2351443,2380421,28978,9.0729,1660012096.614,4.5303,0.40499999999999936,10.0,5.0,-35.499999999999936
1317,23386801,1660012107,0.268,0.268,11.828,1280x720-100,23717937,23777999,60062,90.6169,1660012107.757,81.544,5.733,100.0,90.0,-563.3
1329,23387595,1660012108,2.119,2.119,12.435,1280x720-5,1124622,1191654,67032,4.5425,1660012108.794,86.0744,0.6070000000000011,5.0,95.0,-150.7000000000001
1353,23389588,1660012110,2.308,2.308,12.637,1280x720-10,2351443,2380420,28977,9.0729,1660012110.549,4.5304,0.20199999999999996,10.0,5.0,-15.199999999999996
1470,23395752,1660012116,0.787,0.787,15.209,1280x720-50,11859141,11890443,31302,45.3148,1660012116.673,36.2419,2.571999999999999,50.0,40.0,-247.19999999999993
1482,23396079,1660012116,2.789,2.789,15.512,1280x720-5,1124622,1198679,74057,4.5693,1660012117.0,40.7455,0.3030000000000008,5.0,45.0,-70.30000000000008
1599,23398076,1660012118,3.501,3.501,16.219,1280x720-50,11859141,11890428,31287,45.3147,1660012118.997,40.745400000000004,0.7070000000000007,50.0,45.0,-65.70000000000007
1832,23401564,1660012122,2.017,2.017,16.219,1280x720-100,23717937,23777998,60061,90.6169,1660012122.476,45.3022,0.0,100.0,50.0,50.0
1856,23402271,1660012123,3.317,3.317,16.219,1280x720-10,2351443,2380427,28984,9.0729,1660012123.223,81.544,0.0,10.0,90.0,-80.0
2089,23407812,1660012128,0.582,0.582,16.977,1280x720-100,23717937,23777999,60062,90.6169,1660012128.734,81.544,0.7579999999999991,100.0,90.0,-65.79999999999991
2101,23408755,1660012129,2.179,2.179,17.482,1280x720-5,1124622,1191654,67032,4.5425,1660012129.685,86.0744,0.504999999999999,5.0,95.0,-140.4999999999999
2125,23411096,1660012132,1.841,1.841,17.482,1280x720-10,2351443,2380427,28984,9.0729,1660012132.008,4.5304,0.0,10.0,5.0,5.0
2149,23412332,1660012133,2.608,2.608,17.482,1280x720-10,2351443,2379568,28125,9.0729,1660012133.254,0.0,0.0,10.0,0.0,10.0
2266,23415704,1660012136,1.242,1.242,17.482,1280x720-50,11859141,11890443,31302,45.3149,1660012136.63,36.242000000000004,0.0,50.0,40.0,10.0
2278,23416178,1660012137,2.771,2.771,17.482,1280x720-5,1124622,1191662,67040,4.5426,1660012137.097,40.7723,0.0,5.0,45.0,-40.0
2395,23419198,1660012140,1.75,1.750,17.482,1280x720-50,11859141,11890467,31326,45.3147,1660012140.126,40.7721,0.0,50.0,45.0,5.0
2419,23419848,1660012140,3.1,3.100,17.482,1280x720-10,2351443,2380429,28986,9.0729,1660012140.776,36.2418,0.0,10.0,40.0,-30.0
2536,23422863,1660012143,2.087,2.087,17.482,1280x720-50,11859141,11890491,31350,45.3148,1660012143.785,36.2419,0.0,50.0,40.0,10.0
2560,23423610,1660012144,3.347,3.347,17.482,1280x720-10,2351443,2380426,28983,9.0729,1660012144.532,36.2419,0.0,10.0,40.0,-30.0
2793,23430474,1660012151,0.939,0.939,19.9,1280x720-100,23717937,23777999,60062,90.6169,1660012151.388,81.544,2.4179999999999993,100.0,90.0,-231.79999999999993
2805,23431348,1660012152,2.941,2.941,20.754,1280x720-5,1124622,1191636,67014,4.5425,1660012152.541,86.0744,0.8540000000000028,5.0,95.0,-175.40000000000026
2922,23434188,1660012155,2.262,2.262,20.955,1280x720-50,11859141,11890493,31352,45.3149,1660012155.102,40.772400000000005,0.20099999999999696,50.0,45.0,-15.099999999999696
