,5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI PCell RF BandWidth,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],Event 5G-NR/LTE Events,LTE KPI PCell DL MCS0,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell Serving RSRP[dBm],LTE KPI PDSCH BLER[%],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],TIME_STAMP
0,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8941,-87.62426,,1660408082.0
1,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8941,-87.62426,,1660408082.2
2,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8941,-87.62426,,1660408082.221557
3,,,,,,,,,,,,,,,Cell Reselection Start,,,,,,,,,,,,41.8941,-87.62426,,1660408082.250795
4,,,,,,,,,,,,,,,Cell Camp On,,,,,,,,,,,,41.8941,-87.62426,,1660408082.252598
5,,,,,,,,,,,,,,,Cell Reselection Success,,,,,,,,,,,,41.8941,-87.62426,,1660408082.252598
6,,,,,,,,,,,,,,,,7.0,,,,,,0.0,,,,,41.8941,-87.62426,,1660408082.3
7,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8941,-87.62426,0.0,1660408082.5
8,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8941,-87.62426,0.0,1660408083.0
9,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8941,-87.62426,,1660408083.1
10,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8941,-87.62426,,1660408083.3
11,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8941,-87.62426,0.0,1660408083.5
12,,,,,,,,,,,,,,,,,,15.0,1123.0,421.0,-62.69,,,,,,41.8941,-87.62426,,1660408083.6
13,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8941,-87.62426,0.0,1660408084.0
14,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8941,-87.62426,,1660408084.1
15,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8941,-87.62426,,1660408084.3
16,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8941,-87.62426,0.0,1660408084.5
17,,,,,,,,,,,,,,,,,,15.0,1123.0,421.0,-61.81,,,,,,41.8941,-87.62426,0.0,1660408085.0
18,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8941,-87.62426,,1660408085.1
19,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8941,-87.62426,,1660408085.3
20,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8941,-87.62426,0.0,1660408085.5
21,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8941,-87.62426,0.0,1660408086.0
