,5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI PCell RF BandWidth,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],Event 5G-NR/LTE Events,LTE KPI PCell DL MCS0,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell Serving RSRP[dBm],LTE KPI PDSCH BLER[%],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],TIME_STAMP
0,,,,,,,,,,,,,,,,,,,,,,,,,,,41.71664,-87.541389,,1660414102.588962
1,,,,,,,,,,,,,,,,,,,,,,,,,,,41.71664,-87.541389,,1660414102.7
2,,,,,,,,,,,,,,,,,,,,,,,,,,,41.71664,-87.541389,0.0,1660414102.8
3,,,,,,,,,,,,,,,,,,,,,,,,,,,41.71664,-87.541389,,1660414103.0
4,,,,,,,,,,,,,,,,,,15.0,1123.0,164.0,-85.0,,,,,,41.71664,-87.541389,,1660414103.2
5,,,,,,,,,,,,,,,,,,,,,,,,,,,41.716618,-87.541359,0.0,1660414103.3
6,,,,,,,,,,,,,,,,1.0,,,,,,0.0,,,,,41.716537,-87.541229,,1660414103.7
7,,,,,,,,,,,,,,,,,,,,,,,,,,,41.716515,-87.541199,0.0,1660414103.8
8,,,,,,,,,,,,,,,,,0.012,,,,,,,,,,41.716473,-87.541138,,1660414104.0
9,,,,,,,,,,,,,,,RRC Setup Start,,,,,,,,,,,,41.716465,-87.541122,,1660414104.042083
10,,,,,,,,,,,,,,,PRACH: Msg1(RA),,,,,,,,,,,,41.716457,-87.541115,,1660414104.076498
11,,,,,,,,,,,,,,,PRACH: Msg2(RAR),,,,,,,,,,,,41.716454,-87.541115,,1660414104.088889
12,,,,,,,,,,,,,,,PRACH: Msg3(UE ID),,,,,,,,,,,,41.716454,-87.541115,,1660414104.088903
13,,,,,,,,,,,,,,,PRACH: Msg4[Pass],,,,,,,,,,,,41.716454,-87.541107,,1660414104.092006
14,,,,,,,,,,,,,,,Received RAR[True],,,,,,,,,,,,41.716454,-87.541107,,1660414104.092025
15,,,,,,,,,,,,,,,RRC Setup Success,,,,,,,,,,,,41.716454,-87.541107,,1660414104.092878
16,,,,,,,,,,,,,,,,0.5,,15.0,1123.0,164.0,-84.13,0.0,,,,,41.716454,-87.541107,,1660414104.1
17,,,,,,,,,,,,,,,reportStrongestCells,,,,,,,,,,,,41.716438,-87.541084,,1660414104.167209
18,,,,,,,,,,,,,,,,,,15.0,1123.0,164.0,-84.38,,,,,,41.716431,-87.541077,,1660414104.2
19,,,,,,,,,,,,,,,,,,15.0,1123.0,164.0,-84.88,,,,,,41.716412,-87.541054,0.001,1660414104.3
20,,,,,,,,,,,,,,,,1.08,,15.0,1123.0,164.0,-86.1,0.0,,,,,41.716396,-87.541023,,1660414104.4
21,,,,,,,,,,,,,,,eventB1_NR_r15,,,,,,,,,,,,41.716381,-87.541008,,1660414104.467298
22,,,,100.0,2638.95,854.0,,,,,,,,,,,,15.0,1123.0,164.0,-86.51,,,,,,41.716377,-87.541,,1660414104.5
23,,,,,,,,,,,,,,,eventB1_NR_r15,,,,,,,,,,,,41.716377,-87.541,,1660414104.508469
24,,,,,,,,,,,,,,,NR SCG Addition Attempt	 ,,,,,,,,,,,,41.716373,-87.540993,,1660414104.514464
25,,,,,,,,,,,,,,,NR SCG Addition Success	 ,,,,,,,,,,,,41.71637,-87.540993,,1660414104.533993
26,,,,,,,,,,,,,,,PRACH: Msg1(RA),,,,,,,,,,,,41.716366,-87.540977,,1660414104.569506
27,0.0,0.0,0.083,,,,,,,,,,,,,,,15.0,1123.0,164.0,-84.94,,,,,,41.716358,-87.54097,,1660414104.6
28,,,,,,,,,,,,,,,,,,,,,,,,,,,41.716351,-87.540962,,1660414104.647406
29,,,,,,,,,,,,,,,PRACH: Msg2(RAR),,,,,,,,,,,,41.716347,-87.540955,,1660414104.65921
30,,,,,,,,,,,,,,,PRACH: Msg3(UE ID),,,,,,,,,,,,41.716347,-87.540955,,1660414104.65921
31,,,,,,,,,,,,,,,PRACH: Msg4,,,,,,,,,,,,41.716347,-87.540955,,1660414104.65921
32,,,,,,,,,,,,,,,PRACH: Msg4[Pass]			,,,,,,,,,,,,41.716347,-87.540955,,1660414104.65921
33,,,,,,,,,,,,,,,PRACH: Msg5,,,,,,,,,,,,41.716347,-87.540955,,1660414104.667177
34,0.0,0.0,0.581,100.0,2638.95,854.0,-80.64,,,,,,,,,1.67,,15.0,1123.0,164.0,-84.09,0.0,,,,,41.716339,-87.540947,,1660414104.7
35,0.0,7.0,0.241,100.0,2638.95,854.0,-80.19,,,,,,,,,,,15.0,1123.0,164.0,-83.75,,,,,,41.716324,-87.540924,0.233,1660414104.8
36,0.0,0.0,0.027,100.0,,,,,,,,,,,,,,15.0,1123.0,164.0,-83.36,,,,,,41.716305,-87.540894,,1660414104.9
37,,,,,,,,,,,,,,,eventA1,,,,,,,,,,,,41.71629,-87.540871,,1660414104.994639
38,35.0,7.33,1.057,100.0,,,,,,,,,,,,5.5,0.22,15.0,1123.0,164.0,-83.4,0.0,,,,,41.716286,-87.540871,,1660414105.0
39,0.0,0.5,0.016,100.0,2638.95,854.0,-81.55,,,,,,,,,,,15.0,1123.0,164.0,-84.31,,,,,,41.71627,-87.54084,,1660414105.1
40,0.0,4.0,2.875,100.0,2638.95,854.0,-83.84,,,,,,,,,,,15.0,1123.0,164.0,-84.33,,,,,,41.716251,-87.540817,,1660414105.2
41,0.0,7.0,0.148,,,,,,,,,,,,,1.2,,15.0,1123.0,164.0,-84.78,0.0,,,,,41.716232,-87.540787,0.68,1660414105.3
42,0.0,0.0,0.004,100.0,2638.95,854.0,-83.0,,,,,,,,,,,15.0,1123.0,164.0,-84.5,,,,,,41.716213,-87.540756,,1660414105.4
43,0.0,0.0,0.006,,,,,,,,,,,,,,,15.0,1123.0,164.0,-85.16,,,,,,41.716198,-87.540733,,1660414105.5
44,0.0,0.0,0.017,100.0,2638.95,854.0,-81.55,,,,,,,,,,,,,,,,,,,,41.716179,-87.540703,,1660414105.6
45,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,41.71616,-87.540672,,1660414105.7
46,16.67,10.8,5.587,100.0,2638.95,854.0,-80.68,,,,,,,,,,,15.0,1123.0,164.0,-86.63,,,,,,41.716141,-87.540642,0.023,1660414105.8
47,0.0,2.33,0.326,100.0,2638.95,854.0,-79.92,,,,,,,,,,,,,,,,,,,,41.716122,-87.540611,,1660414105.9
48,0.0,0.0,0.013,,,,,,,,,,,,,,,,,,,,,,,,41.716106,-87.540588,,1660414106.0
49,,,0.0,100.0,2638.95,854.0,-79.05,,,,,,,,,,,15.0,1123.0,164.0,-87.88,,,,,,41.716087,-87.540558,,1660414106.1
50,0.0,0.0,0.011,,,,,,,,,,,,,,,,,,,,,,,,41.716068,-87.540527,,1660414106.2
51,0.0,0.0,0.039,100.0,2638.95,854.0,-80.16,,,,,,,,,,,,,,,,,,,,41.716049,-87.540497,1.153,1660414106.3
52,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,41.71603,-87.540466,,1660414106.4
53,,,0.0,100.0,2638.95,854.0,-80.74,,,,,,,,,,,15.0,1123.0,164.0,-85.5,,,,,,41.716011,-87.540436,,1660414106.5
54,50.0,12.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,41.715992,-87.540405,,1660414106.6
55,0.0,0.0,0.012,100.0,2638.95,854.0,-80.34,,,,,,,,,,,,,,,,,,,,41.715973,-87.540375,,1660414106.7
56,0.0,0.0,0.008,100.0,2638.95,854.0,-80.52,,,,,,,,,,,15.0,1123.0,164.0,-83.38,,,,,,41.715958,-87.540344,0.023,1660414106.8
57,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,41.715939,-87.540314,,1660414106.9
58,0.0,6.22,8.003,100.0,2638.95,854.0,-79.92,,,,,,,,,,1.79,,,,,,,,,,41.715919,-87.540283,,1660414107.0
59,0.0,0.0,0.008,,,,,,,,,,,,,,,15.0,1123.0,164.0,-81.81,,,,,,41.7159,-87.540253,,1660414107.1
60,,,0.0,100.0,2638.95,854.0,-81.42,,,,,,,,,12.04,,15.0,1123.0,164.0,-83.27,10.0,,,,,41.715881,-87.540222,,1660414107.2
61,,,0.0,,,,,,,,,,,,,,,15.0,1123.0,164.0,-82.77,,,,,,41.715866,-87.540192,2.338,1660414107.3
62,36.36,12.0,8.653,100.0,2638.95,854.0,-82.06,,,,,,,,,9.63,,15.0,1123.0,164.0,-81.46,0.0,,,,,41.715851,-87.540169,,1660414107.4
63,,,0.0,100.0,2638.95,854.0,-83.97,,,,,,,,,,,15.0,1123.0,164.0,-81.19,,,,,,41.715832,-87.540138,,1660414107.5
64,0.0,5.0,0.101,,,,,,,,,,,,,,,,,,,,,,,,41.715816,-87.540108,,1660414107.6
65,0.0,5.0,0.109,100.0,2638.95,854.0,-83.2,,,,,,,,,1.0,,,,,,0.0,,,,,41.715801,-87.540085,,1660414107.7
