,5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI PCell RF BandWidth,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],Event 5G-NR/LTE Events,LTE KPI PCell DL MCS0,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell Serving RSRP[dBm],LTE KPI PDSCH BLER[%],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],TIME_STAMP
0,,,,,,,,,,,,,,,,,,,,,,,,,,,39.608929,-111.861717,,1660101279.0
1,,,,,,,,,,,,,,,,,,,,,,,,,,,39.608929,-111.861717,,1660101279.03625
2,,,0.0,,,,,,,,,,,,,,,15.0,66811.0,125.0,-109.44,,,,,,39.608929,-111.861717,,1660101279.1
3,0.0,16.0,0.033,,2644.95,125.0,-106.43,,,,,,,,,0.0,,,,,,0.0,,,,,39.608929,-111.861717,0.0,1660101279.2
4,,,0.0,,2644.95,125.0,-107.3,,,,,,,,,,,15.0,66811.0,125.0,-111.5,,,,,,39.608929,-111.861717,,1660101279.4
5,12.5,16.57,0.686,,,,,,,,,,,,,,,,,,,,,,,,39.608929,-111.861717,,1660101279.5
6,,,0.0,,2644.95,125.0,-108.13,,,,,,,,,,,,,,,,,,,,39.608929,-111.861717,,1660101279.6
7,,,,,,,,,,,,,,,,,,,,,,,,,,,39.608929,-111.861717,0.023,1660101279.7
8,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,39.608929,-111.861717,,1660101279.8
9,,,0.0,,2644.95,125.0,-107.55,,,,,,,,,,,15.0,66811.0,125.0,-110.56,,,,,,39.608982,-111.861717,,1660101280.0
10,,,0.0,,2644.95,125.0,-106.18,,,,,,,,,,,15.0,66811.0,125.0,-110.69,,,,,,39.609009,-111.861717,,1660101280.1
11,,,,,,,,,,,,,,,,,,,,,,,,,,,39.609035,-111.861717,0.0,1660101280.2
12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,39.609173,-111.861717,0.0,1660101280.7
13,,,0.0,,2644.95,125.0,-103.45,,,,,,,,,,,15.0,66811.0,125.0,-105.69,,,,,,39.6092,-111.861717,,1660101280.8
14,,,,,,,,,,,,,,,,,,,,,,,,,,,39.609257,-111.861717,,1660101281.0
15,,,0.0,,,,,,,,,,,,,,,15.0,66811.0,125.0,-106.44,,,,,,39.609283,-111.861717,,1660101281.1
16,,,0.0,,2644.95,125.0,-103.97,,,,,,,,,,,,,,,,,,,,39.609314,-111.861717,0.0,1660101281.2
17,,,0.0,,2644.95,125.0,-103.08,,,,,,,,,,,15.0,66811.0,125.0,-107.25,,,,,,39.609341,-111.861717,,1660101281.3
18,0.0,12.0,0.072,,,,,,,,,,,,,,,,,,,,,,,,39.609367,-111.861717,,1660101281.4
19,0.0,17.67,0.409,,2644.95,125.0,-103.09,,,,,,,,,,,,,,,,,,,,39.609398,-111.861717,,1660101281.5
20,0.0,18.83,0.623,,2644.95,125.0,-103.8,,,,,,,,,,,15.0,66811.0,125.0,-107.75,,,,,,39.609425,-111.861717,,1660101281.6
21,0.0,18.2,4.065,,,,,,,,,,,,,,,,,,,,,,,,39.609455,-111.861717,0.234,1660101281.7
22,0.0,16.18,12.969,,2644.95,125.0,-105.84,,,,,,,,,,,,,,,,,,,,39.609482,-111.861717,,1660101281.8
23,0.0,16.84,17.83,,2644.95,125.0,-106.62,,,,,,,,,,,15.0,66811.0,125.0,-108.25,,,,,,39.609509,-111.861717,,1660101281.9
24,0.0,17.39,19.327,,,,,,,,,,,,,,0.0,,,,,,,,,,39.609535,-111.861717,,1660101282.0
25,0.0,16.9,19.437,,2644.95,125.0,-108.13,,,,,,,,,,,,,,,,,,,,39.609562,-111.861725,,1660101282.1
26,46.38,17.46,16.895,,2644.95,125.0,-108.32,,,,,,,,,,,,,,,,,,,,39.609589,-111.861725,14.001,1660101282.2
27,41.38,14.63,19.773,,,,,,,,,,,,,,,15.0,66811.0,125.0,-107.88,,,,,,39.609615,-111.861725,,1660101282.3
28,0.0,17.89,16.113,,2644.95,125.0,-105.99,,,,,,,,,,,,,,,,,,,,39.609642,-111.861725,,1660101282.4
29,47.5,14.02,16.306,,,,,,,,,,,,,,,,,,,,,,,,39.609669,-111.861725,,1660101282.5
30,2.94,16.58,11.148,,2644.95,125.0,-105.05,,,,,,,,,,,15.0,66811.0,125.0,-109.38,,,,,,39.609695,-111.861732,,1660101282.6
31,0.0,16.46,7.541,,2644.95,125.0,-105.24,,,,,,,,,,,15.0,66811.0,125.0,-109.44,,,,,,39.609722,-111.861732,12.843,1660101282.7
32,0.0,18.59,11.913,,,,,,,,,,,,,,,15.0,66811.0,125.0,-107.63,,,,,,39.609749,-111.861732,,1660101282.8
33,78.0,10.27,9.578,,2644.95,125.0,-104.49,,,,,,,,,1.0,,,,,,0.0,,,,,39.609776,-111.861732,,1660101282.9
34,60.0,17.22,5.556,,,,,,,,,,,,,22.16,25.325,15.0,66811.0,125.0,-109.07,2.27,,,,,39.609802,-111.861732,,1660101283.0
35,0.0,17.88,0.812,,2644.95,125.0,-104.8,,,,,,,,,20.77,,15.0,66811.0,125.0,-110.99,12.5,,,,,39.609829,-111.861732,,1660101283.1
36,0.0,17.7,0.871,,2644.95,125.0,-104.89,,,,,,,,,18.72,,15.0,66811.0,125.0,-112.48,0.0,,,,,39.609856,-111.861732,15.715,1660101283.2
37,0.0,18.64,0.935,,,,,,,,,,,,,19.22,,15.0,66811.0,125.0,-111.88,1.12,,,,,39.609886,-111.861732,,1660101283.3
38,0.0,19.53,31.136,,2644.95,125.0,-104.63,,,,,,,,,18.67,,15.0,66811.0,125.0,-113.0,0.0,,,,,39.609913,-111.861732,,1660101283.4
39,0.0,21.92,50.769,,2644.95,125.0,-103.58,,,,,,,,,,,15.0,66811.0,125.0,-111.31,,,,,,39.60994,-111.861732,,1660101283.5
40,35.0,23.08,30.658,,,,,,,,,,,,,,,,,,,,,,,,39.609966,-111.861732,,1660101283.6
41,12.73,22.82,58.077,,2644.95,125.0,-101.57,,,,,,,,,,,,,,,,,,,,39.609993,-111.861732,36.521,1660101283.7
42,0.0,23.55,51.052,,2644.95,125.0,-101.38,,,,,,,,,,,15.0,66811.0,125.0,-109.94,,,,,,39.61002,-111.861732,,1660101283.8
43,1.72,22.57,58.156,,,,,,,,,,,,,,,15.0,66811.0,125.0,-108.72,,,,,,39.61005,-111.861732,,1660101283.9
44,1.32,22.32,52.329,,2644.95,125.0,-101.93,,,,,,,,,22.06,4.308,15.0,66811.0,125.0,-108.68,17.07,,,,,39.610077,-111.861732,,1660101284.0
45,50.0,22.47,38.978,,,,,,,,,,,,,20.7,,15.0,66811.0,125.0,-108.07,9.09,,,,,39.610107,-111.861732,,1660101284.1
46,7.06,18.91,48.934,,2644.95,125.0,-102.15,,,,,,,,,20.0,,15.0,66811.0,125.0,-109.28,0.0,,,,,39.610134,-111.861732,49.073,1660101284.2
47,0.0,20.22,64.118,,2644.95,125.0,-103.14,,,,,,,,,,,15.0,66811.0,125.0,-109.88,,,,,,39.610165,-111.86174,,1660101284.3
48,0.0,21.18,85.634,,,,,,,,,,,,,21.05,,15.0,66811.0,125.0,-107.92,2.33,,,,,39.610195,-111.86174,,1660101284.4
49,2.6,22.88,69.212,,2644.95,125.0,-103.96,,,,,,,,,,,15.0,66811.0,125.0,-107.62,,,,,,39.610222,-111.86174,,1660101284.5
50,26.37,23.56,84.72,,2644.95,125.0,-103.82,,,,,,,,,22.88,,15.0,66811.0,125.0,-107.4,33.33,,,,,39.610252,-111.86174,,1660101284.6
51,2.22,21.8,99.06,,,,,,,,,,,,,,,15.0,66811.0,125.0,-107.57,,,,,,39.610279,-111.86174,71.321,1660101284.7
52,0.0,22.55,95.768,,2644.95,125.0,-103.4,,,,,,,,,,,15.0,66811.0,125.0,-108.68,,,,,,39.61031,-111.86174,,1660101284.8
