TIME_STAMP,Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,5G KPI PCell RF Serving PCI,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],LTE KPI PCell Serving BandWidth(DL),5G KPI PCell RF BandWidth,LTE KPI PCell DL MCS0,5G KPI PCell Layer1 DL MCS (Avg),LTE KPI PDSCH BLER[%],5G KPI PCell Layer1 DL BLER [%],LTE KPI PCell Serving RSRP[dBm],5G KPI PCell RF Serving SS-RSRP [dBm],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],LTE KPI PCell UL MCS,5G KPI PCell Layer1 UL MCS (Avg),LTE KPI PUSCH BLER[%],5G KPI PCell Layer1 UL BLER [%],Smart Phone Smart Throughput Mobile Network Tx Byte
2022-08-12 23:21:01.000000,41.63496,-91.031097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,,,,,,,,,,,,,,,,
2022-08-12 23:21:01.900000,41.63496,-91.031097,,,626.45,676.0,93.0,545.0,,,,,,0.0,,,,,,,,15.0,,,,,,-83.15,-78.16,,,,,,,0.068,,,,,,,,,13.0,0.0,0.0,
2022-08-12 23:21:01.934830,41.63496,-91.031097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-12 23:21:02.000000,41.63496,-91.031097,,,,676.0,93.0,,,,,,,0.0,,,,,,,,15.0,,,,,,-83.59,,,0.0,,,,,0.056,,,,,,,,,13.0,,0.0,
2022-08-12 23:21:02.100000,41.63496,-91.031097,,,626.45,,,545.0,,,,,,0.0,,,,,,,,,,,,,,,-78.31,,,,,,,0.055,,,,,,,,,13.0,,0.0,
2022-08-12 23:21:02.200000,41.63496,-91.031097,,,626.45,,,545.0,,,,,,0.0,,,,,,,,,,,,,,,-78.2,,,,,,,0.055,,,,,,,,,13.0,,0.0,
2022-08-12 23:21:02.300000,41.63496,-91.031097,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,0.055,,,,,,,,,13.0,,0.0,0.0
2022-08-12 23:21:02.400000,41.63496,-91.031097,,,626.45,,,545.0,,,,,,0.0,,,,,,,,,,,,,,,-78.29,,,,,,,0.056,,,,,,,,,13.0,,0.0,
2022-08-12 23:21:02.500000,41.63496,-91.031097,,,626.45,,,545.0,,,,,,0.0,,,,,,,,,,,,,,,-78.44,,,,,,,0.055,,,,,,,,,13.0,,0.0,
2022-08-12 23:21:02.600000,41.63496,-91.031097,,,,676.0,93.0,,,,,,,0.0,,,,,,,,15.0,,,,,,-80.63,,,,,,,,0.062,,,,,,,,,13.0,,0.0,
2022-08-12 23:21:02.700000,41.63496,-91.031097,,,626.45,,,545.0,,,,,,0.0,,,,,,,,,,,,,,,-78.82,,,,,,,0.058,,,,,,,,,13.0,,0.0,
2022-08-12 23:21:02.800000,41.63496,-91.031097,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,0.057,,,,,,,,18.0,13.0,,0.0,0.0
2022-08-12 23:21:02.900000,41.63496,-91.031097,,,626.45,,,545.0,,,,,,0.0,,,,,,,,,,,,,,,-79.56,,,,,,,,,,,,,,,,,0.0,,
2022-08-12 23:21:03.000000,41.634953,-91.031067,,,,676.0,93.0,,0.006,,,,,,,,,,,,,15.0,,,,,,-77.31,,,0.015,,,,,,,,,,,,,,,,,
