PING 54.176.53.206 (54.176.53.206) 38(66) bytes of data.
46 bytes from 54.176.53.206: icmp_seq=1 ttl=44 time=62.5 ms
46 bytes from 54.176.53.206: icmp_seq=2 ttl=44 time=41.3 ms
46 bytes from 54.176.53.206: icmp_seq=3 ttl=44 time=55.0 ms
46 bytes from 54.176.53.206: icmp_seq=4 ttl=44 time=53.9 ms
46 bytes from 54.176.53.206: icmp_seq=5 ttl=44 time=56.7 ms
46 bytes from 54.176.53.206: icmp_seq=6 ttl=44 time=54.5 ms
46 bytes from 54.176.53.206: icmp_seq=7 ttl=44 time=51.9 ms
46 bytes from 54.176.53.206: icmp_seq=8 ttl=44 time=52.7 ms
46 bytes from 54.176.53.206: icmp_seq=9 ttl=44 time=53.2 ms
46 bytes from 54.176.53.206: icmp_seq=10 ttl=44 time=51.6 ms
46 bytes from 54.176.53.206: icmp_seq=11 ttl=44 time=51.8 ms
46 bytes from 54.176.53.206: icmp_seq=12 ttl=44 time=49.3 ms
46 bytes from 54.176.53.206: icmp_seq=13 ttl=44 time=53.6 ms
46 bytes from 54.176.53.206: icmp_seq=14 ttl=44 time=58.0 ms
46 bytes from 54.176.53.206: icmp_seq=15 ttl=44 time=46.4 ms
46 bytes from 54.176.53.206: icmp_seq=16 ttl=44 time=51.3 ms
46 bytes from 54.176.53.206: icmp_seq=17 ttl=44 time=45.2 ms
46 bytes from 54.176.53.206: icmp_seq=18 ttl=44 time=50.9 ms
46 bytes from 54.176.53.206: icmp_seq=19 ttl=44 time=48.8 ms
46 bytes from 54.176.53.206: icmp_seq=20 ttl=44 time=43.4 ms
46 bytes from 54.176.53.206: icmp_seq=21 ttl=44 time=48.0 ms
46 bytes from 54.176.53.206: icmp_seq=22 ttl=44 time=41.2 ms
46 bytes from 54.176.53.206: icmp_seq=23 ttl=44 time=45.7 ms
46 bytes from 54.176.53.206: icmp_seq=24 ttl=44 time=47.1 ms
46 bytes from 54.176.53.206: icmp_seq=25 ttl=44 time=39.2 ms
46 bytes from 54.176.53.206: icmp_seq=26 ttl=44 time=38.4 ms
46 bytes from 54.176.53.206: icmp_seq=27 ttl=44 time=37.0 ms
46 bytes from 54.176.53.206: icmp_seq=28 ttl=44 time=44.5 ms
46 bytes from 54.176.53.206: icmp_seq=29 ttl=44 time=30.2 ms
46 bytes from 54.176.53.206: icmp_seq=30 ttl=44 time=45.7 ms
46 bytes from 54.176.53.206: icmp_seq=31 ttl=44 time=38.9 ms
46 bytes from 54.176.53.206: icmp_seq=32 ttl=44 time=38.0 ms
46 bytes from 54.176.53.206: icmp_seq=33 ttl=44 time=44.9 ms
46 bytes from 54.176.53.206: icmp_seq=34 ttl=44 time=37.3 ms
46 bytes from 54.176.53.206: icmp_seq=35 ttl=44 time=36.5 ms
46 bytes from 54.176.53.206: icmp_seq=36 ttl=44 time=42.0 ms
46 bytes from 54.176.53.206: icmp_seq=37 ttl=44 time=39.9 ms
46 bytes from 54.176.53.206: icmp_seq=38 ttl=44 time=34.4 ms
46 bytes from 54.176.53.206: icmp_seq=39 ttl=44 time=38.6 ms
46 bytes from 54.176.53.206: icmp_seq=40 ttl=44 time=37.8 ms
46 bytes from 54.176.53.206: icmp_seq=41 ttl=44 time=107 ms
46 bytes from 54.176.53.206: icmp_seq=42 ttl=44 time=31.1 ms
46 bytes from 54.176.53.206: icmp_seq=43 ttl=44 time=46.8 ms
46 bytes from 54.176.53.206: icmp_seq=44 ttl=44 time=39.6 ms
46 bytes from 54.176.53.206: icmp_seq=45 ttl=44 time=39.1 ms
46 bytes from 54.176.53.206: icmp_seq=46 ttl=44 time=44.7 ms
46 bytes from 54.176.53.206: icmp_seq=47 ttl=44 time=37.8 ms
46 bytes from 54.176.53.206: icmp_seq=48 ttl=44 time=43.6 ms
46 bytes from 54.176.53.206: icmp_seq=49 ttl=44 time=43.4 ms
46 bytes from 54.176.53.206: icmp_seq=50 ttl=44 time=35.5 ms
46 bytes from 54.176.53.206: icmp_seq=51 ttl=44 time=54.3 ms
46 bytes from 54.176.53.206: icmp_seq=52 ttl=44 time=53.0 ms
46 bytes from 54.176.53.206: icmp_seq=53 ttl=44 time=52.2 ms
46 bytes from 54.176.53.206: icmp_seq=54 ttl=44 time=51.4 ms
46 bytes from 54.176.53.206: icmp_seq=55 ttl=44 time=57.4 ms
46 bytes from 54.176.53.206: icmp_seq=56 ttl=44 time=47.8 ms
46 bytes from 54.176.53.206: icmp_seq=57 ttl=44 time=49.1 ms
46 bytes from 54.176.53.206: icmp_seq=58 ttl=44 time=48.1 ms
46 bytes from 54.176.53.206: icmp_seq=59 ttl=44 time=47.5 ms
46 bytes from 54.176.53.206: icmp_seq=60 ttl=44 time=46.0 ms
46 bytes from 54.176.53.206: icmp_seq=61 ttl=44 time=45.3 ms
46 bytes from 54.176.53.206: icmp_seq=62 ttl=44 time=50.8 ms
46 bytes from 54.176.53.206: icmp_seq=63 ttl=44 time=43.6 ms
46 bytes from 54.176.53.206: icmp_seq=64 ttl=44 time=43.2 ms
46 bytes from 54.176.53.206: icmp_seq=65 ttl=44 time=42.2 ms
46 bytes from 54.176.53.206: icmp_seq=66 ttl=44 time=39.4 ms
46 bytes from 54.176.53.206: icmp_seq=67 ttl=44 time=46.7 ms
46 bytes from 54.176.53.206: icmp_seq=68 ttl=44 time=39.6 ms
46 bytes from 54.176.53.206: icmp_seq=69 ttl=44 time=38.5 ms
46 bytes from 54.176.53.206: icmp_seq=70 ttl=44 time=37.1 ms
46 bytes from 54.176.53.206: icmp_seq=71 ttl=44 time=36.2 ms
46 bytes from 54.176.53.206: icmp_seq=72 ttl=44 time=35.2 ms
46 bytes from 54.176.53.206: icmp_seq=73 ttl=44 time=54.3 ms
46 bytes from 54.176.53.206: icmp_seq=74 ttl=44 time=95.4 ms
46 bytes from 54.176.53.206: icmp_seq=75 ttl=44 time=52.5 ms
46 bytes from 54.176.53.206: icmp_seq=76 ttl=44 time=50.9 ms
46 bytes from 54.176.53.206: icmp_seq=77 ttl=44 time=56.7 ms
46 bytes from 54.176.53.206: icmp_seq=78 ttl=44 time=29.8 ms
46 bytes from 54.176.53.206: icmp_seq=79 ttl=44 time=49.2 ms
46 bytes from 54.176.53.206: icmp_seq=80 ttl=44 time=54.7 ms
46 bytes from 54.176.53.206: icmp_seq=81 ttl=44 time=47.7 ms
