,TIME_STAMP,Lon,Lat,GPS Lon,GPS Lat,GPS Time,GPS Head,GPS Speed (km/h),GPS Speed(Complement),GPS Distance (m),GPS Source,GPS Data Ind,GPS Area,GPS Satellite Status NMEA GPS List[0] PRN,GPS Satellite Status NMEA GPS List[0] Elevation,GPS Satellite Status NMEA GPS List[0] Azimuth,GPS Satellite Status NMEA GPS List[0] SNR [dB],GPS Satellite Status NMEA GPS List[1] PRN,GPS Satellite Status NMEA GPS List[1] Elevation,GPS Satellite Status NMEA GPS List[1] Azimuth,GPS Satellite Status NMEA GPS List[1] SNR [dB],GPS Satellite Status NMEA GPS List[2] PRN,GPS Satellite Status NMEA GPS List[2] Elevation,GPS Satellite Status NMEA GPS List[2] Azimuth,GPS Satellite Status NMEA GPS List[2] SNR [dB],GPS Satellite Status NMEA GPS List[3] PRN,GPS Satellite Status NMEA GPS List[3] Elevation,GPS Satellite Status NMEA GPS List[3] Azimuth,GPS Satellite Status NMEA GPS List[3] SNR [dB],Event Technology,Event LTE Events,Event 5G-NR/LTE Events,Event Port Number,LTE KPI Chip Type,LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving EARFCN(UL),LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving BandWidth(UL),LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell Serving RSRQ[dB],LTE KPI PCell Serving RSSI[dBm],LTE KPI PCell PUSCH Power[dBm],LTE KPI PCell PUCCH Power[dBm],LTE KPI PCell Total Tx Power[dBm],LTE KPI PCell SINR[dB],LTE KPI PCell WB CQI CW0,LTE KPI PCell WB CQI CW1,LTE KPI PCell WB RI,LTE KPI PCell WB RI1 Rate,LTE KPI PCell WB RI2 Rate,LTE KPI PCell WB RI3 Rate,LTE KPI PCell WB RI4 Rate,LTE KPI PCell Tx Mode,LTE KPI PCell WB PMI 0,LTE KPI PCell M(Tx) x N(Rx) Ant,LTE KPI PCell DL MCS0,LTE KPI PCell DL MCS1,LTE KPI PCell UL MCS,LTE KPI PCell DL Modulation0,LTE KPI PCell DL Modulation1,LTE KPI PCell UL Modulation,LTE KPI Pcell PDSCH PRB Number(Avg),LTE KPI PCell PUSCH PRB Number(Avg),LTE KPI PCell PDSCH PRB Number(Including 0),LTE KPI PCell PDSCH PRB Number TB0(Including 0),LTE KPI PCell PDSCH PRB Number TB1(Including 0),LTE KPI PCell PUSCH PRB Number(Including 0),LTE KPI PCell PDSCH BLER[%],LTE KPI PCell PUSCH BLER[%],LTE KPI PCell PDSCH Throughput[Mbps],LTE KPI PCell PUSCH Throughput[Mbps],LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PDSCH PRB Number(Avg)(Total),LTE KPI PUSCH PRB Number(Avg)(Total),LTE KPI PDSCH PRB Number(Including 0)(Total),LTE KPI PUSCH PRB Number(Including 0)(Total),LTE KPI PDSCH BLER[%],LTE KPI PUSCH BLER[%],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],LTE KPI MAC DL Throughput[Mbps],LTE KPI MAC UL Throughput[Mbps],LTE KPI RLC DL Throughput[Mbps],LTE KPI RLC UL Throughput[Mbps],LTE KPI PDCP DL Throughput[Mbps],LTE KPI PDCP UL Throughput[Mbps],LTE KPI TAC,LTE KPI CA Type,LTE KPI UL CA Type,LTE KPI Band Combination,LTE KPI SCell[1] CA Rate(Same PCI),LTE KPI SCell[1] Serving PCI,LTE KPI SCell[1] Serving Band,LTE KPI SCell[1] Serving EARFCN(DL),LTE KPI SCell[1] Serving BandWidth(DL),LTE KPI SCell[1] Serving RSRP[dBm],LTE KPI SCell[1] Serving RSRQ[dB],LTE KPI SCell[1] Serving RSSI[dBm],LTE KPI SCell[1] SINR[dB],LTE KPI SCell[2] Serving PCI,LTE KPI SCell[2] Serving Band,LTE KPI SCell[2] Serving EARFCN(DL),LTE KPI SCell[2] Serving BandWidth(DL),LTE KPI SCell[2] Serving RSRP[dBm],LTE KPI SCell[2] Serving RSRQ[dB],LTE KPI SCell[2] Serving RSSI[dBm],LTE KPI SCell[2] SINR[dB],Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network Rx Byte,Smart Phone Smart Throughput Mobile Network Tx Byte
26,2022-08-08 11:46:23.982141,-118.236801,34.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,,RRC Setup Success,RRC Setup Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2022-08-08 11:46:24.000000,-118.236801,34.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,LTE(5CA),,,,LTE Qualcomm,417.0,Band 2,850.0,18850.0,20.0,20.0,-69.14,-7.94,-41.18,-16.0,-40.91,-32.7,22.24,14.0,7.5,2.0,0.0,100.0,0.0,0.0,TM4,7.0,4x4,0.4,,,QPSK,,,6.4,,0.05,0.05,0.0,0.47,0.0,,0.004,0.046,0.004,0.046,6.4,,0.05,0.47,0.0,,0.004,0.046,0.004,0.046,0.04,,,0.002,34617.0,NonCA,,Band 2,0.0,,,,,,,,,,,,,,,,,,,,
28,2022-08-08 11:46:24.087592,-118.236801,34.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA Config Attempt,CA Config Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2022-08-08 11:46:24.089411,-118.236801,34.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA Config Success,CA Config Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2022-08-08 11:46:24.100000,-118.236801,34.0588,,,,,,,,,,,11.0,16.0,56.0,29.0,18.0,35.0,266.0,21.0,23.0,7.0,206.0,25.0,25.0,57.0,213.0,37.0,,,,,,417.0,Band 2,850.0,18850.0,20.0,20.0,-68.71,-8.5,-40.08,,,-35.89,19.97,,,2.0,0.0,100.0,0.0,0.0,TM4,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,34617.0,5CA,,Band 2+Band 46+Band 46+Band 46+Band 66,,488.0,Band 46,52740.0,20.0,-99.31,-6.38,-72.94,17.6,463.0,Band 46,52941.0,20.0,-101.69,-6.31,-75.38,18.7,,,,
31,2022-08-08 11:46:24.200000,-118.236801,34.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.0,Band 2,850.0,18850.0,20.0,20.0,-68.51,-8.13,-40.16,,,-37.07,19.94,12.5,12.5,,,,,,TM4,11.0,,,,15.86,,,256QAM,,19.0,,,,,,0.0,,,,,,19.0,,,,0.0,,,,,,,,,34617.0,5CA,NonCA,Band 2+Band 46+Band 46+Band 46+Band 66,,488.0,Band 46,52740.0,20.0,-99.41,-6.19,-73.25,21.3,463.0,Band 46,52941.0,20.0,-101.53,-6.63,-74.81,21.35,0.002,0.002,132.0,132.0
32,2022-08-08 11:46:24.217506,-118.236801,34.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventA1,eventA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2022-08-08 11:46:24.266796,-118.236801,34.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventA1,eventA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2022-08-08 11:46:24.266843,-118.236801,34.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventA1,eventA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2022-08-08 11:46:24.266860,-118.236801,34.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventA1,eventA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2022-08-08 11:46:24.300000,-118.236801,34.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.0,Band 2,850.0,18850.0,20.0,20.0,-68.14,-8.55,-39.13,,,-39.5,21.54,14.0,14.0,,,,,,TM4,8.0,,1.52,,24.6,QPSK,,256QAM,4.16,3.0,,,,,0.0,0.0,,,,,4.09,3.0,,,0.0,0.0,,,,,0.008,,0.009,,34617.0,2CA,NonCA,Band 2+Band 66,,,,,,,,,,,,,,,,,,,,,
37,2022-08-08 11:46:24.400000,-118.236801,34.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.0,Band 2,850.0,18850.0,20.0,20.0,-67.72,-7.34,-40.28,,,-35.67,21.32,,,3.0,0.0,0.0,100.0,0.0,TM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34617.0,2CA,,Band 2+Band 66,,,,,,,,,,,,,,,,,,,,,
38,2022-08-08 11:46:24.600000,-118.236801,34.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.0,Band 2,850.0,18850.0,20.0,20.0,-67.51,-7.26,-40.06,,,-36.81,21.05,11.0,10.0,3.0,0.0,0.0,100.0,0.0,TM4,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34617.0,2CA,,Band 2+Band 66,,,,,,,,,,,,,,,,,,,,,
39,2022-08-08 11:46:24.700000,-118.236801,34.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.003,132.0,198.0
