,level_0,index,TIME_STAMP,Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell Layer1 UL MCS (Avg),5G KPI PCell Layer1 UL BLER [%],5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI PCell RF BandWidth,5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],LTE KPI PCell UL MCS,LTE KPI PCell Serving RSRP[dBm],Smart Phone Smart Throughput Mobile Network Tx Byte,LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell DL MCS0,LTE KPI PDSCH BLER[%],LTE KPI PCell Serving RSRP[dBm]
0,17378,107454,2022-08-14 17:29:14.300000,40.857536,-82.256683,0.151,0.02,,873.85,340.0,,,-89.34,10.0,,,0.0,-89.34,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,10.75,-97.46,1260.0,5.0,13.35,8.33,-97.46
1,17379,107459,2022-08-14 17:29:14.800000,40.857658,-82.256538,0.184,0.016,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,2.21,-101.13,996.0,5.0,,,-101.13
2,17380,107464,2022-08-14 17:29:15.300000,40.857784,-82.256393,0.276,0.014,,,,8.57,12.5,,,,,0.082,,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,14.0,-97.76,856.0,5.0,13.67,0.0,-97.76
3,17381,107469,2022-08-14 17:29:15.800000,40.85791,-82.256241,0.228,0.017,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.035,,,,,,,,1025.0,340.0,,,,,,,,,,,7.5,-99.19,1064.0,5.0,7.7,6.52,-99.19
4,17382,107474,2022-08-14 17:29:16.300000,40.858032,-82.256088,0.228,0.017,,873.85,340.0,,,-93.3,10.0,,,,-93.3,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,,-98.56,1064.0,5.0,,,-98.56
5,17383,107484,2022-08-14 17:29:17.300000,40.858284,-82.255791,0.182,0.017,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.035,,,,,,,,1025.0,340.0,,,,,,,,,,,4.0,-101.34,1072.0,5.0,5.11,12.22,-101.34
6,17384,107489,2022-08-14 17:29:17.800000,40.85841,-82.255638,0.139,0.014,,,,,,,,0.5,0.0,0.0,,,,,,,,,0.045,,,,,,,,1025.0,340.0,,,,,,,,,,,7.0,-100.95,856.0,5.0,2.48,1.11,-100.95
7,17385,107494,2022-08-14 17:29:18.300000,40.858528,-82.255493,0.161,0.014,,,,1.0,0.0,,,0.0,0.0,0.004,,,,,,,,,0.037,,,,,,,,1025.0,340.0,,,,,,,,,,,5.22,-99.89,908.0,5.0,2.85,5.56,-99.89
8,17386,107499,2022-08-14 17:29:18.800000,40.85865,-82.255341,0.115,0.012,,873.85,340.0,1.0,0.0,-95.13,10.0,0.75,0.0,0.003,-95.13,,,,,,,,0.106,,,,,,,,1025.0,340.0,,,,,,,,,,,6.75,-100.67,744.0,5.0,3.83,2.27,-100.67
9,17387,107504,2022-08-14 17:29:19.300000,40.858772,-82.255188,0.185,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.0,340.0,,,,,,,,,,,8.67,-103.75,1240.0,5.0,3.65,12.36,-103.75
10,17388,107509,2022-08-14 17:29:19.800000,40.858898,-82.255043,0.184,0.015,,,,,,,,0.33,0.0,0.0,,,,,,,,,0.084,,,,,,,,1025.0,340.0,,,,,,,,,,,9.5,-103.01,960.0,5.0,4.19,17.65,-103.01
