,level_0,index,TIME_STAMP,Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell Layer1 UL MCS (Avg),5G KPI PCell Layer1 UL BLER [%],5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI PCell RF BandWidth,5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],LTE KPI PCell UL MCS,LTE KPI PCell Serving RSRP[dBm],Smart Phone Smart Throughput Mobile Network Tx Byte,LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell DL MCS0,LTE KPI PDSCH BLER[%],LTE KPI PCell Serving RSRP[dBm]
11,17389,107519,2022-08-14 17:29:20.800000,40.85915,-82.254738,0.114,0.012,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.017,,,,,,,,1025.0,340.0,,,,,,,,,,,11.25,-103.81,724.0,5.0,3.09,8.89,-103.81
12,17390,107524,2022-08-14 17:29:21.300000,40.859276,-82.254593,0.115,0.009,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.017,,,,,,,,1025.0,340.0,,,,,,,,,,,9.33,-103.66,532.0,5.0,3.0,0.0,-103.66
13,17391,107534,2022-08-14 17:29:22.300000,40.859528,-82.254288,0.115,0.012,,873.85,340.0,,,-96.18,10.0,0.0,0.0,0.0,-96.18,,,,,,,,0.035,,,,,,,,1025.0,340.0,,,,,,,,,,,6.5,-103.43,752.0,5.0,4.41,13.33,-103.43
14,17392,107584,2022-08-14 17:29:27.300000,40.860733,-82.252769,0.184,0.023,,873.85,340.0,,,-97.53,10.0,14.0,50.0,0.0,-97.53,,,,,,,,0.146,,,,,,,,1025.0,340.0,,,,,,,,,,,6.17,-107.99,1424.0,5.0,1.0,0.0,-107.99
15,17393,107664,2022-08-14 17:29:35.300000,40.862549,-82.250175,0.155,0.034,,873.85,340.0,0.0,0.0,-100.85,10.0,,,0.024,-100.85,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,2.0,-111.89,2145.0,5.0,1.04,4.44,-111.89
16,17394,107675,2022-08-14 17:29:36.134164,40.862728,-82.249893,,,Handover Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17395,107695,2022-08-14 17:29:37.300000,40.862976,-82.249496,0.116,0.014,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.037,,,,,,,,1025.0,345.0,,,,,,,,,,,11.67,-105.03,852.0,5.0,7.61,4.35,-105.03
18,17396,107700,2022-08-14 17:29:37.800000,40.863079,-82.249329,0.184,0.017,,,,0.0,0.0,,,4.5,40.0,0.004,,,,,,,,,0.145,,,,,,,,1025.0,345.0,,,,,,,,,,,16.0,-108.04,1056.0,5.0,6.25,10.0,-108.04
19,17397,107715,2022-08-14 17:29:39.300000,40.863396,-82.24881,0.459,0.037,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,1025.0,345.0,,,,,,,,,,,17.8,-103.77,2296.0,5.0,3.79,3.41,-103.77
20,17398,107720,2022-08-14 17:29:39.800000,40.863499,-82.248642,0.46,0.023,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1025.0,345.0,,,,,,,,,,,16.63,-103.06,1405.0,5.0,6.86,12.0,-103.06
21,17399,107725,2022-08-14 17:29:40.300000,40.863602,-82.248459,0.526,0.03,,,,0.0,0.0,,,0.0,0.0,0.001,,,,,,,,,0.019,,,,,,,,1025.0,345.0,,,,,,,,,,,18.67,-101.84,1903.0,5.0,5.28,6.52,-101.84
22,17400,107730,2022-08-14 17:29:40.800000,40.863701,-82.248283,0.457,0.017,,873.85,340.0,,,-98.12,10.0,0.5,0.0,0.0,-98.12,,,,,,,,0.081,,,,,,,,1025.0,345.0,,,,,,,,,,,21.67,-99.03,1062.0,5.0,3.48,2.04,-99.03
23,17401,107735,2022-08-14 17:29:41.300000,40.863808,-82.248108,0.39,0.025,,873.85,340.0,,,-98.52,10.0,0.0,0.0,0.0,-98.52,,,,,,,,0.018,,,,,,,,1025.0,345.0,,,,,,,,,,,23.67,-98.42,1585.0,5.0,2.91,2.5,-98.42
24,17402,107740,2022-08-14 17:29:41.800000,40.863911,-82.247932,0.209,0.017,,873.85,340.0,,,-96.87,10.0,0.0,0.0,0.0,-96.87,,,,,,,,0.035,,,,,,,,1025.0,345.0,,,,,,,,,,,25.33,-99.39,1069.0,5.0,,,-99.39
25,17403,107745,2022-08-14 17:29:42.300000,40.864006,-82.247749,0.504,0.026,,873.85,340.0,3.0,0.0,-93.53,10.0,13.0,0.0,0.004,-93.53,,,,,,,,0.129,,,,,,,,1025.0,345.0,,,,,,,,,,,,-97.76,1634.0,5.0,1.0,0.0,-97.76
26,17404,107750,2022-08-14 17:29:42.800000,40.864101,-82.247566,0.164,0.013,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,1025.0,345.0,,,,,,,,,,,,-95.28,838.0,5.0,,,-95.28
27,17405,107755,2022-08-14 17:29:43.300000,40.864201,-82.247391,0.206,0.016,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.017,,,,,,,,1025.0,345.0,,,,,,,,,,,26.2,-94.81,1014.0,5.0,,,-94.81
28,17406,107760,2022-08-14 17:29:43.800000,40.8643,-82.247208,0.619,0.022,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.017,,,,,,,,1025.0,345.0,,,,,,,,,,,27.33,-91.36,1376.0,5.0,3.5,0.0,-91.36
29,17407,107765,2022-08-14 17:29:44.300000,40.864395,-82.247025,0.982,0.032,,,,,,,,0.33,0.0,0.0,,,,,,,,,0.045,,,,,,,,1025.0,345.0,,,,,,,,,,,26.25,-89.58,1995.0,5.0,5.96,8.21,-89.58
30,17408,107770,2022-08-14 17:29:44.800000,40.864491,-82.246849,1.12,0.034,,873.85,340.0,5.0,0.0,-93.9,10.0,15.0,66.67,0.008,-93.9,,,,,,,,0.167,,,,,,,,1025.0,345.0,,,,,,,,,,,27.0,-89.91,2151.0,5.0,5.87,2.63,-89.91
31,17409,107775,2022-08-14 17:29:45.300000,40.864586,-82.246674,0.412,0.02,,873.85,340.0,6.5,0.0,-94.8,10.0,9.5,0.0,0.037,-94.8,,,,,,,,0.057,,,,,,,,1025.0,345.0,,,,,,,,,,,,-89.24,1256.0,5.0,5.27,8.33,-89.24
32,17410,107780,2022-08-14 17:29:45.800000,40.864681,-82.24649,0.251,0.015,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1025.0,345.0,,,,,,,,,,,25.67,-89.66,924.0,5.0,,,-89.66
33,17411,107785,2022-08-14 17:29:46.300000,40.864777,-82.246307,0.458,0.02,,873.85,340.0,8.0,0.0,-94.61,10.0,0.0,0.0,0.013,-94.61,,,,,,,,0.018,,,,,,,,1025.0,345.0,,,,,,,,,,,23.0,-90.34,1252.0,5.0,8.3,0.0,-90.34
34,17412,107790,2022-08-14 17:29:46.800000,40.864868,-82.246117,0.275,0.016,,873.85,340.0,10.83,0.0,-92.79,10.0,12.33,25.0,0.083,-92.79,,,,,,,,0.091,,,,,,,,1025.0,345.0,,,,,,,,,,,27.67,-93.17,1024.0,5.0,4.64,0.0,-93.17
35,17413,107795,2022-08-14 17:29:47.300000,40.86496,-82.245934,0.32,0.019,,,,10.43,0.0,,,11.5,0.0,0.089,,,,,,,,,0.145,,,,,,,,1025.0,345.0,,,,,,,,,,,23.25,-98.59,1215.0,5.0,7.65,3.7,-98.59
36,17414,107800,2022-08-14 17:29:47.800000,40.865051,-82.24575,0.274,0.015,,,,5.0,14.29,,,10.0,0.0,0.057,,,,,,,,,0.078,,,,,,,,1025.0,345.0,,,,,,,,,,,17.0,-103.81,948.0,5.0,,,-103.81
37,17415,107805,2022-08-14 17:29:48.300000,40.865143,-82.24556,0.16,0.011,,,,,,,,7.0,0.0,0.0,,,,,,,,,0.092,,,,,,,,1025.0,345.0,,,,,,,,,,,7.67,-107.74,686.0,5.0,2.25,4.0,-107.74
38,17416,107819,2022-08-14 17:29:49.484950,40.86536,-82.245117,,,Handover Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,17417,107841,2022-08-14 17:29:50.800000,40.865589,-82.244629,0.253,0.018,,,,9.17,33.33,,,,,0.064,,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,20.33,-98.26,1104.0,5.0,12.96,8.89,-98.26
40,17418,107846,2022-08-14 17:29:51.300000,40.865677,-82.244446,0.184,0.009,,,,8.43,12.5,,,3.0,0.0,0.074,,,,,,,,,0.206,,,,,,,,1025.0,340.0,,,,,,,,,,,,-101.74,534.0,5.0,6.17,25.0,-101.74
41,17419,107851,2022-08-14 17:29:51.800000,40.865761,-82.244263,0.251,0.016,,,,8.17,40.0,,,4.5,0.0,0.074,,,,,,,,,0.192,,,,,,,,1025.0,340.0,,,,,,,,,,,,-106.57,1030.0,5.0,,,-106.57
42,17420,107856,2022-08-14 17:29:52.300000,40.865845,-82.244072,0.3,0.038,,873.85,340.0,9.0,0.0,-95.12,10.0,,,0.055,-95.12,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,3.87,-106.84,2403.0,5.0,,,-106.84
43,17421,107861,2022-08-14 17:29:52.800000,40.865929,-82.243881,0.43,0.026,,873.85,340.0,5.67,0.0,-95.05,10.0,4.0,0.0,0.064,-95.05,,,,,,,,0.278,,,,,,,,1025.0,340.0,,,,,,,,,,,12.0,-101.76,1650.0,5.0,6.06,5.88,-101.76
44,17422,107866,2022-08-14 17:29:53.300000,40.866013,-82.243683,0.321,0.014,,873.85,340.0,0.83,33.33,-97.72,10.0,3.57,0.0,0.03,-97.72,,,,,,,,0.308,,,,,,,,1025.0,340.0,,,,,,,,,,,19.0,-103.32,863.0,5.0,5.22,9.3,-103.32
45,17423,107871,2022-08-14 17:29:53.800000,40.8661,-82.243492,0.343,0.014,,873.85,340.0,1.0,50.0,-97.64,10.0,4.0,0.0,0.002,-97.64,,,,,,,,0.161,,,,,,,,1025.0,340.0,,,,,,,,,,,13.0,-102.43,860.0,5.0,5.96,9.76,-102.43
46,17424,107876,2022-08-14 17:29:54.300000,40.866184,-82.243301,0.321,0.046,,873.85,340.0,0.0,0.0,-96.93,10.0,5.33,0.0,0.001,-96.93,,,,,,,,0.328,,,,,,,,1025.0,340.0,,,,,,,,,,,18.33,-101.34,2846.0,5.0,3.67,0.0,-101.34
47,17425,107881,2022-08-14 17:29:54.800000,40.866268,-82.243111,0.265,0.027,,,,,,,,2.0,0.0,0.0,,,,,,,,,0.044,,,,,,,,1025.0,340.0,,,,,,,,,,,18.0,-101.23,1682.0,5.0,6.35,17.07,-101.23
48,17426,107886,2022-08-14 17:29:55.300000,40.866348,-82.24292,0.161,0.015,,,,,,,,6.0,0.0,0.0,,,,,,,,,0.239,,,,,,,,1025.0,340.0,,,,,,,,,,,,-100.88,938.0,5.0,,,-100.88
49,17427,107891,2022-08-14 17:29:55.800000,40.866428,-82.242722,0.138,0.013,,,,3.0,0.0,,,,,0.021,,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,,-101.59,808.0,5.0,5.36,0.0,-101.59
50,17428,107896,2022-08-14 17:29:56.300000,40.866508,-82.242523,0.184,0.015,,873.85,340.0,,,-93.68,10.0,6.0,0.0,0.0,-93.68,,,,,,,,0.126,,,,,,,,1025.0,340.0,,,,,,,,,,,,-102.26,908.0,5.0,,,-102.26
51,17429,107901,2022-08-14 17:29:56.800000,40.866589,-82.242332,0.208,0.013,,873.85,340.0,1.0,50.0,-94.12,10.0,9.0,0.0,0.006,-94.12,,,,,,,,0.195,,,,,,,,1025.0,340.0,,,,,,,,,,,,-101.87,808.0,5.0,,,-101.87
52,17430,107906,2022-08-14 17:29:57.300000,40.866665,-82.242142,0.344,0.015,,873.85,340.0,,,-93.5,10.0,20.0,33.33,0.0,-93.5,,,,,,,,0.456,,,,,,,,1025.0,340.0,,,,,,,,,,,,-102.93,912.0,5.0,3.25,0.0,-102.93
53,17431,107911,2022-08-14 17:29:57.800000,40.866741,-82.241943,0.253,0.017,,873.85,340.0,0.0,0.0,-91.74,10.0,6.0,0.0,0.005,-91.74,,,,,,,,0.146,,,,,,,,1025.0,340.0,,,,,,,,,,,21.4,-103.69,1040.0,5.0,,,-103.69
54,17432,107916,2022-08-14 17:29:58.300000,40.866814,-82.241745,0.252,0.014,,873.85,340.0,1.0,12.5,-91.09,10.0,18.0,0.0,0.036,-91.09,,,,,,,,0.382,,,,,,,,1025.0,340.0,,,,,,,,,,,,-100.48,896.0,5.0,,,-100.48
55,17433,107921,2022-08-14 17:29:58.800000,40.86689,-82.241539,0.16,0.009,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,7.0,-101.71,563.0,5.0,4.13,17.86,-101.71
56,17434,107926,2022-08-14 17:29:59.300000,40.866966,-82.241348,0.207,0.018,,,,1.0,0.0,,,3.0,0.0,0.002,,,,,,,,,0.128,,,,,,,,1025.0,340.0,,,,,,,,,,,20.8,-98.57,1118.0,5.0,,,-98.57
57,17435,107931,2022-08-14 17:29:59.800000,40.867039,-82.24115,0.139,0.014,,,,,,,,5.0,0.0,0.0,,,,,,,,,0.115,,,,,,,,1025.0,340.0,,,,,,,,,,,20.33,-97.74,856.0,5.0,,,-97.74
58,17436,107936,2022-08-14 17:30:00.300000,40.867115,-82.240952,0.115,0.013,,,,,,,,2.0,0.0,0.0,,,,,,,,,0.044,,,,,,,,1025.0,340.0,,,,,,,,,,,,-97.94,832.0,5.0,4.0,0.0,-97.94
59,17437,107946,2022-08-14 17:30:01.300000,40.867264,-82.240547,0.116,0.012,,873.85,340.0,,,-92.94,10.0,,,0.0,-92.94,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,,-98.86,728.0,5.0,,,-98.86
60,17438,107956,2022-08-14 17:30:02.300000,40.867409,-82.240143,0.116,0.011,,873.85,340.0,,,-93.02,10.0,9.0,0.0,0.0,-93.02,,,,,,,,0.205,,,,,,,,1025.0,340.0,,,,,,,,,,,,-101.45,716.0,5.0,,,-101.45
61,17439,107961,2022-08-14 17:30:02.800000,40.867481,-82.239937,0.186,0.016,,873.85,340.0,4.0,0.0,-91.34,10.0,9.0,0.0,0.01,-91.34,,,,,,,,0.384,,,,,,,,1025.0,340.0,,,,,,,,,,,,-99.73,1024.0,5.0,,,-99.73
62,17440,107966,2022-08-14 17:30:03.300000,40.86755,-82.239731,0.251,0.015,,,,,,,,10.0,0.0,0.0,,,,,,,,,0.405,,,,,,,,1025.0,340.0,,,,,,,,,,,16.75,-99.29,956.0,5.0,4.6,0.0,-99.29
63,17441,107971,2022-08-14 17:30:03.800000,40.867619,-82.239532,0.298,0.015,,,,0.0,66.67,,,8.0,0.0,0.002,,,,,,,,,0.166,,,,,,,,1025.0,340.0,,,,,,,,,,,,-103.36,912.0,5.0,,,-103.36
64,17442,107976,2022-08-14 17:30:04.300000,40.867691,-82.239334,0.162,0.021,,,,2.0,0.0,,,,,0.004,,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,7.67,-103.51,1332.0,5.0,9.87,8.89,-103.51
65,17443,107981,2022-08-14 17:30:04.800000,40.86776,-82.239128,0.206,0.012,,873.85,340.0,7.0,0.0,-92.42,10.0,,,0.005,-92.42,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,11.33,-104.76,756.0,5.0,8.19,13.16,-104.76
66,17444,107986,2022-08-14 17:30:05.300000,40.867825,-82.23893,0.138,0.015,,873.85,340.0,,,-94.96,10.0,5.0,0.0,0.0,-94.96,,,,,,,,0.134,,,,,,,,1025.0,340.0,,,,,,,,,,,,-100.59,932.0,5.0,,,-100.59
67,17445,107991,2022-08-14 17:30:05.800000,40.867889,-82.238731,0.184,0.015,,873.85,340.0,0.0,0.0,-94.11,10.0,7.5,0.0,0.004,-94.11,,,,,,,,0.33,,,,,,,,1025.0,340.0,,,,,,,,,,,7.23,-102.97,936.0,5.0,,,-102.97
68,17446,107996,2022-08-14 17:30:06.300000,40.86795,-82.238541,0.299,0.016,,873.85,340.0,2.5,0.0,-92.13,10.0,8.0,0.0,0.007,-92.13,,,,,,,,0.194,,,,,,,,1025.0,340.0,,,,,,,,,,,7.0,-102.49,1016.0,5.0,,,-102.49
69,17447,108001,2022-08-14 17:30:06.800000,40.868011,-82.238342,0.182,0.023,,873.85,340.0,0.0,50.0,-92.5,10.0,11.5,0.0,0.002,-92.5,,,,,,,,0.49,,,,,,,,1025.0,340.0,,,,,,,,,,,,-100.38,1417.0,5.0,,,-100.38
70,17448,108006,2022-08-14 17:30:07.300000,40.868076,-82.238144,0.322,0.015,,,,3.0,0.0,,,,,0.007,,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,13.0,-101.6,908.0,5.0,,,-101.6
71,17449,108011,2022-08-14 17:30:07.800000,40.868141,-82.237938,0.322,0.014,,,,,,,,16.0,0.0,0.0,,,,,,,,,0.348,,,,,,,,1025.0,340.0,,,,,,,,,,,11.83,-97.84,856.0,5.0,8.27,0.0,-97.84
72,17450,108016,2022-08-14 17:30:08.300000,40.868202,-82.23774,0.343,0.016,,,,1.0,0.0,,,9.0,0.0,0.004,,,,,,,,,0.154,,,,,,,,1025.0,340.0,,,,,,,,,,,8.67,-95.45,1012.0,5.0,,,-95.45
73,17451,108021,2022-08-14 17:30:08.800000,40.868259,-82.237541,0.368,0.018,,873.85,340.0,0.0,0.0,-90.1,10.0,13.0,0.0,0.002,-90.1,,,,,,,,0.234,,,,,,,,1025.0,340.0,,,,,,,,,,,11.5,-94.13,1096.0,5.0,,,-94.13
74,17452,108026,2022-08-14 17:30:09.300000,40.86832,-82.237335,0.617,0.023,,873.85,340.0,0.0,0.0,-90.13,10.0,13.0,0.0,0.002,-90.13,,,,,,,,0.491,,,,,,,,1025.0,340.0,,,,,,,,,,,9.75,-91.06,1464.0,5.0,16.35,12.9,-91.06
75,17453,108031,2022-08-14 17:30:09.800000,40.868382,-82.237129,0.754,0.021,,873.85,340.0,,,-92.99,10.0,13.33,0.0,0.0,-92.99,,,,,,,,0.913,,,,,,,,1025.0,340.0,,,,,,,,,,,19.6,-91.67,1324.0,5.0,9.78,0.0,-91.67
76,17454,108036,2022-08-14 17:30:10.300000,40.868435,-82.236931,0.64,0.02,,873.85,340.0,0.0,0.0,-94.66,10.0,15.0,0.0,0.003,-94.66,,,,,,,,0.334,,,,,,,,1025.0,340.0,,,,,,,,,,,15.0,-93.89,1220.0,5.0,18.61,20.0,-93.89
77,17455,108041,2022-08-14 17:30:10.800000,40.868488,-82.236732,0.687,0.027,,873.85,340.0,,,-94.41,10.0,,,,-94.41,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,,-95.83,1697.0,5.0,10.33,0.0,-95.83
78,17456,108046,2022-08-14 17:30:11.300000,40.868546,-82.236526,0.619,0.017,,,,0.0,0.0,,,9.0,0.0,0.002,,,,,,,,,0.195,,,,,,,,1025.0,340.0,,,,,,,,,,,15.83,-98.83,1064.0,5.0,7.0,11.11,-98.83
79,17457,108051,2022-08-14 17:30:11.800000,40.868599,-82.236328,0.664,0.026,,,,0.0,0.0,,,9.5,0.0,0.002,,,,,,,,,0.26,,,,,,,,1025.0,340.0,,,,,,,,,,,15.25,-101.17,1625.0,5.0,10.36,3.03,-101.17
80,17458,108056,2022-08-14 17:30:12.300000,40.86866,-82.23613,0.73,0.022,,,,0.0,0.0,,,12.0,0.0,0.001,,,,,,,,,0.428,,,,,,,,1025.0,340.0,,,,,,,,,,,10.67,-101.83,1387.0,5.0,6.5,8.82,-101.83
81,17459,108061,2022-08-14 17:30:12.800000,40.868721,-82.235931,0.688,0.019,,873.85,340.0,,,-95.18,10.0,10.5,33.33,0.0,-95.18,,,,,,,,0.43,,,,,,,,1025.0,340.0,,,,,,,,,,,8.33,-102.06,1168.0,5.0,5.17,2.44,-102.06
82,17460,108066,2022-08-14 17:30:13.300000,40.868774,-82.235733,0.274,0.021,,873.85,340.0,0.0,0.0,-96.9,10.0,20.0,75.0,0.001,-96.9,,,,,,,,0.215,,,,,,,,1025.0,340.0,,,,,,,,,,,9.0,-105.19,1297.0,5.0,7.43,11.9,-105.19
83,17461,108071,2022-08-14 17:30:13.800000,40.868832,-82.235542,0.32,0.018,,873.85,340.0,0.0,0.0,-101.29,10.0,12.0,50.0,0.002,-101.29,,,,,,,,0.117,,,,,,,,1025.0,340.0,,,,,,,,,,,4.2,-108.96,1145.0,5.0,2.25,0.0,-108.96
