PING 54.176.53.206 (54.176.53.206) 38(66) bytes of data.
46 bytes from 54.176.53.206: icmp_seq=1 ttl=44 time=372 ms
46 bytes from 54.176.53.206: icmp_seq=2 ttl=44 time=180 ms
46 bytes from 54.176.53.206: icmp_seq=3 ttl=44 time=41.6 ms
46 bytes from 54.176.53.206: icmp_seq=4 ttl=44 time=51.5 ms
46 bytes from 54.176.53.206: icmp_seq=5 ttl=44 time=57.3 ms
46 bytes from 54.176.53.206: icmp_seq=6 ttl=44 time=73.1 ms
46 bytes from 54.176.53.206: icmp_seq=7 ttl=44 time=56.0 ms
46 bytes from 54.176.53.206: icmp_seq=8 ttl=44 time=47.2 ms
46 bytes from 54.176.53.206: icmp_seq=9 ttl=44 time=55.2 ms
46 bytes from 54.176.53.206: icmp_seq=10 ttl=44 time=53.3 ms
46 bytes from 54.176.53.206: icmp_seq=11 ttl=44 time=55.3 ms
46 bytes from 54.176.53.206: icmp_seq=12 ttl=44 time=46.5 ms
46 bytes from 54.176.53.206: icmp_seq=13 ttl=44 time=43.2 ms
46 bytes from 54.176.53.206: icmp_seq=14 ttl=44 time=52.1 ms
46 bytes from 54.176.53.206: icmp_seq=15 ttl=44 time=48.2 ms
46 bytes from 54.176.53.206: icmp_seq=16 ttl=44 time=51.3 ms
46 bytes from 54.176.53.206: icmp_seq=17 ttl=44 time=58.0 ms
46 bytes from 54.176.53.206: icmp_seq=18 ttl=44 time=52.4 ms
46 bytes from 54.176.53.206: icmp_seq=19 ttl=44 time=53.5 ms
46 bytes from 54.176.53.206: icmp_seq=20 ttl=44 time=53.6 ms
46 bytes from 54.176.53.206: icmp_seq=21 ttl=44 time=54.0 ms
46 bytes from 54.176.53.206: icmp_seq=22 ttl=44 time=50.2 ms
46 bytes from 54.176.53.206: icmp_seq=23 ttl=44 time=46.0 ms
46 bytes from 54.176.53.206: icmp_seq=24 ttl=44 time=48.1 ms
46 bytes from 54.176.53.206: icmp_seq=25 ttl=44 time=49.2 ms
46 bytes from 54.176.53.206: icmp_seq=26 ttl=44 time=54.3 ms
46 bytes from 54.176.53.206: icmp_seq=27 ttl=44 time=51.4 ms
46 bytes from 54.176.53.206: icmp_seq=28 ttl=44 time=50.7 ms
46 bytes from 54.176.53.206: icmp_seq=29 ttl=44 time=49.4 ms
46 bytes from 54.176.53.206: icmp_seq=30 ttl=44 time=52.2 ms
46 bytes from 54.176.53.206: icmp_seq=31 ttl=44 time=51.4 ms
46 bytes from 54.176.53.206: icmp_seq=32 ttl=44 time=49.4 ms
46 bytes from 54.176.53.206: icmp_seq=33 ttl=44 time=50.0 ms
46 bytes from 54.176.53.206: icmp_seq=34 ttl=44 time=51.2 ms
46 bytes from 54.176.53.206: icmp_seq=35 ttl=44 time=52.4 ms
46 bytes from 54.176.53.206: icmp_seq=36 ttl=44 time=48.4 ms
46 bytes from 54.176.53.206: icmp_seq=37 ttl=44 time=55.6 ms
46 bytes from 54.176.53.206: icmp_seq=38 ttl=44 time=52.2 ms
46 bytes from 54.176.53.206: icmp_seq=39 ttl=44 time=47.9 ms
46 bytes from 54.176.53.206: icmp_seq=40 ttl=44 time=43.1 ms
46 bytes from 54.176.53.206: icmp_seq=41 ttl=44 time=42.3 ms
46 bytes from 54.176.53.206: icmp_seq=42 ttl=44 time=43.3 ms
46 bytes from 54.176.53.206: icmp_seq=43 ttl=44 time=61.8 ms
46 bytes from 54.176.53.206: icmp_seq=44 ttl=44 time=51.5 ms
46 bytes from 54.176.53.206: icmp_seq=45 ttl=44 time=58.3 ms
46 bytes from 54.176.53.206: icmp_seq=46 ttl=44 time=56.6 ms
46 bytes from 54.176.53.206: icmp_seq=47 ttl=44 time=52.1 ms
46 bytes from 54.176.53.206: icmp_seq=48 ttl=44 time=49.4 ms
46 bytes from 54.176.53.206: icmp_seq=49 ttl=44 time=61.2 ms
46 bytes from 54.176.53.206: icmp_seq=50 ttl=44 time=43.5 ms
46 bytes from 54.176.53.206: icmp_seq=51 ttl=44 time=44.3 ms
46 bytes from 54.176.53.206: icmp_seq=52 ttl=44 time=44.1 ms
46 bytes from 54.176.53.206: icmp_seq=53 ttl=44 time=43.2 ms
46 bytes from 54.176.53.206: icmp_seq=54 ttl=44 time=55.2 ms
46 bytes from 54.176.53.206: icmp_seq=55 ttl=44 time=58.3 ms
46 bytes from 54.176.53.206: icmp_seq=56 ttl=44 time=51.4 ms
46 bytes from 54.176.53.206: icmp_seq=57 ttl=44 time=56.5 ms
46 bytes from 54.176.53.206: icmp_seq=58 ttl=44 time=50.4 ms
46 bytes from 54.176.53.206: icmp_seq=59 ttl=44 time=52.4 ms
