,5G KPI PCell Layer1 UL BLER [%],5G KPI PCell Layer1 UL MCS (Avg),5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],Event 5G-NR/LTE Events,LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell UL MCS,LTE KPI PUSCH BLER[%],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],Lat,Lon,Smart Phone Smart Throughput Mobile Network Tx Byte,Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],TIME_STAMP
0,,,,,,,,,,,,,,,0.001,,,,,,,,,,40.717682,-82.483063,,,1660497409.0
1,,,0.0,873.85,80.0,-84.99,,,,,,,,,,66786.0,80.0,-80.43,,0.0,,,,,40.717682,-82.483063,0.0,0.0,1660497409.3
2,,,,,,,,,,,,,,,,,,,,,,,,,40.717682,-82.483063,,,1660497409.319098
3,,,,,,,,,,,,,,,,66786.0,80.0,-79.21,,,,,,,40.717682,-82.483063,,,1660497409.4
4,,,,873.85,80.0,-84.22,,,,,,,,,,66786.0,80.0,-79.83,,,,,,,40.717709,-82.48304,,,1660497409.5
5,,,0.0,873.85,80.0,-82.73,,,,,,,,,,66786.0,80.0,-80.44,,,,,,,40.717731,-82.483017,,,1660497409.6
6,,,,,,,,,,,,,,,,66786.0,80.0,-81.15,,,,,,,40.717758,-82.483002,,,1660497409.7
7,,,,873.85,80.0,-83.34,,,,,,,,,,66786.0,80.0,-81.21,,,,,,,40.717781,-82.482979,0.0,0.0,1660497409.8
8,,,,873.85,80.0,-82.41,,,,,,,,,,66786.0,80.0,-81.08,,0.0,,,,,40.717804,-82.482956,,,1660497409.9
9,,,0.0,,,,,,,,,,,,0.0,66786.0,80.0,-80.86,,,,,,,40.717831,-82.482933,,,1660497410.0
10,,,,873.85,80.0,-80.04,,,,,,,,,,66786.0,80.0,-81.44,,,,,,,40.717854,-82.48291,,,1660497410.1
11,,,,,,,,,,,,,,,,66786.0,80.0,-82.11,,,,,,,40.71788,-82.482895,,,1660497410.2
12,,,0.0,873.85,80.0,-82.48,,,,,,,,,,66786.0,80.0,-82.73,,,,,,,40.717903,-82.482872,0.0,0.0,1660497410.3
13,,,,873.85,80.0,-83.11,,,,,,,,,,66786.0,80.0,-83.69,,0.0,,,,,40.71793,-82.482849,,,1660497410.4
