,5G KPI PCell Layer1 UL BLER [%],5G KPI PCell Layer1 UL MCS (Avg),5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],Event 5G-NR/LTE Events,LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell UL MCS,LTE KPI PUSCH BLER[%],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],Lat,Lon,Smart Phone Smart Throughput Mobile Network Tx Byte,Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],TIME_STAMP
0,,,,,,,,,,,,,,,,,,,,,,,,,42.413029,-73.539642,,,1660594433.0
1,,,,,,,,,,,,,,,,66636.0,331.0,-83.06,,,,,,,42.413029,-73.539642,,,1660594433.5
2,,,,,,,,,,,,,,,,,,,,,,,,,42.413029,-73.539642,,,1660594433.506745
3,,,,,,,,,,,,,,,,66636.0,331.0,-82.24,,,,,,,42.413029,-73.539642,,,1660594433.6
4,,,,,,,,,,,,,,,,66636.0,331.0,-81.01,,,,,,,42.41301,-73.539612,,,1660594433.7
5,,,,,,,,,,,,,,,,66636.0,331.0,-79.96,,,,,,,42.412991,-73.539581,0.0,0.0,1660594433.8
6,,,,,,,,,,,,,,,,66636.0,331.0,-80.11,,,,,,,42.412971,-73.539551,,,1660594433.9
7,,,,,,,,,,,,,,,0.002,66636.0,331.0,-80.52,,,,,,,42.412952,-73.53952,,,1660594434.0
8,,,,,,,,,,,,,,,,66636.0,331.0,-80.66,,,,,,,42.412933,-73.53949,,,1660594434.1
9,,,,,,,,,,,,,,,,66636.0,331.0,-80.72,,,,,,,42.412918,-73.539452,,,1660594434.2
10,,,,,,,,,,,,,,,,66636.0,331.0,-80.68,,,,,,,42.412899,-73.539421,0.0,0.0,1660594434.3
11,,,,,,,,,,,,,,,,66636.0,331.0,-80.83,,,,,,,42.41288,-73.539391,,,1660594434.4
12,,,,,,,,,,,,,,,,66636.0,331.0,-80.79,,,,,,,42.412861,-73.53936,,,1660594434.5
13,,,,,,,,,,,,,,,,66636.0,331.0,-80.37,20.0,,,,,,42.412842,-73.53933,,,1660594434.6
14,,,,,,,,,,,,,,,,66636.0,331.0,-80.06,,0.0,,,,,42.412842,-73.53933,,,1660594434.7
15,,,,,,,,,,,,,,,,66636.0,331.0,-79.94,,,,,,,42.412842,-73.53933,0.0,0.0,1660594434.8
16,,,,,,,,,,,,,,,,66636.0,331.0,-79.75,,,,,,,42.412842,-73.53933,,,1660594434.9
17,,,,,,,,,,,,,,,0.012,66636.0,331.0,-80.31,,,,,,,42.412842,-73.53933,,,1660594435.0
18,,,,,,,,,,,,,,,,66636.0,331.0,-80.36,,,,,,,42.412842,-73.53933,,,1660594435.1
19,,,,,,,,,,,,,,,,66636.0,331.0,-80.59,,,,,,,42.412842,-73.53933,,,1660594435.2
20,,,,,,,,,,,,,,,,66636.0,331.0,-80.81,,,,,,,42.412842,-73.53933,0.0,0.0,1660594435.3
21,,,,,,,,,,,,,,,,66636.0,331.0,-80.88,,,,,,,42.412842,-73.53933,,,1660594435.4
22,,,,,,,,,,,,,,,,66636.0,331.0,-80.27,,,,,,,42.412842,-73.53933,,,1660594435.5
23,,,,,,,,,,,,,,,,66636.0,331.0,-80.44,,,,,,,42.412842,-73.53933,,,1660594435.6
24,,,,,,,,,,,,,,,,66636.0,331.0,-80.17,,,,,,,42.412804,-73.539268,,,1660594435.7
25,,,,,,,,,,,,,,,,66636.0,331.0,-80.78,,,,,,,42.412769,-73.539207,1011.0,0.016,1660594435.8
26,,,,,,,,,,,,,,,,66636.0,331.0,-80.92,18.0,0.0,,,,,42.412731,-73.539146,,,1660594435.9
27,,,,,,,,,,,,,,,0.014,66636.0,331.0,-80.87,,0.0,,,,,42.412693,-73.539085,,,1660594436.0
28,,,,,,,,,,,,,,,,66636.0,331.0,-80.79,,,,,,,42.412659,-73.539024,,,1660594436.1
29,,,,,,,,,,,,,,,,66636.0,331.0,-80.83,,,,,,,42.412621,-73.538963,,,1660594436.2
30,,,,,,,,,,,,,,,,66636.0,331.0,-81.05,,,,,,,42.412582,-73.538902,104.0,0.002,1660594436.3
31,,,,,,,,,,,,,,,,66636.0,331.0,-80.6,,,,,,,42.412544,-73.538841,,,1660594436.4
32,,,,,,,,,,,,,,,,66636.0,331.0,-81.19,,,,,,,42.41251,-73.53878,,,1660594436.5
33,,,,,,,,,,,,,,,,66636.0,331.0,-81.38,,,,,,,42.412472,-73.538719,,,1660594436.6
34,,,,,,,,,,,,,,,,66636.0,331.0,-80.4,,,,,,,42.412453,-73.538689,,,1660594436.7
35,,,,,,,,,,,,,,,,66636.0,331.0,-81.19,,,,,,,42.412434,-73.538658,986.0,0.016,1660594436.8
36,,,,,,,,,,,,,,,,66636.0,331.0,-81.23,15.11,0.0,,,,,42.412418,-73.538628,,,1660594436.9
37,,,,,,,,,,,,,,,0.011,66636.0,331.0,-81.52,,,,,,,42.412399,-73.538597,,,1660594437.0
38,,,,,,,,,,,,,,,,66636.0,331.0,-81.83,,,,,,,42.41238,-73.538559,,,1660594437.1
39,,,,,,,,,,,,,,,,66636.0,331.0,-81.98,14.75,,,,,,42.412361,-73.538528,,,1660594437.2
40,,,,,,,,,,,,,,,,66636.0,331.0,-81.35,,14.29,,,,,42.412342,-73.538498,104.0,0.002,1660594437.3
41,,,,,,,,,,,,,,,,66636.0,331.0,-81.73,,,,,,,42.412327,-73.538467,,,1660594437.4
42,,,,,,,,,,,,,,,,66636.0,331.0,-82.42,,,,,,,42.412308,-73.538437,,,1660594437.5
43,,,,,,,,,,,,,,,,66636.0,331.0,-83.04,,,,,,,42.412289,-73.538406,,,1660594437.6
44,,,,,,,,,,,,,,,,66636.0,331.0,-82.89,,,,,,,42.41227,-73.538376,,,1660594437.7
45,,,,,,,,,,,,,,,,66636.0,331.0,-82.26,,,,,,,42.412251,-73.538345,0.0,0.0,1660594437.8
46,,,,,,,,,,,,,,,,66636.0,331.0,-82.45,,,,,,,42.412231,-73.538315,,,1660594437.9
47,,,,,,,,,,,,,,,0.001,66636.0,331.0,-82.57,,,,,,,42.412212,-73.538284,,,1660594438.0
48,,,,,,,,,,,,,,,,66636.0,331.0,-82.16,,,,,,,42.412193,-73.538254,,,1660594438.1
49,,,,,,,,,,,,,,,,66636.0,331.0,-81.98,,,,,,,42.412178,-73.538231,,,1660594438.2
50,,,,,,,,,,,,,,,,66636.0,331.0,-82.64,,,,,,,42.412159,-73.5382,0.0,0.0,1660594438.3
