TIME_STAMP,Lon,Lat,GPS Lon,GPS Lat,GPS Time,GPS Head,GPS Speed (km/h),GPS Speed(Complement),GPS Distance (m),GPS Source,GPS Data Ind,GPS Area,GPS Satellite Status NMEA GPS List[0] PRN,GPS Satellite Status NMEA GPS List[0] Elevation,GPS Satellite Status NMEA GPS List[0] Azimuth,GPS Satellite Status NMEA GPS List[0] SNR [dB],GPS Satellite Status NMEA GPS List[1] PRN,GPS Satellite Status NMEA GPS List[1] Elevation,GPS Satellite Status NMEA GPS List[1] Azimuth,GPS Satellite Status NMEA GPS List[1] SNR [dB],GPS Satellite Status NMEA GPS List[2] PRN,GPS Satellite Status NMEA GPS List[2] Elevation,GPS Satellite Status NMEA GPS List[2] Azimuth,GPS Satellite Status NMEA GPS List[2] SNR [dB],GPS Satellite Status NMEA GPS List[3] PRN,GPS Satellite Status NMEA GPS List[3] Elevation,GPS Satellite Status NMEA GPS List[3] Azimuth,GPS Satellite Status NMEA GPS List[3] SNR [dB],Event Technology,Event LTE Events,Event 5G-NR/LTE Events,Event Port Number,LTE KPI Chip Type,LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving EARFCN(UL),LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving BandWidth(UL),LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell Serving RSRQ[dB],LTE KPI PCell Serving RSSI[dBm],LTE KPI PCell PUSCH Power[dBm],LTE KPI PCell PUCCH Power[dBm],LTE KPI PCell Total Tx Power[dBm],LTE KPI PCell SINR[dB],LTE KPI PCell WB CQI CW0,LTE KPI PCell WB RI,LTE KPI PCell WB RI1 Rate,LTE KPI PCell WB RI2 Rate,LTE KPI PCell WB RI3 Rate,LTE KPI PCell WB RI4 Rate,LTE KPI PCell Tx Mode,LTE KPI PCell M(Tx) x N(Rx) Ant,LTE KPI PCell DL MCS0,LTE KPI PCell DL MCS1,LTE KPI PCell UL MCS,LTE KPI PCell DL Modulation0,LTE KPI PCell DL Modulation1,LTE KPI PCell UL Modulation,LTE KPI Pcell PDSCH PRB Number(Avg),LTE KPI PCell PUSCH PRB Number(Avg),LTE KPI PCell PDSCH PRB Number(Including 0),LTE KPI PCell PDSCH PRB Number TB0(Including 0),LTE KPI PCell PDSCH PRB Number TB1(Including 0),LTE KPI PCell PUSCH PRB Number(Including 0),LTE KPI PCell PDSCH BLER[%],LTE KPI PCell PUSCH BLER[%],LTE KPI PCell PDSCH Throughput[Mbps],LTE KPI PCell PUSCH Throughput[Mbps],LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PDSCH PRB Number(Avg)(Total),LTE KPI PUSCH PRB Number(Avg)(Total),LTE KPI PDSCH PRB Number(Including 0)(Total),LTE KPI PUSCH PRB Number(Including 0)(Total),LTE KPI PDSCH BLER[%],LTE KPI PUSCH BLER[%],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],LTE KPI MAC DL Throughput[Mbps],LTE KPI MAC UL Throughput[Mbps],LTE KPI RLC DL Throughput[Mbps],LTE KPI RLC UL Throughput[Mbps],LTE KPI PDCP DL Throughput[Mbps],LTE KPI PDCP UL Throughput[Mbps],LTE KPI TAC,LTE KPI CA Type,LTE KPI UL CA Type,LTE KPI Band Combination,LTE KPI SCell[1] CA Rate(Same PCI),LTE KPI SCell[1] Serving PCI,LTE KPI SCell[1] Serving Band,LTE KPI SCell[1] Serving EARFCN(DL),LTE KPI SCell[1] Serving EARFCN(UL),LTE KPI SCell[1] Serving BandWidth(DL),LTE KPI SCell[1] Serving RSRP[dBm],LTE KPI SCell[1] Serving RSRQ[dB],LTE KPI SCell[1] Serving RSSI[dBm],LTE KPI SCell[1] SINR[dB],LTE KPI SCell[1] WB CQI CW0,LTE KPI SCell[1] WB RI,LTE KPI SCell[1] WB RI1 Rate,LTE KPI SCell[1] WB RI2 Rate,LTE KPI SCell[1] WB RI3 Rate,LTE KPI SCell[1] WB RI4 Rate,LTE KPI SCell[1] Tx Mode,LTE KPI SCell[1] M(Tx) x N(Rx) Ant ,LTE KPI SCell[1] DL MCS0,LTE KPI SCell[1] DL Modulation0,LTE KPI SCell[1] PDSCH PRB Number(Avg),LTE KPI SCell[1] PDSCH PRB Number(Including 0),LTE KPI SCell[1] PDSCH PRB Number TB0(Including 0),LTE KPI SCell[1] PDSCH PRB Number TB1(Including 0),LTE KPI SCell[1] PDSCH BLER[%],LTE KPI SCell[1] PDSCH Throughput[Mbps],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] Serving PCI,LTE KPI SCell[2] Serving Band,LTE KPI SCell[2] Serving EARFCN(DL),LTE KPI SCell[2] Serving EARFCN(UL),LTE KPI SCell[2] Serving BandWidth(DL),LTE KPI SCell[2] Serving RSRP[dBm],LTE KPI SCell[2] Serving RSRQ[dB],LTE KPI SCell[2] Serving RSSI[dBm],LTE KPI SCell[2] SINR[dB],LTE KPI SCell[2] WB CQI CW0,LTE KPI SCell[2] WB RI,LTE KPI SCell[2] WB RI1 Rate,LTE KPI SCell[2] WB RI2 Rate,LTE KPI SCell[2] WB RI3 Rate,LTE KPI SCell[2] WB RI4 Rate,LTE KPI SCell[2] Tx Mode,LTE KPI SCell[2] M(Tx) x N(Rx) Ant ,LTE KPI SCell[2] DL MCS0,LTE KPI SCell[2] DL MCS1,LTE KPI SCell[2] DL Modulation0,LTE KPI SCell[2] DL Modulation1,LTE KPI Scell[2] PDSCH PRB Number(Avg),LTE KPI SCell[2] PDSCH PRB Number(Including 0),LTE KPI SCell[2] PDSCH PRB Number TB0(Including 0),LTE KPI SCell[2] PDSCH PRB Number TB1(Including 0),LTE KPI SCell[2] PDSCH BLER[%],LTE KPI SCell[2] PDSCH Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network Rx Byte,Smart Phone Smart Throughput Mobile Network Tx Byte,5G KPI Total Info Layer2 PDCP DL Throughput(+Split Bearer) [Mbps]
2022-08-11 19:26:51.000000,-101.001053,41.137032,,,,,,,,,,,,,,,,,,,,,,,,,,,LTE(3CA),,,,LTE Qualcomm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.41,0.00,0.05,,,0.012,0.005,0.012,0.005,,,0.41,0.05,,,0.012,0.005,0.012,0.005,,,,,,,,,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000
2022-08-11 19:26:51.100000,-101.001053,41.137032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,Band 2,1150,19150,10,10,-105.50,-24.56,-63.63,,,1.00,-8.80,0.75,,,,,,TM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3CA,,Band 2+Band 4+Band 4,,219,Band 4,2050,20050,20,-112.94,-23.06,-62.00,-8.20,0.33,,,,,,TM3,,,,,,,,,,,219,Band 4,2175,20175,5,-110.94,-8.63,-88.31,11.90,10.00,,,,,,TM3,,,,,,,,,,,,,,,,,
2022-08-11 19:26:51.161355,-101.001053,41.137032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:51.200000,-101.001053,41.137032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,Band 2,1150,19150,10,10,-103.69,-20.16,-64.75,,,2.00,-4.40,0.75,1,100.00,0.00,0.00,0.00,TM3,,,,,,,,,,,,,,,0.00,,,,,,,,,,0.00,,,,,,,,,,3CA,,Band 2+Band 4+Band 4,,219,Band 4,2050,20050,20,-110.88,-22.94,-61.72,-6.05,0.60,,,,,,TM3,,,,,,,,,,,219,Band 4,2175,20175,5,-111.06,-9.41,-87.69,12.40,10.25,,,,,,TM3,,,,,,,,,,,,,,,,,
2022-08-11 19:26:51.300000,-101.001053,41.137032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,Band 2,1150,19150,10,10,-102.58,-18.04,-64.60,,,5.90,-4.30,0.71,1,100.00,0.00,0.00,0.00,TM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3CA,,Band 2+Band 4+Band 4,,219,Band 4,2050,20050,20,-109.69,-21.83,-62.81,-5.40,1.60,1,100.00,0.00,0.00,0.00,TM3,,,,,,,,,,,219,Band 4,2175,20175,5,-110.71,-8.54,-87.75,12.37,9.25,2,0.00,100.00,0.00,0.00,TM3,,,,,,,,,,,,,,,,,
2022-08-11 19:26:51.400000,-101.001053,41.137032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,Band 2,1150,19150,10,10,-102.16,-17.66,-65.50,,,5.21,-5.40,0.50,,,,,,TM3,,,,,,,,,,,,,,,0.00,,,,,,,,,,0.00,,,,,0.000,,,0.000,50,3CA,,Band 2+Band 4+Band 4,,219,Band 4,2050,20050,20,-109.47,-19.38,-65.00,-5.95,3.15,,,,,,TM3,,,,,,,,,,,219,Band 4,2175,20175,5,-110.41,-8.22,-88.22,11.45,10.00,,,,,,TM3,,,,,,,,,,,,,0.000,0.000,0,0,
2022-08-11 19:26:51.471640,-101.001053,41.137032,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handover Attempt,Handover Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:51.500000,-101.001053,41.137032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-88.97,-6.69,-65.28,,,8.31,11.52,,,,,,,,,,,13.50,,,QPSK,,2.15,,,,,,,,,,,,2.15,,,,,,,,,0.000,,0.000,,50,NonCA,NonCA,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000
2022-08-11 19:26:51.507150,-101.001053,41.137032,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handover Success,Handover Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:51.508330,-101.001053,41.137032,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRACH: Msg1(RA),PRACH: Msg1(RA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:51.510092,-101.001053,41.137032,,,,,,,,,,,,,,,,,,,,,,,,,,,,Received RAR[True],Received RAR[True],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:51.510125,-101.001053,41.137032,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRACH: Msg2(RAR),PRACH: Msg2(RAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:51.510280,-101.001053,41.137032,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRACH: Msg3(UE ID),PRACH: Msg3(UE ID),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:51.600000,-101.001053,41.137032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-88.50,-7.25,-64.19,,,10.86,9.65,11.60,,,,,,TM2,,0.88,,,QPSK,,,11.25,,,,,,0.00,,,,,,11.25,,,,0.00,,,,,,,,,,50,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:51.700000,-101.001053,41.137032,-101.001050,41.137030,19:26:52,93,150,150.00,,1,2,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-88.71,-8.04,-63.33,,,6.67,12.70,11.00,,,,,,TM2,,,,,,,,,,,,,,,0.00,,,,,,,,,,0.00,,,,,0.004,,0.007,,50,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:51.800000,-101.000999,41.137028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-89.41,-9.13,-63.22,,,7.00,13.15,12.50,,,,,,TM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:51.900000,-101.000954,41.137028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-89.96,-7.46,-65.52,,,7.33,19.03,13.50,,,,,,TM2,,1.00,,,QPSK,,,4.00,,,,,,0.00,,,,,,4.00,,,,0.00,,,,,,,,,,50,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0,0,
2022-08-11 19:26:52.000000,-101.000900,41.137024,,,,,,,,,,,1,38.000,290.000,21.000,3,18.000,310.000,23.000,10,30.000,128.000,33.000,23,1.000,130.000,21.000,LTE,,,,LTE Qualcomm,215,Band 2,1150,19150,10,10,-90.88,-5.96,-66.81,,,8.00,10.10,9.00,,,,,,TM2,,,,,,,,,,0.01,0.01,0.00,0.10,,,0.000,0.002,0.000,0.002,,,0.01,0.10,,,0.000,0.002,0.000,0.002,0.000,,0.000,,50,NonCA,,Band 2,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000
2022-08-11 19:26:52.100000,-101.000854,41.137024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-92.28,-5.94,-69.34,,,8.50,8.95,8.00,,,,,,TM2,,,,21.50,,,16QAM,,2.00,,,,,,,,,,,,2.00,,,,,,,,,,,,0.000,50,NonCA,NonCA,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:52.200000,-101.000801,41.137020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-94.11,-6.77,-70.34,,4.98,9.50,14.77,10.00,,,,,,TM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,0.000,,50,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:52.291876,-101.000755,41.137016,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventA3,eventA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:52.291892,-101.000755,41.137016,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventA1,eventA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:52.300000,-101.000748,41.137016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-98.34,-4.13,-76.91,20.92,,11.75,7.45,10.00,,,,,,TM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:52.400000,-101.000702,41.137016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-101.53,-9.06,-75.28,,9.60,10.50,11.55,10.00,,,,,,TM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0,0,
2022-08-11 19:26:52.500000,-101.000648,41.137012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-100.89,-9.94,-72.98,,,12.00,11.25,11.33,,,,,,TM2,,1.00,,,QPSK,,,3.00,,,,,,0.00,,,,,,3.00,,,,0.00,,,,,,0.000,,0.000,,50,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000
2022-08-11 19:26:52.600000,-101.000603,41.137012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-98.50,-12.34,-69.16,,,13.00,17.00,11.00,,,,,,TM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:52.700000,-101.000549,41.137009,-101.000550,41.137010,19:26:53,92,150,150.00,41.98,1,2,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-93.23,-9.10,-67.06,,,16.00,15.80,12.67,,,,,,TM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,0.000,,50,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:52.800000,-101.000504,41.137005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-95.19,-9.44,-68.75,,,12.50,8.90,12.50,,,,,,TM2,,,,,,,,,,,,,,,0.00,,,,,,,,,,0.00,,,,,,,,,50,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:52.900000,-101.000450,41.137005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-95.00,-8.97,-68.30,,,12.00,16.35,13.00,,,,,,TM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0,0,
2022-08-11 19:26:53.000000,-101.000404,41.137001,,,,,,,,,,,1,38.000,290.000,19.000,3,18.000,310.000,25.000,10,30.000,128.000,37.000,23,1.000,130.000,26.000,LTE,,,,LTE Qualcomm,215,Band 2,1150,19150,10,10,-92.22,-8.00,-66.81,,,12.00,15.00,12.50,,,,,,TM2,,,,,,,,,,0.00,0.00,0.00,0.01,,,0.000,0.000,0.000,0.000,,,0.00,0.01,,,0.000,0.000,0.000,0.000,0.000,,0.000,,50,NonCA,,Band 2,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000
2022-08-11 19:26:53.100000,-101.000351,41.137001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-92.50,-7.31,-68.19,,,11.00,19.10,15.00,,,,,,TM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,50,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:53.200000,-101.000305,41.137001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-95.00,-7.88,-70.10,,,11.00,17.80,12.00,,,,,,TM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:53.300000,-101.000259,41.136997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-101.02,-7.75,-76.10,,,12.00,12.03,12.33,,,,,,TM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,0.000,,50,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:53.400000,-101.000206,41.136997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-102.63,-10.25,-75.34,,,17.92,7.00,8.60,1,100.00,0.00,0.00,0.00,TM2,,1.00,,22.00,QPSK,,QPSK,3.00,3.20,,,,,0.00,,,,,,3.00,3.20,,,0.00,,,,,,,,,,50,NonCA,NonCA,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0,0,
2022-08-11 19:26:53.500000,-101.000160,41.136993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-106.16,-11.91,-76.47,,,13.00,7.65,8.33,,,,,,TM2,,,,,,,,,,,,,,,0.00,,,,,,,,,,0.00,,,,,,,,,50,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000
2022-08-11 19:26:53.600000,-101.000107,41.136993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-98.81,-10.94,-69.31,23.50,,14.00,6.70,12.00,,,,,,TM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,50,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:53.700000,-101.000061,41.136990,-101.000060,41.136990,19:26:54,92,150,150.00,41.14,1,2,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-92.67,-8.60,-67.08,,12.35,12.25,15.40,13.33,,,,,,TM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:53.800000,-101.000008,41.136986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-93.54,-7.23,-69.00,,,8.50,15.10,11.00,,,,,,TM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,0.000,,50,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:53.900000,-100.999962,41.136986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-88.67,-8.06,-63.50,,,7.00,16.50,14.25,,,,,,TM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0,0,
2022-08-11 19:26:54.000000,-100.999908,41.136982,,,,,,,,,,,1,38.000,290.000,22.000,3,18.000,310.000,24.000,10,30.000,128.000,35.000,23,1.000,130.000,26.000,LTE,,,,LTE Qualcomm,215,Band 2,1150,19150,10,10,-84.88,-8.02,-59.85,,,6.17,10.77,10.33,,,,,,TM2,2x2,,,,,,,,,0.24,0.24,0.23,0.15,,,0.091,0.048,0.081,0.040,,,0.24,0.15,,,0.091,0.048,0.081,0.040,,,,,50,NonCA,,Band 2,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004
2022-08-11 19:26:54.100000,-100.999863,41.136982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-83.28,-5.91,-60.23,,,6.57,14.25,11.43,2,0.00,100.00,0.00,0.00,TM3,,,,,,,,,,,,,,,30.00,,,,,,,,,,30.00,,,,,0.001,,0.002,0.002,50,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:54.200000,-100.999809,41.136978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-85.70,-5.70,-62.45,,,3.17,11.22,7.33,2,0.00,100.00,0.00,0.00,TM3,,,,21.89,,,16QAM,,2.50,,,,,,0.00,,,,,,2.50,,,,0.00,,,,,,,,,50,NonCA,NonCA,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:54.300000,-100.999756,41.136978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-88.38,-6.65,-64.17,,1.92,4.64,17.67,9.85,2,0.00,100.00,0.00,0.00,TM3,,13.23,14.50,,64QAM,16QAM,,2.44,,,,,,32.00,0.00,,,,,2.44,,,,32.00,0.00,,,,,,,,,50,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 19:26:54.400000,-100.999710,41.136978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-91.23,-8.73,-65.50,,,5.32,13.17,10.83,2,0.00,100.00,0.00,0.00,TM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,,0.000,,50,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,0.028,4087,1766,
2022-08-11 19:26:54.500000,-100.999657,41.136974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,Band 2,1150,19150,10,10,-91.47,-10.41,-64.06,,,8.46,11.65,11.90,2,0.00,100.00,0.00,0.00,TM3,,,,22.17,,,16QAM,,4.67,,,,,,0.00,,,,,,4.67,,,,0.00,,,,,,,,,50,NonCA,NonCA,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185
