,TIME_STAMP,Lon,Lat,GPS Satellite Status NMEA GPS List[0] PRN,GPS Satellite Status NMEA GPS List[0] Elevation,GPS Satellite Status NMEA GPS List[0] Azimuth,GPS Satellite Status NMEA GPS List[0] SNR [dB],GPS Satellite Status NMEA GPS List[1] PRN,GPS Satellite Status NMEA GPS List[1] Elevation,GPS Satellite Status NMEA GPS List[1] Azimuth,GPS Satellite Status NMEA GPS List[1] SNR [dB],GPS Satellite Status NMEA GPS List[2] PRN,GPS Satellite Status NMEA GPS List[2] Elevation,GPS Satellite Status NMEA GPS List[2] Azimuth,GPS Satellite Status NMEA GPS List[2] SNR [dB],GPS Satellite Status NMEA GPS List[3] PRN,GPS Satellite Status NMEA GPS List[3] Elevation,GPS Satellite Status NMEA GPS List[3] Azimuth,GPS Satellite Status NMEA GPS List[3] SNR [dB],Event Technology,Event LTE Events,Event 5G-NR/LTE Events,Event Port Number,LTE KPI Chip Type,LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving EARFCN(UL),LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving BandWidth(UL),LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell Serving RSRQ[dB],LTE KPI PCell Serving RSSI[dBm],LTE KPI PCell PUSCH Power[dBm],LTE KPI PCell PUCCH Power[dBm],LTE KPI PCell Total Tx Power[dBm],LTE KPI PCell SINR[dB],LTE KPI PCell WB CQI CW0,LTE KPI PCell WB CQI CW1,LTE KPI PCell WB RI,LTE KPI PCell WB RI1 Rate,LTE KPI PCell WB RI2 Rate,LTE KPI PCell WB RI3 Rate,LTE KPI PCell WB RI4 Rate,LTE KPI PCell Tx Mode,LTE KPI PCell WB PMI 0,LTE KPI PCell M(Tx) x N(Rx) Ant,LTE KPI PCell DL MCS0,LTE KPI PCell DL MCS1,LTE KPI PCell UL MCS,LTE KPI PCell DL Modulation0,LTE KPI PCell DL Modulation1,LTE KPI PCell UL Modulation,LTE KPI Pcell PDSCH PRB Number(Avg),LTE KPI PCell PUSCH PRB Number(Avg),LTE KPI PCell PDSCH PRB Number(Including 0),LTE KPI PCell PDSCH PRB Number TB0(Including 0),LTE KPI PCell PDSCH PRB Number TB1(Including 0),LTE KPI PCell PUSCH PRB Number(Including 0),LTE KPI PCell PDSCH BLER[%],LTE KPI PCell PUSCH BLER[%],LTE KPI PCell PDSCH Throughput[Mbps],LTE KPI PCell PUSCH Throughput[Mbps],LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PDSCH PRB Number(Avg)(Total),LTE KPI PUSCH PRB Number(Avg)(Total),LTE KPI PDSCH PRB Number(Including 0)(Total),LTE KPI PUSCH PRB Number(Including 0)(Total),LTE KPI PDSCH BLER[%],LTE KPI PUSCH BLER[%],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],LTE KPI MAC DL Throughput[Mbps],LTE KPI MAC UL Throughput[Mbps],LTE KPI RLC DL Throughput[Mbps],LTE KPI RLC UL Throughput[Mbps],LTE KPI PDCP DL Throughput[Mbps],LTE KPI PDCP UL Throughput[Mbps],LTE KPI TAC,LTE KPI CA Type,LTE KPI UL CA Type,LTE KPI Band Combination,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network Rx Byte,Smart Phone Smart Throughput Mobile Network Tx Byte,5G KPI Total Info Layer2 PDCP DL Throughput(+Split Bearer) [Mbps]
0,2022-08-11 15:50:06.000000,,,,,,,,,,,,,,,,,,,LTE,,,,LTE Qualcomm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,,0.024,,,,,,,,0.028,,0.024,,,,,,,,,,,,,
1,2022-08-11 15:50:06.600000,,,,,,,,,,,,,,,,,,,,,,,,484.0,Band 66,66711.0,132247.0,15.0,15.0,-69.19,-14.13,-36.31,,,-11.0,21.5,10.0,14.0,2.0,0.0,100.0,0.0,0.0,TM4,11.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,38405.0,NonCA,,Band 66,,,,,
2,2022-08-11 15:50:06.608295,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022-08-11 15:50:06.700000,,,,,,,,,,,,,,,,,,,,,,,,484.0,Band 66,66711.0,132247.0,15.0,15.0,-71.46,-9.69,-43.0,,,-22.83,18.8,10.2,12.2,2.0,0.0,100.0,0.0,0.0,TM4,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38405.0,NonCA,,Band 66,,,,,
4,2022-08-11 15:50:06.800000,,,,,,,,,,,,,,,,,,,,,,,,484.0,Band 66,66711.0,132247.0,15.0,15.0,-73.25,-9.13,-45.0,,,-19.96,18.23,9.83,13.33,2.0,0.0,100.0,0.0,0.0,TM4,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38405.0,NonCA,,Band 66,,,,,
5,2022-08-11 15:50:06.900000,,,,,,,,,,,,,,,,,,,,,,,,484.0,Band 66,66711.0,132247.0,15.0,15.0,-74.63,-13.69,-42.19,,,-10.57,18.2,10.67,12.33,2.0,0.0,100.0,0.0,0.0,TM4,11.0,,,,,,,,,,,,,,,20.0,,,,,,,,,,20.0,,,,,,,,,38405.0,NonCA,,Band 66,,,,,
6,2022-08-11 15:50:07.000000,,,,,,,,,,,,,,,,,,,LTE,,,,LTE Qualcomm,484.0,Band 66,66711.0,132247.0,15.0,15.0,-75.78,-10.5,-45.75,,,-18.47,17.25,10.4,12.6,2.0,0.0,100.0,0.0,0.0,TM4,11.0,,,,,,,,,,,,,0.05,,,,0.022,,0.016,,,,0.05,,,,0.022,,0.016,0.0,,0.0,,38405.0,NonCA,,Band 66,,,,,0.0
7,2022-08-11 15:50:07.100000,,,,,,,,,,,,,,,,,,,,,,,,484.0,Band 66,66711.0,132247.0,15.0,15.0,-73.97,-11.53,-43.69,,,-14.94,19.3,10.0,13.5,2.0,0.0,100.0,0.0,0.0,TM4,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38405.0,NonCA,,Band 66,0.0,0.0,0.0,0.0,
8,2022-08-11 15:50:07.200000,,,,,,,,,,,,,,,,,,,,,,,,484.0,Band 66,66711.0,132247.0,15.0,15.0,-74.36,-9.36,-46.19,,,-20.33,17.73,11.86,12.43,2.0,0.0,100.0,0.0,0.0,TM4,8.0,,,,,,,,,,,,,,,33.33,,,,,,,,,,33.33,,,,,0.0,,0.0,,38405.0,NonCA,,Band 66,,,,,
9,2022-08-11 15:50:07.300000,,,,,,,,,,,,,,,,,,,,,,,,484.0,Band 66,66711.0,132247.0,15.0,15.0,-74.03,-10.16,-44.97,,,-17.36,18.35,13.0,12.5,2.0,0.0,100.0,0.0,0.0,TM4,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38405.0,NonCA,,Band 66,,,,,
