1660513537133
PING 3.19.94.93 (3.19.94.93) 38(66) bytes of data.
46 bytes from 3.19.94.93: icmp_seq=82 ttl=34 time=40.7 ms
46 bytes from 3.19.94.93: icmp_seq=83 ttl=34 time=44.3 ms
46 bytes from 3.19.94.93: icmp_seq=84 ttl=34 time=39.8 ms
46 bytes from 3.19.94.93: icmp_seq=85 ttl=34 time=34.7 ms
46 bytes from 3.19.94.93: icmp_seq=86 ttl=34 time=34.7 ms
46 bytes from 3.19.94.93: icmp_seq=87 ttl=34 time=40.7 ms
46 bytes from 3.19.94.93: icmp_seq=88 ttl=34 time=34.8 ms
46 bytes from 3.19.94.93: icmp_seq=89 ttl=34 time=34.5 ms
46 bytes from 3.19.94.93: icmp_seq=90 ttl=34 time=37.6 ms
46 bytes from 3.19.94.93: icmp_seq=91 ttl=34 time=32.9 ms
46 bytes from 3.19.94.93: icmp_seq=92 ttl=34 time=36.8 ms
46 bytes from 3.19.94.93: icmp_seq=93 ttl=34 time=37.1 ms
46 bytes from 3.19.94.93: icmp_seq=94 ttl=34 time=34.9 ms
46 bytes from 3.19.94.93: icmp_seq=95 ttl=34 time=34.2 ms
46 bytes from 3.19.94.93: icmp_seq=96 ttl=34 time=36.4 ms
46 bytes from 3.19.94.93: icmp_seq=97 ttl=34 time=34.2 ms
46 bytes from 3.19.94.93: icmp_seq=98 ttl=34 time=33.9 ms
46 bytes from 3.19.94.93: icmp_seq=99 ttl=34 time=32.7 ms
46 bytes from 3.19.94.93: icmp_seq=100 ttl=34 time=38.4 ms

--- 3.19.94.93 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 19856ms
rtt min/avg/max/mdev = 32.092/39.856/200.513/17.072 ms
