1660438324039
PING 3.19.94.93 (3.19.94.93) 38(66) bytes of data.
46 bytes from 3.19.94.93: icmp_seq=82 ttl=31 time=49.0 ms
46 bytes from 3.19.94.93: icmp_seq=83 ttl=31 time=48.6 ms
46 bytes from 3.19.94.93: icmp_seq=84 ttl=31 time=50.0 ms
46 bytes from 3.19.94.93: icmp_seq=85 ttl=31 time=54.4 ms
46 bytes from 3.19.94.93: icmp_seq=86 ttl=31 time=50.3 ms
46 bytes from 3.19.94.93: icmp_seq=87 ttl=31 time=57.5 ms
46 bytes from 3.19.94.93: icmp_seq=88 ttl=31 time=48.3 ms
46 bytes from 3.19.94.93: icmp_seq=89 ttl=31 time=45.3 ms
46 bytes from 3.19.94.93: icmp_seq=90 ttl=31 time=57.9 ms
46 bytes from 3.19.94.93: icmp_seq=91 ttl=31 time=53.9 ms
46 bytes from 3.19.94.93: icmp_seq=92 ttl=31 time=53.0 ms
46 bytes from 3.19.94.93: icmp_seq=93 ttl=31 time=47.9 ms
46 bytes from 3.19.94.93: icmp_seq=94 ttl=31 time=54.3 ms
46 bytes from 3.19.94.93: icmp_seq=95 ttl=31 time=55.9 ms
46 bytes from 3.19.94.93: icmp_seq=96 ttl=31 time=51.1 ms
46 bytes from 3.19.94.93: icmp_seq=97 ttl=31 time=50.6 ms
46 bytes from 3.19.94.93: icmp_seq=98 ttl=31 time=54.2 ms
46 bytes from 3.19.94.93: icmp_seq=99 ttl=31 time=53.4 ms
46 bytes from 3.19.94.93: icmp_seq=100 ttl=31 time=71.5 ms

--- 3.19.94.93 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 19882ms
rtt min/avg/max/mdev = 45.339/60.864/234.826/25.053 ms, pipe 2
