TIME_STAMP,Lon,Lat,Event Technology,LTE KPI MAC DL Throughput[Mbps],LTE KPI CA Type,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps]
2022-08-09 15:19:42.000000,-115.173370,36.100471,LTE,,,
2022-08-09 15:19:42.200000,-115.173370,36.100471,,,NonCA,0.000
2022-08-09 15:19:42.700000,-115.173370,36.100471,,,,0.000
2022-08-09 15:19:42.800000,-115.173370,36.100471,,,NonCA,
2022-08-09 15:19:43.000000,-115.173370,36.100471,LTE,0.236,,
2022-08-09 15:19:43.100000,-115.173370,36.100471,,,NonCA,
2022-08-09 15:19:43.200000,-115.173370,36.100471,,,NonCA,0.020
2022-08-09 15:19:43.300000,-115.173370,36.100471,,,NonCA,
2022-08-09 15:19:43.600000,-115.173370,36.100471,,,NonCA,
2022-08-09 15:19:43.700000,-115.173370,36.100471,,,,0.129
2022-08-09 15:19:43.800000,-115.173363,36.100471,,,NonCA,
2022-08-09 15:19:44.000000,-115.173363,36.100471,LTE(2CA),2.060,,
2022-08-09 15:19:44.200000,-115.173363,36.100471,,,NonCA,0.000
2022-08-09 15:19:44.400000,-115.173363,36.100471,,,NonCA,
2022-08-09 15:19:44.500000,-115.173363,36.100471,,,NonCA,
2022-08-09 15:19:44.700000,-115.173363,36.100471,,,NonCA,0.234
2022-08-09 15:19:44.800000,-115.173363,36.100471,,,NonCA,
2022-08-09 15:19:44.900000,-115.173363,36.100471,,,3CA,
2022-08-09 15:19:45.000000,-115.173363,36.100471,LTE(2CA),19.699,3CA,
2022-08-09 15:19:45.100000,-115.173363,36.100471,,,3CA,
2022-08-09 15:19:45.200000,-115.173363,36.100471,,,3CA,12.212
2022-08-09 15:19:45.300000,-115.173363,36.100471,,,3CA,
2022-08-09 15:19:45.400000,-115.173363,36.100471,,,3CA,
2022-08-09 15:19:45.500000,-115.173363,36.100475,,,3CA,
2022-08-09 15:19:45.600000,-115.173363,36.100475,,,3CA,
2022-08-09 15:19:45.700000,-115.173363,36.100475,,,3CA,19.001
2022-08-09 15:19:45.800000,-115.173363,36.100475,,,3CA,
2022-08-09 15:19:45.900000,-115.173363,36.100475,,,3CA,
2022-08-09 15:19:46.000000,-115.173363,36.100479,LTE(2CA),28.950,3CA,
2022-08-09 15:19:46.100000,-115.173363,36.100479,,,3CA,
2022-08-09 15:19:46.200000,-115.173363,36.100479,,,3CA,25.256
2022-08-09 15:19:46.300000,-115.173363,36.100479,,,3CA,
2022-08-09 15:19:46.400000,-115.173363,36.100479,,,3CA,
2022-08-09 15:19:46.500000,-115.173363,36.100479,,,3CA,
2022-08-09 15:19:46.600000,-115.173363,36.100479,,,3CA,
2022-08-09 15:19:46.700000,-115.173363,36.100479,,,3CA,26.016
2022-08-09 15:19:46.800000,-115.173363,36.100479,,,3CA,
2022-08-09 15:19:46.900000,-115.173363,36.100479,,,3CA,
2022-08-09 15:19:47.000000,-115.173363,36.100479,LTE(2CA),54.422,3CA,
2022-08-09 15:19:47.100000,-115.173363,36.100479,,,3CA,
2022-08-09 15:19:47.200000,-115.173363,36.100479,,,3CA,39.648
2022-08-09 15:19:47.300000,-115.173363,36.100479,,,3CA,
2022-08-09 15:19:47.400000,-115.173363,36.100479,,,3CA,
2022-08-09 15:19:47.500000,-115.173363,36.100479,,,3CA,
2022-08-09 15:19:47.600000,-115.173363,36.100479,,,3CA,
2022-08-09 15:19:47.700000,-115.173363,36.100479,,,3CA,52.381
2022-08-09 15:19:47.800000,-115.173363,36.100479,,,3CA,
2022-08-09 15:19:47.900000,-115.173363,36.100479,,,3CA,
2022-08-09 15:19:48.000000,-115.173363,36.100479,LTE(2CA),71.515,3CA,
2022-08-09 15:19:48.100000,-115.173363,36.100479,,,3CA,
2022-08-09 15:19:48.200000,-115.173363,36.100479,,,3CA,68.217
2022-08-09 15:19:48.300000,-115.173363,36.100479,,,3CA,
2022-08-09 15:19:48.400000,-115.173363,36.100479,,,3CA,
2022-08-09 15:19:48.500000,-115.173355,36.100479,,,3CA,
2022-08-09 15:19:48.600000,-115.173355,36.100479,,,3CA,
2022-08-09 15:19:48.700000,-115.173355,36.100479,,,3CA,76.555
2022-08-09 15:19:48.800000,-115.173355,36.100479,,,3CA,
2022-08-09 15:19:48.900000,-115.173355,36.100479,,,3CA,
2022-08-09 15:19:49.000000,-115.173347,36.100479,LTE(2CA),64.433,3CA,
2022-08-09 15:19:49.100000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:49.200000,-115.173347,36.100479,,,3CA,58.022
2022-08-09 15:19:49.300000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:49.400000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:49.500000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:49.600000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:49.700000,-115.173347,36.100479,,,3CA,73.836
2022-08-09 15:19:49.800000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:49.900000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:50.000000,-115.173347,36.100479,LTE(2CA),59.979,3CA,
2022-08-09 15:19:50.100000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:50.200000,-115.173347,36.100479,,,3CA,58.407
2022-08-09 15:19:50.300000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:50.400000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:50.500000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:50.600000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:50.700000,-115.173347,36.100479,,,3CA,44.543
2022-08-09 15:19:50.800000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:50.900000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:51.000000,-115.173347,36.100479,LTE(2CA),57.233,3CA,
2022-08-09 15:19:51.100000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:51.200000,-115.173347,36.100479,,,3CA,63.324
2022-08-09 15:19:51.300000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:51.400000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:51.500000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:51.600000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:51.700000,-115.173347,36.100479,,,3CA,53.689
2022-08-09 15:19:51.800000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:51.900000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:52.000000,-115.173347,36.100479,LTE(2CA),74.873,3CA,
2022-08-09 15:19:52.100000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:52.200000,-115.173347,36.100479,,,3CA,70.166
2022-08-09 15:19:52.300000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:52.400000,-115.173347,36.100479,,,3CA,
2022-08-09 15:19:52.500000,-115.173347,36.100475,,,3CA,
2022-08-09 15:19:52.600000,-115.173347,36.100475,,,3CA,
2022-08-09 15:19:52.700000,-115.173347,36.100475,,,3CA,73.315
2022-08-09 15:19:52.800000,-115.173347,36.100475,,,3CA,
2022-08-09 15:19:52.900000,-115.173347,36.100475,,,3CA,
2022-08-09 15:19:53.000000,-115.173347,36.100471,LTE(2CA),83.520,3CA,
2022-08-09 15:19:53.100000,-115.173347,36.100471,,,3CA,
2022-08-09 15:19:53.200000,-115.173347,36.100471,,,3CA,74.130
2022-08-09 15:19:53.300000,-115.173347,36.100471,,,3CA,
2022-08-09 15:19:53.400000,-115.173347,36.100471,,,3CA,
2022-08-09 15:19:53.500000,-115.173347,36.100471,,,3CA,
2022-08-09 15:19:53.600000,-115.173347,36.100471,,,3CA,
2022-08-09 15:19:53.700000,-115.173347,36.100471,,,3CA,82.332
2022-08-09 15:19:53.800000,-115.173347,36.100471,,,3CA,
2022-08-09 15:19:53.900000,-115.173347,36.100471,,,3CA,
2022-08-09 15:19:54.000000,-115.173347,36.100471,LTE(2CA),82.739,3CA,
2022-08-09 15:19:54.100000,-115.173347,36.100471,,,3CA,
2022-08-09 15:19:54.200000,-115.173347,36.100471,,,3CA,86.342
2022-08-09 15:19:54.300000,-115.173347,36.100471,,,3CA,
2022-08-09 15:19:54.400000,-115.173347,36.100471,,,3CA,
2022-08-09 15:19:54.500000,-115.173347,36.100471,,,3CA,
2022-08-09 15:19:54.600000,-115.173347,36.100471,,,3CA,
