1659984853727
nuttcp-r: v8.1.4: socket
nuttcp-r: buflen=65536, nstream=1, port=5005 tcp
nuttcp-r: interval reporting every 0.10 seconds
nuttcp-r: connect to 54.176.53.206 with RTT=28.178 ms af=inet
nuttcp-r: send window size = 2097152, receive window size = 52428800
nuttcp-r: available send window = 1572864, available receive window = 39321600
    1.0000 MB /   0.10 sec =   83.8710 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6495 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6503 Mbps     0 retrans
    1.2500 MB /   0.10 sec =  104.8639 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.3864 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6511 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1379 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1472 Mbps     0 retrans
    0.7500 MB /   0.10 sec =   62.9083 Mbps     0 retrans
    1.1250 MB /   0.10 sec =   94.3954 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.3996 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8978 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8827 Mbps     0 retrans
    0.7500 MB /   0.10 sec =   62.9039 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8769 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1459 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1540 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6644 Mbps     0 retrans
    1.1250 MB /   0.10 sec =   94.3596 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.3827 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8710 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6597 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.3944 Mbps     0 retrans
    1.1875 MB /   0.10 sec =   99.6446 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1418 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1299 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1711 Mbps     0 retrans
    1.3125 MB /   0.10 sec =  110.1082 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1581 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.0924 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.4113 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.0933 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1493 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.9448 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1779 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.0737 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8894 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1031 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6755 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6637 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6369 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8592 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8685 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1663 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1874 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1245 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8609 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6251 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.9322 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8668 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1495 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8810 Mbps     0 retrans
    1.1250 MB /   0.10 sec =   94.3737 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.3937 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1325 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1472 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8936 Mbps     0 retrans
    0.7500 MB /   0.10 sec =   62.9114 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1506 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1566 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8819 Mbps     0 retrans
    0.6875 MB /   0.10 sec =   57.6774 Mbps     0 retrans
    0.7500 MB /   0.10 sec =   62.8919 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1557 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1574 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1272 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6566 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8878 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6055 Mbps     0 retrans
    1.2500 MB /   0.10 sec =  104.8670 Mbps     0 retrans
    0.6875 MB /   0.10 sec =   57.6037 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.2566 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8559 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.3996 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1711 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1165 Mbps     0 retrans
    0.7500 MB /   0.10 sec =   62.9253 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8936 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1581 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8660 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6597 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6251 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1263 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1343 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.9297 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.4091 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6149 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1745 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.4062 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8827 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.3996 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.4025 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1290 Mbps     0 retrans
    0.7500 MB /   0.10 sec =   62.8781 Mbps     0 retrans
    1.1250 MB /   0.10 sec =   94.4219 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.3930 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6377 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1438 Mbps     0 retrans
    1.1875 MB /   0.10 sec =   99.6626 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1309 Mbps     0 retrans
    1.2500 MB /   0.10 sec =  104.8482 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6888 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.3871 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1468 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6408 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.5992 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1593 Mbps     0 retrans
    1.1250 MB /   0.10 sec =   94.3888 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.3915 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1174 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.9155 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6220 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1343 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1352 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6770 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8735 Mbps     0 retrans
    1.1250 MB /   0.10 sec =   94.3832 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1209 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.3153 Mbps     0 retrans
    1.1875 MB /   0.10 sec =   99.7534 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6228 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1431 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1557 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1438 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8995 Mbps     0 retrans
    0.6875 MB /   0.10 sec =   57.6688 Mbps     0 retrans
    1.1250 MB /   0.10 sec =   94.4011 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.0853 Mbps     0 retrans
    0.7500 MB /   0.10 sec =   62.9139 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.4150 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8978 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8676 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1361 Mbps     0 retrans
    0.7500 MB /   0.10 sec =   62.8995 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1441 Mbps     0 retrans
    0.6875 MB /   0.10 sec =   57.6607 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1602 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6408 Mbps     0 retrans
    1.1250 MB /   0.10 sec =   94.3633 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1608 Mbps     0 retrans
    1.1250 MB /   0.10 sec =   94.3709 Mbps     0 retrans
    0.7500 MB /   0.10 sec =   62.9158 Mbps     0 retrans
    1.1875 MB /   0.10 sec =   99.5948 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1534 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1520 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.9045 Mbps     0 retrans
    0.7500 MB /   0.10 sec =   62.9032 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1643 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6550 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8735 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1779 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8609 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8920 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6432 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1530 Mbps     0 retrans
    1.1250 MB /   0.10 sec =   94.3454 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.4047 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.4033 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1504 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8660 Mbps     0 retrans
    1.1250 MB /   0.10 sec =   94.3709 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1424 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1521 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.3783 Mbps     0 retrans
    0.7500 MB /   0.10 sec =   62.9152 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1629 Mbps     0 retrans
    0.6875 MB /   0.10 sec =   57.6982 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1438 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6346 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6463 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1156 Mbps     0 retrans
    0.7500 MB /   0.10 sec =   62.9253 Mbps     0 retrans
    1.1250 MB /   0.10 sec =   94.3728 Mbps     0 retrans
    0.3125 MB /   0.10 sec =   26.2055 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.4084 Mbps     0 retrans
    0.7500 MB /   0.10 sec =   62.9215 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1165 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6676 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8735 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.9003 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1629 Mbps     0 retrans
    1.1250 MB /   0.10 sec =   94.3501 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.4055 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8609 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6676 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1472 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6448 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.3959 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8920 Mbps     0 retrans
    0.5000 MB /   0.10 sec =   41.9447 Mbps     0 retrans
    0.7500 MB /   0.10 sec =   62.9177 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8961 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1397 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.3768 Mbps     0 retrans
    1.1250 MB /   0.10 sec =   94.3747 Mbps     0 retrans
    0.8125 MB /   0.10 sec =   68.1438 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6574 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.8827 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6542 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1281 Mbps     0 retrans
    0.8750 MB /   0.10 sec =   73.3754 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.6471 Mbps     0 retrans
    1.0000 MB /   0.10 sec =   83.9062 Mbps     0 retrans
    1.0625 MB /   0.10 sec =   89.1423 Mbps     0 retrans
nuttcp-r: 278.8527 MB in 30.05 real seconds = 9500.95 KB/sec = 77.8318 Mbps
nuttcp-r: 21488 I/O calls, msec/call = 1.43, calls/sec = 714.97
nuttcp-r: 0.0user 0.6sys 0:30real 2% 0i+0d 1292maxrss 0+1pf 12265+52csw

nuttcp-t: Warning: send window size 212992 < requested window size 26214400
nuttcp-t: v6.1.2: socket
nuttcp-t: buflen=65536, nstream=1, port=5005 tcp -> 172.56.16.208
nuttcp-t: time limit = 30.00 seconds
nuttcp-t: accept from 172.56.16.208 with mss=1364
nuttcp-t: send window size = 425984, receive window size = 131072
nuttcp-t: available send window = 212992, available receive window = 65536
nuttcp-t: 278.8527 MB in 30.00 real seconds = 9518.16 KB/sec = 77.9728 Mbps
nuttcp-t: retrans = 0
nuttcp-t: 4462 I/O calls, msec/call = 6.88, calls/sec = 148.73
nuttcp-t: 0.0user 0.2sys 0:30real 0% 0i+0d 98maxrss 0+0pf 1343+0csw
