1660512160758
nuttcp-r: v8.1.4: socket
nuttcp-r: buflen=65536, nstream=1, port=5005 tcp
nuttcp-r: interval reporting every 0.10 seconds
nuttcp-r: connect to 3.19.94.93 with RTT=30.730 ms af=inet
nuttcp-r: send window size = 2097152, receive window size = 52428800
nuttcp-r: available send window = 1572864, available receive window = 39321600
    0.0000 MB /   0.10 sec =    0.0000 Mbps    -1 retrans
    0.2500 MB /   0.10 sec =   20.9780 Mbps     1 retrans
    0.2500 MB /   0.10 sec =   20.9585 Mbps     0 retrans
    0.3125 MB /   0.10 sec =   26.2341 Mbps     0 retrans
    0.3750 MB /   0.10 sec =   31.4497 Mbps     0 retrans
    0.3125 MB /   0.10 sec =   26.1924 Mbps     0 retrans
    0.5000 MB /   0.10 sec =   41.9800 Mbps     0 retrans
    0.4375 MB /   0.10 sec =   36.6888 Mbps     0 retrans
    0.6250 MB /   0.10 sec =   52.4493 Mbps     0 retrans
    0.6250 MB /   0.10 sec =   52.4246 Mbps     0 retrans
    0.7500 MB /   0.10 sec =   62.9303 Mbps     0 retrans
    0.7500 MB /   0.10 sec =   62.9089 Mbps     0 retrans
    0.7500 MB /   0.10 sec =   62.9152 Mbps     0 retrans
    0.9375 MB /   0.10 sec =   78.3759 Mbps     0 retrans
    1.1250 MB /   0.10 sec =   94.5070 Mbps     0 retrans
    1.1250 MB /   0.10 sec =   94.5382 Mbps     0 retrans
    1.1875 MB /   0.10 sec =   99.6147 Mbps     0 retrans
    1.5625 MB /   0.10 sec =  131.0746 Mbps     0 retrans
    1.5000 MB /   0.10 sec =  125.8467 Mbps     0 retrans
    1.7500 MB /   0.10 sec =  146.7786 Mbps     0 retrans
    1.8750 MB /   0.10 sec =  157.2974 Mbps     0 retrans
    1.9375 MB /   0.10 sec =  162.4822 Mbps     0 retrans
    1.8750 MB /   0.10 sec =  157.2298 Mbps     0 retrans
    2.8125 MB /   0.10 sec =  236.0193 Mbps     0 retrans
    2.0625 MB /   0.10 sec =  173.0116 Mbps     0 retrans
    3.3125 MB /   0.10 sec =  277.8726 Mbps     0 retrans
    2.9375 MB /   0.10 sec =  246.4647 Mbps     0 retrans
    3.6875 MB /   0.10 sec =  309.3299 Mbps     0 retrans
    4.0000 MB /   0.10 sec =  335.5678 Mbps     0 retrans
    4.0000 MB /   0.10 sec =  335.5041 Mbps     0 retrans
    4.3750 MB /   0.10 sec =  366.9649 Mbps     0 retrans
    5.0625 MB /   0.10 sec =  424.7030 Mbps     0 retrans
    4.3750 MB /   0.10 sec =  366.7889 Mbps     0 retrans
    5.5625 MB /   0.10 sec =  466.8124 Mbps     0 retrans
    4.0000 MB /   0.10 sec =  335.6920 Mbps     0 retrans
    4.1875 MB /   0.10 sec =  351.1711 Mbps     0 retrans
    4.4375 MB /   0.10 sec =  372.2631 Mbps     0 retrans
    4.3750 MB /   0.10 sec =  367.0640 Mbps     0 retrans
    4.0625 MB /   0.10 sec =  340.6884 Mbps     0 retrans
    4.1875 MB /   0.10 sec =  351.3151 Mbps     0 retrans
    4.1250 MB /   0.10 sec =  346.0162 Mbps     0 retrans
    3.9375 MB /   0.10 sec =  330.3147 Mbps     0 retrans
    4.4375 MB /   0.10 sec =  372.2482 Mbps     0 retrans
    4.5625 MB /   0.10 sec =  382.7111 Mbps     0 retrans
    4.6875 MB /   0.10 sec =  393.3065 Mbps     0 retrans
    4.3125 MB /   0.10 sec =  361.7840 Mbps     0 retrans
    4.2500 MB /   0.10 sec =  356.4232 Mbps     0 retrans
    5.1250 MB /   0.10 sec =  430.0237 Mbps     0 retrans
    4.8125 MB /   0.10 sec =  403.5161 Mbps     0 retrans
    4.6250 MB /   0.10 sec =  388.1400 Mbps     0 retrans
    4.3750 MB /   0.10 sec =  366.9135 Mbps     0 retrans
    5.2500 MB /   0.10 sec =  440.4988 Mbps     0 retrans
    4.8750 MB /   0.10 sec =  408.9242 Mbps     0 retrans
    4.2500 MB /   0.10 sec =  356.4945 Mbps     0 retrans
    4.0000 MB /   0.10 sec =  335.5544 Mbps     0 retrans
    4.8125 MB /   0.10 sec =  403.4919 Mbps     0 retrans
    4.2500 MB /   0.10 sec =  356.6763 Mbps     0 retrans
    4.7500 MB /   0.10 sec =  398.4031 Mbps     0 retrans
    5.1250 MB /   0.10 sec =  429.8517 Mbps     0 retrans
    4.5625 MB /   0.10 sec =  382.8604 Mbps     0 retrans
    5.0625 MB /   0.10 sec =  424.3889 Mbps     0 retrans
    4.9375 MB /   0.10 sec =  414.4154 Mbps     0 retrans
    5.1875 MB /   0.10 sec =  435.1982 Mbps     0 retrans
    4.8750 MB /   0.10 sec =  408.9569 Mbps     0 retrans
    4.6250 MB /   0.10 sec =  387.7560 Mbps     0 retrans
    5.0000 MB /   0.10 sec =  419.6528 Mbps     0 retrans
    5.2500 MB /   0.10 sec =  440.4372 Mbps     0 retrans
    5.6875 MB /   0.10 sec =  476.9828 Mbps     0 retrans
    5.5000 MB /   0.10 sec =  461.3827 Mbps     0 retrans
    4.7500 MB /   0.10 sec =  398.4310 Mbps     0 retrans
    4.3750 MB /   0.10 sec =  367.0750 Mbps     0 retrans
    5.6250 MB /   0.10 sec =  471.7507 Mbps     0 retrans
    5.3125 MB /   0.10 sec =  445.6983 Mbps     0 retrans
    5.4375 MB /   0.10 sec =  456.0576 Mbps     0 retrans
    4.5000 MB /   0.10 sec =  377.4874 Mbps     0 retrans
    5.3750 MB /   0.10 sec =  450.9418 Mbps     0 retrans
    5.5625 MB /   0.10 sec =  466.2480 Mbps     0 retrans
    5.1250 MB /   0.10 sec =  430.2087 Mbps     0 retrans
    5.2500 MB /   0.10 sec =  440.4548 Mbps     0 retrans
    5.3125 MB /   0.10 sec =  445.6225 Mbps     0 retrans
    4.6875 MB /   0.10 sec =  393.2042 Mbps     0 retrans
    4.8750 MB /   0.10 sec =  408.9692 Mbps     0 retrans
    5.1875 MB /   0.10 sec =  435.2591 Mbps     0 retrans
    5.3125 MB /   0.10 sec =  445.5111 Mbps     0 retrans
    4.4375 MB /   0.10 sec =  372.3301 Mbps     0 retrans
    5.5625 MB /   0.10 sec =  466.6163 Mbps     0 retrans
    5.0625 MB /   0.10 sec =  424.7030 Mbps     0 retrans
    5.1875 MB /   0.10 sec =  435.0329 Mbps     0 retrans
    5.5000 MB /   0.10 sec =  461.5073 Mbps     0 retrans
    5.4375 MB /   0.10 sec =  456.1716 Mbps     0 retrans
    5.1250 MB /   0.10 sec =  429.7614 Mbps     0 retrans
    5.1875 MB /   0.10 sec =  435.0372 Mbps     0 retrans
    5.1875 MB /   0.10 sec =  435.2940 Mbps     0 retrans
    5.5000 MB /   0.10 sec =  461.2950 Mbps     0 retrans
