,local_time,unixtimestamp,videoBuffer,audioBuffer,cumRebuffer,format_vid,byteOffset,totalByteLength,byteLength,ssim,mod_timestamp,ssim_diff,cumRebuffer_diff,New_Bitrate,New_Bitrate_diff,qoe
11,5278453,1660598931,2.002,2.002,0.554,1280x720-5,1124688,1191650,66962,4.5425,1660598931.416,0.0,0.0,5.0,0.0,5.0
35,5279084,1660598932,3.999,3.999,1.156,1280x720-10,2351466,2380435,28969,9.0729,1660598932.631,4.5304,0.6019999999999999,10.0,5.0,-55.19999999999999
268,5282006,1660598935,3.082,3.082,1.156,1280x720-100,23718169,23777998,59829,90.6168,1660598936.363,81.5439,0.0,100.0,90.0,10.0
385,5284101,1660598937,2.985,2.985,1.156,1280x720-50,11859257,11890426,31169,45.3149,1660598938.516,45.301899999999996,0.0,50.0,50.0,0.0
502,5284796,1660598938,4.292,4.292,1.156,1280x720-50,11859257,11889612,30355,45.3147,1660598938.271,0.00019999999999953388,0.0,50.0,0.0,50.0
735,5288257,1660598941,2.835,2.835,1.156,1280x720-100,23718169,23777998,59829,90.6169,1660598942.052,45.3022,0.0,100.0,50.0,50.0
852,5288859,1660598942,4.229,4.229,1.156,1280x720-50,11859141,11910369,51228,45.3908,1660598942.341,45.2261,0.0,100.0,0.0,100.0
1085,5292317,1660598945,2.779,2.779,1.156,1280x720-100,23717937,23777996,60059,90.6169,1660598946.057,45.2261,0.0,100.0,0.0,100.0
1207,5293203,1660598946,3.897,3.897,1.156,1280x720-50,12370306,12467649,97343,47.5145,1660598946.886,43.1024,0.0,100.0,0.0,100.0
1440,5295878,1660598949,3.218,3.218,1.156,1280x720-100,23717937,23777998,60061,90.6169,1660598950.075,43.1024,0.0,100.0,0.0,100.0
1557,5297288,1660598950,3.813,3.813,1.156,1280x720-50,11859141,11890438,31297,45.3149,1660598951.046,45.302,0.0,100.0,0.0,100.0
1790,5300057,1660598953,3.05,3.050,1.156,1280x720-100,23718169,23777983,59814,90.617,1660598954.068,45.3021,0.0,100.0,0.0,100.0
1907,5301670,1660598955,3.44,3.440,1.156,1280x720-50,11859141,11890462,31321,45.3149,1660598956.012,45.3021,0.0,100.0,0.0,100.0
2140,5304330,1660598957,2.782,2.782,1.156,1280x720-100,23717937,23777999,60062,90.6169,1660598958.049,45.302,0.0,100.0,0.0,100.0
2257,5304945,1660598958,4.163,4.163,1.156,1280x720-50,11859141,11890451,31310,45.3149,1660598958.453,45.302,0.0,100.0,0.0,100.0
2490,5308384,1660598961,2.725,2.725,1.156,1280x720-100,23717937,23777999,60062,90.6169,1660598962.034,45.302,0.0,100.0,0.0,100.0
2607,5309277,1660598962,3.839,3.839,1.156,1280x720-50,11859141,11890456,31315,45.3149,1660598962.742,45.302,0.0,100.0,0.0,100.0
2840,5311812,1660598965,3.308,3.308,1.156,1280x720-100,23717937,23777996,60059,90.6169,1660598966.076,45.302,0.0,100.0,0.0,100.0
3073,5314310,1660598967,2.805,2.805,1.156,1280x720-100,23717937,23777143,59206,90.6168,1660598968.051,0.00010000000000331966,0.0,100.0,0.0,100.0
3190,5314989,1660598968,4.127,4.127,1.156,1280x720-50,11859141,11890435,31294,45.3149,1660598968.455,45.301899999999996,0.0,100.0,0.0,100.0
3423,5318493,1660598971,2.629,2.629,1.156,1280x720-100,23717937,23777997,60060,90.6169,1660598972.037,45.302,0.0,100.0,0.0,100.0
3540,5319498,1660598972,3.63,3.630,1.156,1280x720-50,11859141,11890467,31326,45.3147,1660598973.005,45.3022,0.0,100.0,0.0,100.0
3773,5322497,1660598975,2.627,2.627,1.156,1280x720-100,23717937,23777999,60062,90.6169,1660598976.031,45.3022,0.0,100.0,0.0,100.0
3890,5323795,1660598977,3.33,3.330,1.156,1280x720-50,11859141,11890444,31303,45.3149,1660598977.268,45.302,0.0,100.0,0.0,100.0
4123,5328809,1660598982,0.323,0.323,1.156,1280x720-100,23717937,23777999,60062,90.6169,1660598982.3,45.302,0.0,100.0,0.0,100.0
4135,5329544,1660598983,2.153,2.153,1.661,1280x720-5,1124622,1191656,67034,4.5425,1660598983.057,86.0744,0.5050000000000001,5.0,95.0,-140.5
4159,5330516,1660598983,3.189,3.189,1.661,1280x720-10,2351443,2380421,28978,9.0729,1660598984.029,4.5304,0.0,10.0,5.0,5.0
4276,5336308,1660598989,0.898,0.898,3.122,1280x720-50,11859141,11890443,31302,45.3149,1660598989.79,36.242000000000004,1.4609999999999999,50.0,40.0,-136.1
4288,5336918,1660598990,2.9,2.900,3.724,1280x720-5,1124622,1191662,67040,4.5426,1660598990.385,40.7723,0.6020000000000003,5.0,45.0,-100.20000000000003
4405,5341212,1660598994,0.962,0.962,4.076,1280x720-50,11859141,11890467,31326,45.3147,1660598994.721,40.7721,0.3519999999999994,50.0,45.0,-30.199999999999946
4417,5341652,1660598995,2.527,2.527,4.076,1280x720-5,1124622,1191660,67038,4.5426,1660598995.122,40.7721,0.0,5.0,45.0,-40.0
4534,5344364,1660598997,1.955,1.955,4.178,1280x720-50,11859141,11890491,31350,45.3148,1660598997.833,40.7722,0.10200000000000031,50.0,45.0,-5.200000000000031
4558,5344832,1660598998,3.493,3.493,4.178,1280x720-10,2351443,2380426,28983,9.0729,1660598998.312,36.2419,0.0,10.0,40.0,-30.0
4791,5347666,1660599001,2.661,2.661,4.178,1280x720-100,23717937,23777999,60062,90.6169,1660599001.141,81.544,0.0,100.0,90.0,10.0
4908,5348858,1660599002,3.466,3.466,4.178,1280x720-50,11859141,11890493,31352,45.3148,1660599002.334,45.3021,0.0,100.0,0.0,100.0
5141,5351453,1660599004,2.878,2.878,4.178,1280x720-100,23718169,23777999,59830,90.617,1660599005.058,45.302200000000006,0.0,100.0,0.0,100.0
