,local_time,unixtimestamp,videoBuffer,audioBuffer,cumRebuffer,format_vid,byteOffset,totalByteLength,byteLength,ssim,mod_timestamp,ssim_diff,cumRebuffer_diff,New_Bitrate,New_Bitrate_diff,qoe
11,1866729,1660497342,2.002,2.002,1.712,1280x720-5,1124688,1191650,66962,4.5425,1660497342.447,0.0,0.0,5.0,0.0,5.0
35,1868114,1660497343,3.304,3.304,2.418,1280x720-10,2351466,2380435,28969,9.0729,1660497343.825,4.5304,0.7060000000000002,10.0,5.0,-65.60000000000002
268,1873237,1660497348,0.676,0.676,2.873,1280x720-100,23718169,23777998,59829,90.6168,1660497348.905,81.5439,0.45500000000000007,100.0,90.0,-35.50000000000001
280,1873723,1660497349,2.678,2.678,3.378,1280x720-5,1124633,1191657,67024,4.5424,1660497349.486,86.0744,0.5049999999999999,5.0,95.0,-140.5
397,1875630,1660497351,3.115,3.115,3.68,1280x720-50,11859257,11890466,31209,45.3147,1660497351.289,40.7723,0.30200000000000005,50.0,45.0,-25.200000000000003
514,1877544,1660497353,3.206,3.206,3.68,1280x720-50,11859257,11889609,30352,45.3147,1660497353.208,0.0,0.0,50.0,0.0,50.0
631,1879819,1660497355,2.933,2.933,3.68,1280x720-50,11859141,11909515,50374,45.3908,1660497355.478,0.07609999999999673,0.0,50.0,0.0,50.0
748,1882172,1660497357,2.574,2.574,3.68,1280x720-50,11859141,11889578,30437,45.3149,1660497357.838,0.07589999999999719,0.0,50.0,0.0,50.0
870,1884672,1660497360,2.083,2.083,3.68,1280x720-50,12370306,12466795,96489,47.5145,1660497360.329,2.1995999999999967,0.0,50.0,0.0,50.0
894,1885286,1660497360,3.462,3.462,3.68,1280x720-10,2351443,2380424,28981,9.0729,1660497360.943,38.441599999999994,0.0,10.0,40.0,-30.0
1127,1888909,1660497364,1.849,1.849,3.68,1280x720-100,23717937,23777996,60059,90.6169,1660497364.776,81.544,0.0,100.0,90.0,10.0
1153,1889742,1660497365,3.018,3.018,3.68,1280x720-10,2555915,2565102,9187,9.7767,1660497365.417,80.8402,0.0,10.0,90.0,-80.0
1270,1891872,1660497367,2.886,2.886,3.68,1280x720-50,11859141,11890462,31321,45.3149,1660497367.533,35.5382,0.0,50.0,40.0,10.0
1387,1894131,1660497369,2.632,2.632,3.68,1280x720-50,11859141,11889617,30476,45.3148,1660497369.787,0.00010000000000331966,0.0,50.0,0.0,50.0
1504,1896112,1660497371,2.65,2.650,3.68,1280x720-50,11859141,11889597,30456,45.3149,1660497371.783,0.00010000000000331966,0.0,50.0,0.0,50.0
1621,1897894,1660497373,2.869,2.869,3.68,1280x720-50,11859141,11889586,30445,45.3149,1660497373.562,0.0,0.0,50.0,0.0,50.0
1738,1899804,1660497375,2.966,2.966,3.68,1280x720-50,11859141,11889602,30461,45.3149,1660497375.459,0.0,0.0,50.0,0.0,50.0
1855,1901612,1660497377,3.156,3.156,3.68,1280x720-50,11859141,11889579,30438,45.3148,1660497377.283,0.00010000000000331966,0.0,50.0,0.0,50.0
1972,1903115,1660497378,3.652,3.652,3.68,1280x720-50,11859141,11889589,30448,45.3148,1660497378.813,0.0,0.0,50.0,0.0,50.0
2205,1905708,1660497381,3.063,3.063,3.68,1280x720-100,23717937,23777998,60061,90.6169,1660497381.368,45.3021,0.0,100.0,50.0,50.0
2322,1906901,1660497382,3.874,3.874,3.68,1280x720-50,11859141,11890428,31287,45.3147,1660497382.559,45.3022,0.0,100.0,0.0,100.0
2555,1909992,1660497385,2.785,2.785,3.68,1280x720-100,23717937,23777998,60061,90.6169,1660497386.034,45.3022,0.0,100.0,0.0,100.0
2672,1910896,1660497386,3.882,3.882,3.68,1280x720-50,11859141,11890465,31324,45.3149,1660497386.559,45.302,0.0,100.0,0.0,100.0
2905,1914225,1660497389,2.553,2.553,3.68,1280x720-100,23717937,23777999,60062,90.6169,1660497390.019,45.302,0.0,100.0,0.0,100.0
3022,1915345,1660497390,3.438,3.438,3.68,1280x720-50,11859141,11890467,31326,45.3147,1660497391.12,45.3022,0.0,100.0,0.0,100.0
3255,1917715,1660497393,3.072,3.072,3.68,1280x720-100,23717937,23777999,60062,90.6169,1660497393.371,45.3022,0.0,100.0,0.0,100.0
3372,1918723,1660497394,4.059,4.059,3.68,1280x720-50,11859141,11890442,31301,45.3149,1660497394.381,45.302,0.0,100.0,0.0,100.0
3605,1921578,1660497397,3.209,3.209,3.68,1280x720-100,23717937,23777997,60060,90.6169,1660497398.048,45.302,0.0,100.0,0.0,100.0
3722,1922617,1660497398,4.172,4.172,3.68,1280x720-50,11859141,11890458,31317,45.3148,1660497398.277,45.3021,0.0,100.0,0.0,100.0
3955,1926325,1660497401,2.466,2.466,3.68,1280x720-100,23717937,23777999,60062,90.6169,1660497402.014,45.3021,0.0,100.0,0.0,100.0
4072,1927775,1660497403,3.019,3.019,3.68,1280x720-50,11859141,11890479,31338,45.3148,1660497403.44,45.3021,0.0,50.0,50.0,0.0
4189,1928924,1660497404,3.879,3.879,3.68,1280x720-50,11859141,11889637,30496,45.3148,1660497404.587,0.0,0.0,50.0,0.0,50.0
