,local_time,unixtimestamp,videoBuffer,audioBuffer,cumRebuffer,format_vid,byteOffset,totalByteLength,byteLength,ssim,mod_timestamp,ssim_diff,cumRebuffer_diff,New_Bitrate,New_Bitrate_diff,qoe
11,2223704,1660264904,2.002,2.002,1.808,1280x720-5,1124688,1191650,66962,4.5425,1660264904.364,0.0,0.0,5.0,0.0,5.0
35,2224666,1660264905,3.192,3.192,1.959,1280x720-10,2351466,2380435,28969,9.0729,1660264905.342,4.5304,0.15100000000000002,10.0,5.0,-10.100000000000001
152,2228015,1660264908,1.842,1.842,1.959,1280x720-50,11859257,11890482,31225,45.3148,1660264908.968,36.2419,0.0,50.0,40.0,10.0
176,2228922,1660264909,2.936,2.936,1.959,1280x720-10,2351466,2380400,28934,9.0728,1660264909.587,36.242,0.0,10.0,40.0,-30.0
293,2231850,1660264912,2.005,2.005,1.959,1280x720-50,11859257,11890466,31209,45.3147,1660264912.516,36.2419,0.0,50.0,40.0,10.0
317,2232737,1660264913,3.128,3.128,1.959,1280x720-10,2351466,2380422,28956,9.0729,1660264913.39,36.2418,0.0,10.0,40.0,-30.0
434,2235886,1660264916,1.977,1.977,1.959,1280x720-50,11859141,11910369,51228,45.3908,1660264916.549,36.317899999999995,0.0,50.0,40.0,10.0
458,2236689,1660264917,3.173,3.173,1.959,1280x720-10,2351443,2380418,28975,9.0728,1660264917.803,36.318,0.0,10.0,40.0,-30.0
580,2239219,1660264919,2.654,2.654,1.959,1280x720-50,12370306,12467649,97343,47.5145,1660264919.879,38.4417,0.0,50.0,40.0,10.0
697,2242223,1660264922,1.651,1.651,1.959,1280x720-50,11859141,11889575,30434,45.3147,1660264923.093,2.199799999999996,0.0,50.0,0.0,50.0
721,2243262,1660264923,2.614,2.614,1.959,1280x720-10,2351443,2380427,28984,9.0729,1660264924.039,36.2418,0.0,10.0,40.0,-30.0
851,2245533,1660264926,2.34,2.340,1.959,1280x720-50,13188299,13201705,13406,50.312,1660264926.203,41.23909999999999,0.0,50.0,40.0,10.0
968,2248036,1660264928,1.84,1.840,1.959,1280x720-50,11859141,11889608,30467,45.3149,1660264928.699,4.997099999999996,0.0,50.0,0.0,50.0
992,2248583,1660264929,3.296,3.296,1.959,1280x720-10,2351443,2380424,28981,9.0729,1660264929.547,36.242000000000004,0.0,10.0,40.0,-30.0
1109,2250880,1660264931,3.0,3.000,1.959,1280x720-50,11859141,11890451,31310,45.3149,1660264931.615,36.242000000000004,0.0,50.0,40.0,10.0
1226,2253415,1660264934,2.464,2.464,1.959,1280x720-50,11859141,11889586,30445,45.3149,1660264934.148,0.0,0.0,50.0,0.0,50.0
1343,2255922,1660264936,1.962,1.962,1.959,1280x720-50,11859141,11889602,30461,45.3149,1660264936.58,0.0,0.0,50.0,0.0,50.0
1367,2256692,1660264937,3.192,3.192,1.959,1280x720-10,2351443,2380420,28977,9.0729,1660264937.77,36.242000000000004,0.0,10.0,40.0,-30.0
1484,2258685,1660264939,3.208,3.208,1.959,1280x720-50,11859141,11890443,31302,45.3148,1660264939.34,36.2419,0.0,50.0,40.0,10.0
1601,2260961,1660264941,2.929,2.929,1.959,1280x720-50,11859141,11889581,30440,45.3149,1660264941.62,0.00010000000000331966,0.0,50.0,0.0,50.0
1718,2262388,1660264943,3.509,3.509,1.959,1280x720-50,11859141,11889574,30433,45.3147,1660264943.045,0.00019999999999953388,0.0,50.0,0.0,50.0
1951,2264886,1660264945,3.011,3.011,1.959,1280x720-100,23717937,23777998,60061,90.6169,1660264945.562,45.3022,0.0,100.0,50.0,50.0
2068,2265878,1660264946,4.018,4.018,1.959,1280x720-50,11859141,11890465,31324,45.3149,1660264946.546,45.302,0.0,100.0,0.0,100.0
2301,2268844,1660264949,3.052,3.052,1.959,1280x720-100,23717937,23777999,60062,90.6169,1660264950.143,45.302,0.0,100.0,0.0,100.0
2418,2270764,1660264951,3.14,3.140,1.959,1280x720-50,11859141,11890467,31326,45.3147,1660264951.602,45.3022,0.0,50.0,50.0,0.0
2535,2272296,1660264952,3.608,3.608,1.959,1280x720-50,11859141,11889613,30472,45.3147,1660264952.95,0.0,0.0,50.0,0.0,50.0
2768,2275051,1660264955,2.85,2.850,1.959,1280x720-100,23717937,23777999,60062,90.6169,1660264956.35,45.3022,0.0,100.0,50.0,50.0
2885,2276472,1660264957,3.432,3.432,1.959,1280x720-50,11859141,11890443,31302,45.3149,1660264957.131,45.302,0.0,100.0,0.0,100.0
3118,2279805,1660264960,2.103,2.103,1.959,1280x720-100,23717937,23777999,60062,90.6169,1660264960.472,45.302,0.0,100.0,0.0,100.0
3142,2280529,1660264961,3.385,3.385,1.959,1280x720-10,2351443,2380430,28987,9.0729,1660264961.31,81.544,0.0,10.0,90.0,-80.0
3375,2283971,1660264964,1.945,1.945,1.959,1280x720-100,23717937,23777998,60061,90.6169,1660264964.632,81.544,0.0,100.0,90.0,10.0
3399,2284498,1660264965,3.42,3.420,1.959,1280x720-10,2351443,2380428,28985,9.0729,1660264965.159,81.544,0.0,10.0,90.0,-80.0
3632,2286692,1660264967,3.222,3.222,1.959,1280x720-100,23717937,23777999,60062,90.6169,1660264967.349,81.544,0.0,100.0,90.0,10.0
3749,2287782,1660264968,4.133,4.133,1.959,1280x720-50,11859141,11890479,31338,45.3149,1660264968.528,45.302,0.0,100.0,0.0,100.0
3982,2290931,1660264971,2.988,2.988,1.959,1280x720-100,23717937,23777999,60062,90.6169,1660264972.285,45.302,0.0,100.0,0.0,100.0
4099,2292488,1660264973,3.432,3.432,1.959,1280x720-50,11859141,11890493,31352,45.3149,1660264973.184,45.302,0.0,100.0,0.0,100.0
4332,2295412,1660264976,2.514,2.514,1.959,1280x720-100,23717937,23778000,60063,90.6169,1660264976.107,45.302,0.0,100.0,0.0,100.0
4449,2296774,1660264977,3.151,3.151,1.959,1280x720-50,11859141,11890494,31353,45.3148,1660264977.43,45.3021,0.0,50.0,50.0,0.0
4566,2297979,1660264978,3.945,3.945,1.959,1280x720-50,11859141,11889641,30500,45.3148,1660264978.685,0.0,0.0,50.0,0.0,50.0
4799,2300811,1660264981,3.117,3.117,1.959,1280x720-100,23717937,23778000,60063,90.6169,1660264982.044,45.3021,0.0,100.0,50.0,50.0
