,local_time,unixtimestamp,videoBuffer,audioBuffer,cumRebuffer,format_vid,byteOffset,totalByteLength,byteLength,ssim,mod_timestamp,ssim_diff,cumRebuffer_diff,New_Bitrate,New_Bitrate_diff,qoe
11,68373362,1660085125,2.002,2.002,0.905,1280x720-5,1124688,1191650,66962,4.5425,1660085125.793,0.0,0.0,5.0,0.0,5.0
35,68375389,1660085127,2.227,2.227,1.156,1280x720-10,2351466,2380435,28969,9.0729,1660085127.983,4.5304,0.2509999999999999,10.0,5.0,-20.099999999999987
60,68376324,1660085128,3.288,3.288,1.156,1280x720-10,2453703,2522123,68420,9.6161,1660085128.935,0.5431999999999988,0.0,10.0,0.0,10.0
177,68379723,1660085132,1.899,1.899,1.156,1280x720-50,11859257,11890426,31169,45.3149,1660085132.354,35.698800000000006,0.0,50.0,40.0,10.0
201,68380344,1660085132,3.277,3.277,1.156,1280x720-10,2351466,2380424,28958,9.0729,1660085132.975,36.242000000000004,0.0,10.0,40.0,-30.0
318,68382733,1660085135,2.887,2.887,1.156,1280x720-50,11859257,11890463,31206,45.3147,1660085135.304,36.2418,0.0,50.0,40.0,10.0
435,68385297,1660085137,2.328,2.328,1.156,1280x720-50,11859141,11909515,50374,45.3908,1660085137.88,0.07609999999999673,0.0,50.0,0.0,50.0
552,68387094,1660085139,2.528,2.528,1.156,1280x720-50,11859141,11889578,30437,45.3149,1660085139.663,0.07589999999999719,0.0,50.0,0.0,50.0
674,68388577,1660085141,3.049,3.049,1.156,1280x720-50,12370306,12466795,96489,47.5145,1660085141.135,2.1995999999999967,0.0,50.0,0.0,50.0
791,68389706,1660085142,3.925,3.925,1.156,1280x720-50,11859141,11889575,30434,45.3147,1660085142.266,2.199799999999996,0.0,50.0,0.0,50.0
1024,68392875,1660085145,2.755,2.755,1.156,1280x720-100,23717937,23777996,60059,90.6169,1660085146.059,45.3022,0.0,100.0,50.0,50.0
1154,68393693,1660085146,3.935,3.935,1.156,1280x720-50,13188299,13201705,13406,50.312,1660085146.25,40.3049,0.0,100.0,0.0,100.0
1387,68397290,1660085149,2.347,2.347,1.156,1280x720-100,23717937,23777998,60061,90.6169,1660085150.003,40.3049,0.0,100.0,0.0,100.0
1504,68398027,1660085150,3.61,3.610,1.156,1280x720-50,11859141,11890471,31330,45.3148,1660085150.737,45.3021,0.0,100.0,0.0,100.0
1737,68400477,1660085153,3.159,3.159,1.156,1280x720-100,23717937,23777999,60062,90.6169,1660085153.033,45.3021,0.0,100.0,0.0,100.0
