,local_time,unixtimestamp,videoBuffer,audioBuffer,cumRebuffer,format_vid,byteOffset,totalByteLength,byteLength,ssim,mod_timestamp,ssim_diff,cumRebuffer_diff,New_Bitrate,New_Bitrate_diff,qoe
11,3105810,1660252942,2.002,2.002,0.955,1280x720-5,1124688,1191650,66962,4.5425,1660252942.473,0.0,0.0,5.0,0.0,5.0
35,3106887,1660252943,3.163,3.163,1.206,1280x720-10,2351466,2380435,28969,9.0729,1660252943.52,4.5304,0.251,10.0,5.0,-20.1
152,3109501,1660252946,2.543,2.543,1.206,1280x720-50,11859257,11890482,31225,45.3148,1660252946.122,36.2419,0.0,50.0,40.0,10.0
269,3115934,1660252952,0.923,0.923,3.981,1280x720-50,11859257,11889572,30315,45.3149,1660252954.161,0.00010000000000331966,2.775,50.0,0.0,-227.5
281,3118807,1660252955,1.699,1.699,5.544,1280x720-5,1124633,1191660,67027,4.5426,1660252955.548,40.7723,1.5629999999999997,5.0,45.0,-196.29999999999998
305,3120805,1660252957,1.701,1.701,5.544,1280x720-10,2351466,2380422,28956,9.0729,1660252957.465,4.5303,0.0,10.0,5.0,5.0
329,3122402,1660252959,2.108,2.108,5.544,1280x720-10,2351443,2379564,28121,9.0728,1660252959.025,9.999999999976694e-05,0.0,10.0,0.0,10.0
353,3123915,1660252960,2.592,2.592,5.544,1280x720-10,2351443,2379565,28122,9.0728,1660252960.578,0.0,0.0,10.0,0.0,10.0
475,3130155,1660252966,0.975,0.975,8.116,1280x720-50,12370306,12467649,97343,47.5145,1660252966.796,38.4417,2.572,50.0,40.0,-247.2
487,3130946,1660252967,2.22,2.220,8.116,1280x720-5,1124622,1191655,67033,4.5425,1660252967.585,42.971999999999994,0.0,5.0,45.0,-40.0
511,3132211,1660252968,2.968,2.968,8.116,1280x720-10,2351443,2380427,28984,9.0729,1660252968.85,4.5304,0.0,10.0,5.0,5.0
641,3141412,1660252978,1.195,1.195,13.506,1280x720-50,13188299,13201705,13406,50.312,1660252978.081,41.23909999999999,5.390000000000001,50.0,40.0,-529.0
653,3142239,1660252978,2.632,2.632,13.758,1280x720-5,1124622,1191654,67032,4.5425,1660252978.908,45.769499999999994,0.2519999999999989,5.0,45.0,-65.19999999999989
770,3149366,1660252985,0.403,0.403,16.577,1280x720-50,11859141,11890471,31330,45.3148,1660252986.006,40.7723,2.8190000000000026,50.0,45.0,-276.90000000000026
