,5G KPI PCell Layer1 UL BLER [%],5G KPI PCell Layer1 UL MCS (Avg),5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],Event 5G-NR/LTE Events,LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell UL MCS,LTE KPI PUSCH BLER[%],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],Lat,Lon,Smart Phone Smart Throughput Mobile Network Tx Byte,Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],TIME_STAMP
0,,,,,,,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513433.992781
1,0.0,0.0,0.004,2545.35,615.0,-63.47,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513434.0
2,,,0.0,2545.35,615.0,-63.58,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513434.1
3,,,,,,,,,,,,,,,,1123.0,462.0,-65.5,,,,,,,41.495338,-81.672432,,,1660513434.2
4,,,0.0,2545.35,615.0,-63.63,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513434.3
5,0.0,4.0,0.003,2545.35,615.0,-63.71,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,0.0,0.0,1660513434.4
6,,,0.0,,,,,,,,,,,,,1123.0,462.0,-65.5,,,,,,,41.495338,-81.672432,,,1660513434.5
7,,,0.0,2545.35,615.0,-63.91,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513434.6
8,0.0,4.0,0.002,2545.35,615.0,-63.93,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513434.7
9,,,0.0,,,,,,,,,,,,,1123.0,462.0,-65.38,,,,,,,41.495338,-81.672432,,,1660513434.8
10,,,0.0,2545.35,615.0,-63.91,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,0.0,0.0,1660513434.9
11,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,41.495338,-81.672432,,,1660513435.0
12,0.0,4.0,0.002,2545.35,615.0,-63.94,,,,,,,,,,1123.0,462.0,-65.88,,0.0,,,,,41.495338,-81.672432,,,1660513435.1
13,,,0.0,2545.35,615.0,-63.81,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513435.2
14,,,0.0,2545.35,615.0,-63.66,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513435.3
15,0.0,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,0.0,0.0,1660513435.4
16,,,,,,,,,,,,,,,,1123.0,462.0,-66.06,,,,,,,41.495338,-81.672432,,,1660513435.5
17,,,0.0,2545.35,615.0,-63.48,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513435.6
18,,,0.0,2545.35,615.0,-63.35,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513435.7
19,0.0,4.0,0.006,,,,,,,,,,,,,1123.0,462.0,-66.06,,,,,,,41.495338,-81.672432,,,1660513435.8
20,,,0.0,2545.35,615.0,-63.17,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,0.0,0.0,1660513435.9
21,,,0.0,2545.35,615.0,-62.95,,,,,,,,,0.004,,,,,,,,,,41.495338,-81.672432,,,1660513436.0
22,,,0.0,,,,,,,,,,,,,1123.0,462.0,-66.31,,,,,,,41.495338,-81.672432,,,1660513436.1
23,0.0,4.0,0.003,2545.35,615.0,-62.91,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513436.2
24,,,0.0,2545.35,615.0,-62.84,,,,,,,,,,,,,,0.0,,,,,41.495338,-81.672432,,,1660513436.3
25,,,0.0,,,,,,,,,,,,,1123.0,462.0,-65.75,,,,,,,41.495338,-81.672432,,,1660513436.4
26,,,0.0,2545.35,615.0,-63.02,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,0.0,0.0,1660513436.5
27,0.0,4.0,0.007,,,,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513436.6
28,,,0.0,2545.35,615.0,-63.07,,,,,,,,,,1123.0,462.0,-65.75,,,,,,,41.495338,-81.672432,,,1660513436.7
29,,,,,,,,,,,,,,PRACH: Msg1(RA),,,,,,,,,,,41.495338,-81.672432,,,1660513436.761408
30,,,,,,,,,,,,,,Received RAR[True],,,,,,,,,,,41.495338,-81.672432,,,1660513436.777943
31,,,,,,,,,,,,,,PRACH: Msg2(RAR),,,,,,,,,,,41.495338,-81.672432,,,1660513436.777956
32,,,,,,,,,,,,,,PRACH: Msg3(UE ID),,,,,,,,,,,41.495338,-81.672432,,,1660513436.778555
33,,,0.0,2545.35,615.0,-63.12,,,,,,,,,,1123.0,462.0,-66.18,23.5,37.5,,,,,41.495338,-81.672432,,,1660513436.8
34,0.0,0.0,0.002,2545.35,615.0,-63.45,,,,,,,,,,1123.0,462.0,-66.08,,,,,,,41.495338,-81.672432,,,1660513436.9
35,0.0,13.21,0.152,,,,,,,,,,,,0.006,1123.0,462.0,-65.69,,14.29,,,,,41.495338,-81.672432,60.0,0.001,1660513437.0
36,0.0,13.0,0.151,2545.35,615.0,-63.52,,,,,,,,,,1123.0,462.0,-64.86,,,,,,,41.495338,-81.672432,,,1660513437.1
37,0.0,14.5,0.234,,,,,,,,,,,,,1123.0,462.0,-64.63,,,,,,,41.495338,-81.672432,,,1660513437.2
38,4.55,17.24,0.772,2545.35,615.0,-63.57,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513437.3
39,0.0,17.11,0.756,2545.35,615.0,-63.79,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513437.4
40,0.0,16.63,0.76,,,,,,,,,,,,,,,,17.0,,,,,,41.495338,-81.672432,15091.0,0.242,1660513437.5
41,4.55,16.19,0.689,2545.35,615.0,-63.84,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513437.6
42,0.0,16.95,0.959,2545.35,615.0,-63.96,,,,,,,,,,1123.0,462.0,-66.88,,,,,,,41.495338,-81.672432,,,1660513437.7
43,0.0,16.89,0.765,,,,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513437.8
44,0.0,16.8,0.665,2545.35,615.0,-63.91,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513437.9
45,0.0,16.26,0.891,,,,,,,,,,,,0.0,1123.0,462.0,-66.56,,,,,,,41.495338,-81.672432,27820.0,0.445,1660513438.0
46,0.0,15.57,0.656,2545.35,615.0,-63.84,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513438.1
47,0.0,15.25,0.659,2545.35,615.0,-63.61,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513438.2
48,0.0,16.95,0.81,,,,,,,,,,,,,1123.0,462.0,-67.5,,,,,,,41.495338,-81.672432,,,1660513438.3
49,0.0,15.67,0.657,2545.35,615.0,-63.53,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,25272.0,0.404,1660513438.4
50,0.0,14.95,0.744,2545.35,615.0,-63.65,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513438.5
51,0.0,15.0,0.593,,,,,,,,,,,,,1123.0,462.0,-68.81,,,,,,,41.495338,-81.672432,,,1660513438.6
52,0.0,16.57,0.84,2545.35,615.0,-63.64,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513438.7
53,0.0,17.74,0.762,,,,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513438.8
54,0.0,17.45,0.826,2545.35,615.0,-63.57,,,,,,,,,,1123.0,462.0,-68.13,,0.0,,,,,41.495338,-81.672432,27404.0,0.438,1660513438.9
55,0.0,17.95,0.682,2545.35,615.0,-63.48,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513439.0
56,0.0,16.75,0.689,,,,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513439.1
57,0.0,14.55,0.652,2545.35,615.0,-63.39,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513439.2
58,0.0,16.15,0.774,2545.35,615.0,-63.27,,,,,,,,,,1123.0,462.0,-65.81,,,,,,,41.495338,-81.672432,,,1660513439.3
59,0.0,15.42,0.739,,,,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,27300.0,0.437,1660513439.4
60,0.0,16.67,0.773,2545.35,615.0,-63.13,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513439.5
61,0.0,16.42,1.015,,,,,,,,,,,,,1123.0,462.0,-66.13,,,,,,,41.495338,-81.672432,,,1660513439.6
62,0.0,17.1,0.865,2545.35,615.0,-62.98,,,,,,,,,,,,,,,,,,,41.495338,-81.672432,,,1660513439.7
