,5G KPI PCell Layer1 UL BLER [%],5G KPI PCell Layer1 UL MCS (Avg),5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],Event 5G-NR/LTE Events,LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell UL MCS,LTE KPI PUSCH BLER[%],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],Lat,Lon,Smart Phone Smart Throughput Mobile Network Tx Byte,Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],TIME_STAMP
0,,,,,,,,,,,,,,,,,,,,,,,,,40.247849,-103.993492,,,1660254270.0
1,,,,,,,,,,,,,,,,1150.0,53.0,-105.63,,,,,,,40.247849,-103.993492,,,1660254270.8
2,,,,,,,,,,,,,,,,,,,,,,,,,40.247849,-103.993492,,,1660254270.851974
3,,,0.0,,,,,,,,,,,,,,,,,,,,,,40.247849,-103.993492,,,1660254270.9
4,,,,,,,,,,,,,,,,,,,,,,,,,40.247845,-103.993454,,,1660254271.0
5,,,0.0,631.35,59.0,-100.0,,,,,,,,,,1150.0,53.0,-103.31,,,,,,,40.247841,-103.993408,0.0,0.0,1660254271.1
6,0.0,4.0,0.002,631.35,59.0,-98.6,,,,,,,,,,,,,,,,,,,40.247837,-103.99337,,,1660254271.2
7,,,0.0,,,,,,,,,,,,,,,,,,,,,,40.247833,-103.993324,,,1660254271.3
8,,,,,,,,,,,,,,,,1150.0,53.0,-103.25,,,,,,,40.247829,-103.993286,,,1660254271.4
9,,,0.0,,,,,,,,,,,,,,,,,,,,,,40.247822,-103.993202,0.0,0.0,1660254271.6
10,0.0,4.0,0.002,631.35,59.0,-98.52,,,,,,,,,,,,,,,,,,,40.247818,-103.993164,,,1660254271.7
11,,,0.0,,,,,,,,,,,,,1150.0,53.0,-103.81,,,,,,,40.247814,-103.993118,,,1660254271.8
12,,,0.0,631.35,59.0,-100.34,,,,,,,,,,,,,,,,,,,40.24781,-103.99308,,,1660254271.9
13,,,,,,,,,,,,,,,,1150.0,53.0,-103.63,,,,,,,40.247807,-103.993042,,,1660254272.0
14,0.0,4.0,0.002,,,,,,,,,,,,,,,,,,,,,,40.247799,-103.993004,0.0,0.0,1660254272.1
15,,,,631.35,59.0,-102.19,,,,,,,,,,,,,,,,,,,40.247795,-103.992958,,,1660254272.2
16,,,0.0,,,,,,,,,,,,,,,,,,,,,,40.247791,-103.99292,,,1660254272.3
17,,,0.0,,,,,,,,,,,,,1150.0,53.0,-104.13,,,,,,,40.247787,-103.992882,,,1660254272.4
