idx,size,avail,enc_fin,offload,inf,recv
0,2048000,1660179175355,1660179175355,1660179177870,44,1660179178891
36,2048000,1660179178954,1660179178954,1660179181082,44,1660179181752
64,2048000,1660179181754,1660179181754,1660179183153,44,1660179184060
88,2048000,1660179184155,1660179184155,1660179185783,44,1660179186432
111,2048000,1660179186454,1660179186454,1660179187536,44,1660179188441
131,2048000,1660179188454,1660179188454,1660179189556,44,1660179190399
151,2048000,1660179190454,1660179190454,1660179191271,44,1660179192114
168,2048000,1660179192154,1660179192154,1660179193348,44,1660179194111
