PING 54.176.53.206 (54.176.53.206) 38(66) bytes of data.
46 bytes from 54.176.53.206: icmp_seq=1 ttl=44 time=74.0 ms
46 bytes from 54.176.53.206: icmp_seq=2 ttl=44 time=49.2 ms
46 bytes from 54.176.53.206: icmp_seq=3 ttl=44 time=48.4 ms
46 bytes from 54.176.53.206: icmp_seq=4 ttl=44 time=48.2 ms
46 bytes from 54.176.53.206: icmp_seq=5 ttl=44 time=55.3 ms
46 bytes from 54.176.53.206: icmp_seq=6 ttl=44 time=48.0 ms
46 bytes from 54.176.53.206: icmp_seq=7 ttl=44 time=54.4 ms
46 bytes from 54.176.53.206: icmp_seq=8 ttl=44 time=52.8 ms
46 bytes from 54.176.53.206: icmp_seq=9 ttl=44 time=44.3 ms
46 bytes from 54.176.53.206: icmp_seq=10 ttl=44 time=43.3 ms
46 bytes from 54.176.53.206: icmp_seq=11 ttl=44 time=50.8 ms
46 bytes from 54.176.53.206: icmp_seq=12 ttl=44 time=50.6 ms
46 bytes from 54.176.53.206: icmp_seq=13 ttl=44 time=42.6 ms
46 bytes from 54.176.53.206: icmp_seq=14 ttl=44 time=40.8 ms
46 bytes from 54.176.53.206: icmp_seq=15 ttl=44 time=40.1 ms
46 bytes from 54.176.53.206: icmp_seq=16 ttl=44 time=47.4 ms
46 bytes from 54.176.53.206: icmp_seq=17 ttl=44 time=38.4 ms
46 bytes from 54.176.53.206: icmp_seq=18 ttl=44 time=39.6 ms
46 bytes from 54.176.53.206: icmp_seq=19 ttl=44 time=38.4 ms
46 bytes from 54.176.53.206: icmp_seq=20 ttl=44 time=35.8 ms
46 bytes from 54.176.53.206: icmp_seq=21 ttl=44 time=35.3 ms
46 bytes from 54.176.53.206: icmp_seq=22 ttl=44 time=42.7 ms
46 bytes from 54.176.53.206: icmp_seq=23 ttl=44 time=47.7 ms
46 bytes from 54.176.53.206: icmp_seq=24 ttl=44 time=58.1 ms
46 bytes from 54.176.53.206: icmp_seq=25 ttl=44 time=32.4 ms
46 bytes from 54.176.53.206: icmp_seq=26 ttl=44 time=60.0 ms
46 bytes from 54.176.53.206: icmp_seq=27 ttl=44 time=100 ms
46 bytes from 54.176.53.206: icmp_seq=28 ttl=44 time=73.8 ms
46 bytes from 54.176.53.206: icmp_seq=29 ttl=44 time=93.4 ms
46 bytes from 54.176.53.206: icmp_seq=30 ttl=44 time=56.2 ms
46 bytes from 54.176.53.206: icmp_seq=31 ttl=44 time=50.3 ms
46 bytes from 54.176.53.206: icmp_seq=32 ttl=44 time=54.5 ms
