TIME_STAMP,cumRebuffer,Bitrate,VideoBuffer,qoe,avg_qoe,duration,start_time,end_time,Lat,Lon,5G_Time,Wlength,ho
8/8/22 1:40,1.105,72.64705882,3.268517647,7579.7,89.17294118,168,8/8/22 1:40,8/8/22 1:43,34.05846,-118.237511,0.993975904,TRUE,1
8/8/22 20:10,2.823,61.79775281,3.018674157,4053.6,45.54606742,179,8/8/22 20:10,8/8/22 20:13,34.506516,-117.55368,0,FALSE,2
8/8/22 23:02,73.567,30.78571429,2.070114286,-7535.1,-107.6442857,212,8/8/22 23:02,8/8/22 23:05,34.506516,-117.55368,0,FALSE,2
8/9/22 0:26,39.27,44.49438202,2.485865169,-2931.4,-32.93707865,219,8/9/22 0:26,8/9/22 0:30,34.506516,-117.55368,0,FALSE,2
8/9/22 2:27,29.415,34.75806452,2.166741935,-3556.1,-57.35645161,152,8/9/22 2:27,8/9/22 2:30,35.207542,-116.116348,0,FALSE,1
8/9/22 3:08,83.618,33.28571429,2.1769,-8425.2,-120.36,226,8/9/22 3:08,8/9/22 3:11,35.470051,-115.506271,0,FALSE,2
8/9/22 17:44,17.734,37.22222222,2.288955556,-2707.9,-30.08777778,199,8/9/22 17:44,8/9/22 17:47,36.113392,-115.17321,0,TRUE,0
8/9/22 22:34,3.275,69,3.201128571,5283.2,75.47428571,143,8/9/22 22:34,8/9/22 22:36,36.548046,-114.701889,0.101654846,FALSE,11
8/9/22 22:37,5.784,57.63157895,2.879578947,1442.4,37.95789474,79,8/9/22 22:37,8/9/22 22:38,36.548046,-114.701889,0.101654846,FALSE,11
8/9/22 23:10,3.625,48.17073171,2.609609756,-562.2,-13.71219512,83,8/9/22 23:10,8/9/22 23:11,36.548046,-114.701889,0.101654846,FALSE,11
8/9/22 23:12,10.92,34.09090909,2.254727273,-1316.1,-29.91136364,97,8/9/22 23:12,8/9/22 23:14,36.572521,-114.667137,0,FALSE,0
8/10/22 1:22,1.208,70.15957447,3.222553191,7060,75.10638298,188,8/10/22 1:22,8/10/22 1:25,39.726002,-111.821281,0,FALSE,13
8/10/22 3:32,46.802,35.16483516,2.257813187,-4774.6,-52.46813187,229,8/10/22 3:32,8/10/22 3:36,39.726002,-111.821281,0,FALSE,13
8/10/22 3:58,16.091,48.81818182,2.653972727,6.3,0.057272727,234,8/10/22 3:58,8/10/22 4:02,40.203724,-111.655548,0.975532418,FALSE,31
8/10/22 4:22,24.132,61.57608696,2.979608696,2880.4,31.30869565,206,8/10/22 4:22,8/10/22 4:25,40.203724,-111.655548,0.975532418,FALSE,31
8/10/22 21:14,43.03,38.02197802,2.289197802,-4072.3,-44.75054945,231,8/10/22 21:14,8/10/22 21:18,40.729591,-111.761559,0,FALSE,2
8/10/22 21:35,25.026,60.35460993,2.945070922,4917.9,34.8787234,306,8/10/22 21:35,8/10/22 21:40,40.809475,-111.404839,0,FALSE,18
8/10/22 21:57,110.759,15.75757576,1.522878788,-11265.2,-170.6848485,245,8/10/22 21:57,8/10/22 22:01,41.113037,-111.199051,0,FALSE,3
8/10/22 23:01,92.463,22.3125,1.844475,-9470.5,-118.38125,253,8/10/22 23:01,8/10/22 23:05,41.542351,-109.709328,0,FALSE,6
8/10/22 23:58,76.483,6.296296296,1.251407407,-7216.5,-133.6388889,186,8/10/22 23:58,8/11/22 0:01,41.644478,-109.024384,0,FALSE,0
8/11/22 0:20,22.885,30,2.019382022,-3678.1,-41.32696629,200,8/11/22 0:20,8/11/22 0:23,41.644249,-108.559906,0,FALSE,0
8/11/22 0:56,130.385,5.625,1.0801875,-12586.1,-393.315625,209,8/11/22 0:56,8/11/22 0:59,41.746971,-107.59079,0,FALSE,1
8/11/22 2:48,117.523,38.18181818,2.229340909,-8195.1,-186.2522727,204,8/11/22 2:48,8/11/22 2:51,41.361771,-105.771553,0,FALSE,3
8/11/22 3:47,142.419,18.10606061,1.660333333,-14546.3,-220.3984848,278,8/11/22 3:47,8/11/22 3:51,41.062057,-105.475876,0,FALSE,9
8/11/22 4:21,2.466,7.5,1.46,10,5,7,8/11/22 4:21,8/11/22 4:21,40.690498,-105.175537,0,FALSE,0
8/11/22 5:05,2.368,63.8,3.059096,7124.7,56.9976,250,8/11/22 5:05,8/11/22 5:09,40.27039,-104.980362,0,TRUE,11
8/11/22 5:41,1.255,67.36842105,3.171631579,5939.9,62.52526316,189,8/11/22 5:41,8/11/22 5:45,39.725731,-105.053291,0,TRUE,6
8/11/22 19:29,1.105,73.13829787,3.331702128,8694.8,92.49787234,189,8/11/22 19:29,8/11/22 19:32,39.744362,-105.009392,1,TRUE,2
8/11/22 19:54,0.151,7.5,3.003,-0.1,-0.05,2,8/11/22 19:54,8/11/22 19:54,39.744362,-105.009392,1,TRUE,2
8/11/22 20:58,43.811,51.72727273,2.6883,-450.5,-4.095454545,269,8/11/22 20:58,8/11/22 21:02,39.832901,-104.938911,0.58575483,TRUE,28
8/11/22 21:22,75.212,6.465517241,1.261810345,-6883.2,-118.6758621,196,8/11/22 21:22,8/11/22 21:25,39.832901,-104.938911,0.58575483,TRUE,28
8/11/22 21:58,19.64,38.22222222,2.274511111,-1048.2,-23.29333333,109,8/11/22 21:58,8/11/22 22:00,39.832901,-104.938911,0.58575483,TRUE,28
