PING 3.19.94.93 (3.19.94.93) 38(66) bytes of data.
46 bytes from 3.19.94.93: icmp_seq=84 ttl=34 time=147 ms
46 bytes from 3.19.94.93: icmp_seq=85 ttl=34 time=78.5 ms
46 bytes from 3.19.94.93: icmp_seq=86 ttl=34 time=211 ms
46 bytes from 3.19.94.93: icmp_seq=87 ttl=34 time=361 ms
46 bytes from 3.19.94.93: icmp_seq=88 ttl=34 time=193 ms
46 bytes from 3.19.94.93: icmp_seq=89 ttl=34 time=92.7 ms
46 bytes from 3.19.94.93: icmp_seq=90 ttl=34 time=80.6 ms
46 bytes from 3.19.94.93: icmp_seq=91 ttl=34 time=241 ms
46 bytes from 3.19.94.93: icmp_seq=92 ttl=34 time=144 ms
46 bytes from 3.19.94.93: icmp_seq=93 ttl=34 time=63.5 ms
46 bytes from 3.19.94.93: icmp_seq=94 ttl=34 time=68.6 ms
46 bytes from 3.19.94.93: icmp_seq=95 ttl=34 time=54.4 ms
46 bytes from 3.19.94.93: icmp_seq=96 ttl=34 time=65.6 ms
46 bytes from 3.19.94.93: icmp_seq=97 ttl=34 time=76.5 ms
46 bytes from 3.19.94.93: icmp_seq=98 ttl=34 time=81.6 ms
46 bytes from 3.19.94.93: icmp_seq=99 ttl=34 time=89.1 ms
46 bytes from 3.19.94.93: icmp_seq=100 ttl=34 time=110 ms

--- 3.19.94.93 ping statistics ---
100 packets transmitted, 99 received, 1% packet loss, time 19894ms
rtt min/avg/max/mdev = 47.419/97.746/390.375/60.702 ms, pipe 2
